relation_id,relation_name,n_queries,mean_rr_gate,mean_rr_residual,mean_delta_rr,mean_delta_rr_raw,mean_delta_rr_shrunk,fusion_win_rate,struct_win_rate,head_has_img_ratio,tail_no_img_ratio,is_visual_prior
0,rel_0000,828,0.11028875024900957,0.29298059531259396,-0.17838307513283974,-0.18269184506358468,-0.17838307513283974,0.4975845410628019,0.4806763285024155,0.37681159420289856,0.5,0
2,rel_0002,30,0.08817775276331458,0.501904260348855,-0.24823590455132424,-0.4137265075855404,-0.24823590455132424,0.43333333333333335,0.5666666666666667,0.4,0.5,0
3,rel_0003,720,0.14252020533041831,0.17625172625332472,-0.032819858195260135,-0.033731520922906245,-0.032819858195260135,0.55,0.4027777777777778,0.3875,0.5,0
5,rel_0005,30,0.10737804073605864,0.1372343684793264,-0.017913796645960656,-0.02985632774326776,-0.017913796645960656,0.5,0.4666666666666667,0.2,0.5,0
6,rel_0006,372,0.11528796283332977,0.12376240465498363,-0.008042072340957128,-0.008474441821653748,-0.008042072340957128,0.6317204301075269,0.34946236559139787,0.33064516129032256,0.5,0
8,rel_0008,1434,0.05474582182525119,0.16502398701327728,-0.10876127158158869,-0.11027816518802647,-0.10876127158158869,0.4735006973500697,0.5146443514644351,0.3577405857740586,0.5,0
9,rel_0009,360,0.1108972205359035,0.34040537210476585,-0.2174287751705014,-0.22950815156886262,-0.2174287751705014,0.5388888888888889,0.4166666666666667,0.39166666666666666,0.5,0
10,rel_0010,972,0.2470021454534317,0.22170802264108486,0.024784160658872453,0.025294122812347195,0.024784160658872453,0.6656378600823045,0.25205761316872427,0.3487654320987654,0.5,1
11,rel_0011,120,0.18157422669961645,0.39942192015707684,-0.1867265943921089,-0.21784769345746038,-0.1867265943921089,0.4583333333333333,0.4666666666666667,0.35,0.5,0
12,rel_0012,120,0.27172586674887117,0.41421946259615045,-0.12213736786909637,-0.1424935958472791,-0.12213736786909637,0.48333333333333334,0.35833333333333334,0.375,0.5,0
13,rel_0013,6,0.180026455026455,0.0011016866372059668,0.04129033116674979,0.17892476838924906,0.04129033116674979,1.0,0.0,0.5,0.5,1
14,rel_0014,24,0.029544269598022362,0.2515147977732678,-0.12107483355013386,-0.22197052817524543,-0.12107483355013386,0.625,0.375,0.125,0.5,0
15,rel_0015,18,0.04057939020793553,0.003747976019694706,0.017446459352324598,0.03683141418824082,0.017446459352324598,0.7222222222222222,0.2777777777777778,0.0,0.5,1
16,rel_0016,342,0.09183252170474888,0.054844467826150635,0.03494451499027788,0.03698805387859823,0.03494451499027788,0.6666666666666666,0.32748538011695905,0.0,0.5,1
18,rel_0018,6,0.0076217482792373835,0.00035119807834669837,0.0016778192771286194,0.007270550200890684,0.0016778192771286194,1.0,0.0,0.5,0.5,1
19,rel_0019,558,0.10090418960548722,0.23851520697648745,-0.13284939047234987,-0.1376110173710004,-0.13284939047234987,0.5125448028673835,0.46236559139784944,0.3387096774193548,0.5,0
20,rel_0020,72,0.05070854966406514,0.2321010846360926,-0.14195937519549978,-0.18139253497202748,-0.14195937519549978,0.5694444444444444,0.4305555555555556,0.375,0.5,0
21,rel_0021,18,0.0463102153450725,0.0004074463855903166,0.021743416875544194,0.04590276895948219,0.021743416875544194,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.5,1
22,rel_0022,210,0.11586930038817171,0.18157776323122937,-0.05999468346540036,-0.06570846284305754,-0.05999468346540036,0.4714285714285714,0.4714285714285714,0.37142857142857144,0.5,0
24,rel_0024,6,0.0003748571749426167,0.006988050964290099,-0.001526121643695573,-0.006613193789347483,-0.001526121643695573,0.5,0.5,0.5,0.5,0
