dataset,pair_id,source_seed,target_seed,cell_type,headroom,ci95_low,ci95_high
mkg_y,mkg_y_mhyper_native,1,1,raw_oracle,0.03650565381956629,0.033076116405620755,0.04000372754052389
mkg_y,mkg_y_mhyper_native,1,2,cross_seed_transfer,0.005548477620566733,0.003919602594549844,0.007233246186424776
mkg_y,mkg_y_mhyper_native,1,3,cross_seed_transfer,0.006423543233576956,0.004759645720027887,0.00820274170109416
mkg_y,mkg_y_mhyper_native,2,2,raw_oracle,0.03700018092175537,0.033579015273900524,0.04050891965679816
mkg_y,mkg_y_mhyper_native,2,1,cross_seed_transfer,0.008006294768647119,0.006232700542034034,0.009823533156708789
mkg_y,mkg_y_mhyper_native,2,3,cross_seed_transfer,0.007754705589273365,0.006012339370365954,0.00954115951047222
mkg_y,mkg_y_mhyper_native,3,3,raw_oracle,0.03703132960540556,0.0337083856853731,0.04042634313978726
mkg_y,mkg_y_mhyper_native,3,1,cross_seed_transfer,0.005984019463209328,0.004434242269748008,0.007543168643906368
mkg_y,mkg_y_mhyper_native,3,2,cross_seed_transfer,0.0070947640865712275,0.005312577616238607,0.008924744495372356
mkg_y,mkg_y_mhyper_adamf,1,1,raw_oracle,0.04489462980005803,0.04106103474536185,0.04889173956062383
mkg_y,mkg_y_mhyper_adamf,1,2,cross_seed_transfer,0.0077229664199263675,0.005751068129358308,0.009763247585377105
mkg_y,mkg_y_mhyper_adamf,1,3,cross_seed_transfer,0.00786190690184311,0.005831689566058347,0.009938215461082362
mkg_y,mkg_y_mhyper_adamf,2,2,raw_oracle,0.04406050445735725,0.040233886195253865,0.04803684639291308
mkg_y,mkg_y_mhyper_adamf,2,1,cross_seed_transfer,0.008767155088609955,0.006831844537393782,0.010743833396418512
mkg_y,mkg_y_mhyper_adamf,2,3,cross_seed_transfer,0.009408899792381195,0.007529897364734163,0.01135480933189519
mkg_y,mkg_y_mhyper_adamf,3,3,raw_oracle,0.04325402126651176,0.03960451254303981,0.04699473791432182
mkg_y,mkg_y_mhyper_adamf,3,1,cross_seed_transfer,0.010262077770628533,0.008473306023477812,0.012161901049477208
mkg_y,mkg_y_mhyper_adamf,3,2,cross_seed_transfer,0.008955112745194567,0.006867980730840288,0.011109745298543935
mkg_y,mkg_y_native_adamf,1,1,raw_oracle,0.03783785671292209,0.03424551706968906,0.04142247097814659
mkg_y,mkg_y_native_adamf,1,2,cross_seed_transfer,0.0008925622215272597,-0.0005374930806637593,0.0022951538834351274
mkg_y,mkg_y_native_adamf,1,3,cross_seed_transfer,0.004282461009750353,0.002783218135637871,0.0058536273374533414
mkg_y,mkg_y_native_adamf,2,2,raw_oracle,0.03641414946622996,0.033021317744949326,0.04001798825795974
mkg_y,mkg_y_native_adamf,2,1,cross_seed_transfer,0.0030819024913151115,0.001577205774086807,0.004591809440254966
mkg_y,mkg_y_native_adamf,2,3,cross_seed_transfer,0.0025639798864846124,0.001003914555421072,0.004156276496412965
mkg_y,mkg_y_native_adamf,3,3,raw_oracle,0.0392806803631979,0.03567563496124344,0.043033222645256206
mkg_y,mkg_y_native_adamf,3,1,cross_seed_transfer,0.0030064926119564967,0.0014996468379212227,0.004608979376642887
mkg_y,mkg_y_native_adamf,3,2,cross_seed_transfer,0.0020137717600798052,0.0004908116229217725,0.003541991367264653
