split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
dev,pair,DB15K,M-Hyper + NativE,pooled,0.6,60,0.38375722886366315,0.0011702158395539978,0.06418833627871749,0.1421147858284945,0.03646640551040995,0.5999957923083397,0.24873769250189345,47532,28519,28519,11823,3051,6755,37726,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.6,60,0.3830003198190499,0.00041330679494073406,0.0667760666498359,0.15597912984936463,0.049074574290682085,0.5999957923083397,0.2489480770849112,47532,28519,28519,11833,3174,7414,36944,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.7,70,0.3624253909830154,0.006069333511323218,0.13871998752728407,0.2479731836607421,0.030028964752462344,0.6999922045525413,0.6999922045525413,25656,17959,17959,17959,3559,6362,15735,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.7,70,0.35531367607942377,0.002491710712653794,0.062246647957592764,0.22934206423448705,0.02507345560957208,0.6999922045525413,0.31836607421265983,25656,17959,17959,8168,1597,5884,18175,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.7,70,0.38385655828179877,0.0012695452576896207,0.07796852646638054,0.17236808886644786,0.037002839438216036,0.6999915846166793,0.312736682655895,47532,33272,33272,14865,3706,8193,35633,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.7,70,0.38279167492142285,0.00020466189731373097,0.08139779516956998,0.18839939409240092,0.05198445190832552,0.6999915846166793,0.311516452074392,47532,33272,33272,14807,3869,8955,34708,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.8,80,0.3627087689492552,0.00635271147756307,0.16300280636108513,0.29310882444652325,0.028346596066259406,0.8000077954474587,0.8000077954474587,25656,20525,20525,20525,4182,7520,13954,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.8,80,0.35517467449771684,0.0023527091309468013,0.0756937948238229,0.2651231680698472,0.026148661254627923,0.8000077954474587,0.3836919239164328,25656,20525,20525,9844,1942,6802,16912,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.8,80,0.3838736051251836,0.0012865921010744427,0.08899267861651099,0.1993814693259278,0.03707860500165102,0.8000084153833207,0.3744004039383994,47532,38026,38026,17796,4230,9477,33825,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.8,80,0.38242210229655965,-0.0001649107275494971,0.09324244719346966,0.21480265926112935,0.05428656529783602,0.8000084153833207,0.3724017503997307,47532,38026,38026,17701,4432,10210,32890,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.9,90,0.3627031558260868,0.00634709835439456,0.18557062675397568,0.32768163392578736,0.027768343106593908,0.8999844091050826,0.8999844091050826,25656,23090,23090,23090,4761,8407,12488,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.9,90,0.3550775906493739,0.002255625282603899,0.0855160586217649,0.295681322107889,0.025226643459332586,0.8999844091050826,0.44476925475522294,25656,23090,23090,11411,2194,7586,15876,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.9,90,0.38391262571703383,0.0013256126929247014,0.09639821593873601,0.21915762012959691,0.03609802568400967,0.9000042076916603,0.4326979718926197,47532,42779,42779,20567,4582,10417,32533,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.9,90,0.3821626936544984,-0.0004243193696106886,0.10237313809644029,0.23516788689724816,0.05456979557507632,0.9000042076916603,0.4309097029369688,47532,42779,42779,20482,4866,11178,31488,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,1.0,100,0.3625190308397205,0.006162973368028282,0.19777050202681634,0.3385562831306517,0.027441824611452153,1.0,0.9407545993140006,25656,25656,25656,24136,5074,8686,11896,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,1.0,100,0.3550003738896672,0.002178408522897214,0.08773776114748986,0.30355472404115996,0.025662816839089296,1.0,0.46285469285937014,25656,25656,25656,11875,2251,7788,15617,0
dev,pair,DB15K,M-Hyper + NativE,pooled,1.0,100,0.3839261995850663,0.0013391865609572,0.09875452326853489,0.22534292687031895,0.035642588842292655,1.0,0.45312631490364386,47532,47532,47532,21538,4694,10711,32127,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,1.0,100,0.38207092423570754,-0.000516088788401536,0.10616006059075991,0.2431835395102247,0.05447459526239148,1.0,0.4572498527307919,47532,47532,47532,21734,5046,11559,30927,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.0,0,0.36430474088661813,0.0,0.0,0.0,,0.0,0.0,25644,0,0,0,0,0,25644,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.0,0,0.3597209394760817,0.0,0.0,0.0,,0.0,0.0,25644,0,0,0,0,0,25644,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.0,0,0.3745666587877784,0.0,0.0,0.0,,0.0,0.0,59412,0,0,0,0,0,59412,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.0,0,0.3745666587877784,0.0,0.0,0.0,,0.0,0.0,59412,0,0,0,0,0,59412,0
test,pair,MKG-W,M-Hyper + NativE,pooled,0.1,10,0.36568224401448657,0.0013775031278684658,0.0009358914365933552,0.003197629075027297,0.07224122260250539,0.09998440180939011,0.09998440180939011,25644,2564,2564,2564,24,82,25538,0
test,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.1,10,0.3597209394760817,0.0,0.0,0.0,,0.09998440180939011,0.0,25644,2564,2564,0,0,0,25644,0
test,pair,DB15K,M-Hyper + NativE,pooled,0.1,10,0.374590848760504,2.4189972725676535e-05,0.00013465293206759576,0.00063960142732108,0.0003662865359285264,0.09999663367669831,0.0007742543593886757,59412,5941,5941,46,8,38,59366,0
test,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.1,10,0.37466499713101015,9.83383432318067e-05,0.0007069278933548778,0.001817814582912543,0.02802368156326629,0.09999663367669831,0.00255840570928432,59412,5941,5941,152,42,108,59262,0
