split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
dev,pooled,Pooled,Pooled,tail,0.2,20,0.5215562935686311,0.0011982679823029814,0.003279226102639777,0.007678854457014811,0.08711460684216583,0.2565311253210909,0.06376728425424934,73188,14638,18775,4667,240,562,72386,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.3,30,0.19470010288594902,0.0013723476668506672,0.029077019020891798,0.03952291861552853,0.014408162329408067,0.15739008419083256,0.15739008419083256,12828,3848,2019,2019,373,507,11948,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.3,30,0.526442535254975,0.007058175530688977,0.0339881509198628,0.03546928593701278,0.062125119769476156,0.4426255067040848,0.4426255067040848,12828,3848,5678,5678,436,455,11937,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.3,30,0.1893880961975753,0.00025261786786478997,0.004599314000623636,0.02798565637667602,0.0049459764051098375,0.1444496414094169,0.03328656064858123,12828,3848,1853,427,59,359,12410,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.3,30,0.5199700943460703,0.003461641942240726,0.0077174929840972874,0.04622700342999688,0.05556008845603215,0.45556594948550044,0.05628313065169941,12828,3848,5844,722,99,593,12136,0
dev,pair,DB15K,M-Hyper + NativE,head,0.3,30,0.24413837890169143,0.000624080671210987,0.030084995371539174,0.06235799040646301,0.039135025171076525,0.29411764705882354,0.10212067659681899,23766,7130,6990,2427,715,1482,21569,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.3,30,0.5216116943097158,-4.80335080220577e-05,0.0021038458301775647,0.004838845409408398,0.11794648876875122,0.3058991837078179,0.007447614238828578,23766,7130,7270,177,50,115,23601,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.3,30,0.24416712195109944,0.0006528237206189946,0.022384919633089286,0.051922915088782294,0.03228529494182775,0.3010603382984095,0.07771606496675923,23766,7130,7155,1847,532,1234,22000,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.3,30,0.5220413423613928,0.00038161454365496855,0.007657998821846335,0.022342842716485737,0.08485686401469923,0.2989564924682319,0.031683918202474126,23766,7130,7105,753,182,531,23053,0
dev,pooled,Pooled,Pooled,head,0.3,30,0.22588610087870795,0.0006994584857566982,0.022940919276384107,0.048942449581898674,0.030270028030460257,0.24617423621358692,0.09181833087391375,73188,21956,18017,6720,1679,3582,67927,0
dev,pooled,Pooled,Pooled,tail,0.3,30,0.5223102049796111,0.0019521793932829692,0.010479860086352955,0.023145870907799092,0.07031065797360053,0.35384215991692625,0.10015303055145652,73188,21956,25897,7330,767,1694,70727,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.4,40,0.19526695807664998,0.0019392028575516411,0.07047084502650452,0.12075148113501714,0.014088794396316493,0.292251325226068,0.292251325226068,12828,5131,3749,3749,904,1549,10375,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.4,40,0.5272005469036133,0.00781618717932733,0.050592454006859994,0.05698472092298098,0.0608847924692119,0.5077174929840973,0.5077174929840973,12828,5131,6513,6513,649,731,11448,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.4,40,0.18959885901607898,0.00046338068636853536,0.021515434985968196,0.09666354848768319,0.009663759129846152,0.2607577174929841,0.12051761771125663,12828,5131,3345,1546,276,1240,11312,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.4,40,0.520387780070939,0.003879327667109359,0.015590894917368257,0.07078266292485189,0.04241823396806264,0.5392111007171811,0.09097287184284378,12828,5131,6917,1167,200,908,11720,0
dev,pair,DB15K,M-Hyper + NativE,head,0.4,40,0.24476924626639351,0.0012549480359130736,0.059160144744593114,0.1256837498948077,0.03590687524753639,0.4268282420264243,0.20971135235209964,23766,9506,10144,4984,1406,2987,19373,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.4,40,0.521794733030762,0.00013500521302408942,0.0049650761592190526,0.012202305815029875,0.08009530187328762,0.3731801733568964,0.019271227804426493,23766,9506,8869,458,118,290,23358,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.4,40,0.24401814853623327,0.0005038503057528212,0.04952453084237987,0.11537490532693764,0.036605285332224805,0.4219052427838088,0.1745771269881343,23766,9506,10027,4149,1177,2742,19847,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.4,40,0.5220572648724268,0.000397537054688969,0.014516536228225196,0.041950685853740635,0.081374567591356,0.3781031725995119,0.06181099049061685,23766,9506,8986,1469,345,997,22424,0
dev,pooled,Pooled,Pooled,head,0.4,40,0.22617888078024748,0.0009922383872962735,0.051415532600972834,0.11638519975952343,0.0289590632708404,0.372533748701973,0.19713614253702794,73188,29275,27265,14428,3763,8518,60907,0
dev,pooled,Pooled,Pooled,tail,0.4,40,0.5225808826665128,0.002222857080184708,0.017926436027764114,0.03997923156801662,0.06518547907484513,0.42746078592118925,0.13126468820025142,73188,29275,31285,9607,1312,2926,68950,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.5,50,0.19580619784061076,0.0024784426215124157,0.10827876520112255,0.21421889616463985,0.014837688808701538,0.4377143748051138,0.4377143748051138,12828,6414,5615,5615,1389,2748,8691,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.5,50,0.5271527756137989,0.00776841588951285,0.0670408481446835,0.07631743062051762,0.061162450482019626,0.5622856251948862,0.5622856251948862,12828,6414,7213,7213,860,979,10989,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.5,50,0.18979752221059737,0.0006620438808868709,0.04365450576863112,0.17212347988774557,0.013505350013625584,0.38758964764577486,0.22271593389460556,12828,6414,4972,2857,560,2208,10060,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.5,50,0.5207103617588156,0.004201909354985978,0.02237293420642345,0.0983785469285937,0.049275213207157824,0.6124103523542251,0.13174306205176178,12828,6414,7856,1690,287,1262,11279,0
dev,pair,DB15K,M-Hyper + NativE,head,0.5,50,0.24518765693215572,0.0016733587016752875,0.08751998653538669,0.18623243288731803,0.03358069277036861,0.5552469915004629,0.3190271816881259,23766,11883,13196,7582,2080,4426,17260,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.5,50,0.5220405231479208,0.00038079533018304406,0.010224690734662964,0.025961457544391147,0.05673260143810518,0.44475300849953714,0.04279222418581166,23766,11883,10570,1017,243,617,22906,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.5,50,0.2440825503793283,0.0005682521488478638,0.07632752671884205,0.17360935790625262,0.0366721304491301,0.5377009172767819,0.26836657409745013,23766,11883,12779,6378,1814,4126,17826,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.5,50,0.5220454124396829,0.00038568462194512985,0.023605150214592276,0.06475637465286543,0.08349383992292639,0.46229908272321807,0.10102667676512665,23766,11883,10987,2401,561,1539,21666,0
dev,pooled,Pooled,Pooled,head,0.5,50,0.22646499792017308,0.0012783555272218295,0.07983549215718423,0.1845657758102421,0.02816081317131705,0.49956276985298137,0.30649833306006447,73188,36594,36562,22432,5843,13508,53837,0
dev,pooled,Pooled,Pooled,tail,0.5,50,0.5227050154586939,0.002346989872365813,0.02665737552604252,0.06007815488877958,0.0652833213486481,0.5004372301470187,0.16834727004426955,73188,36594,36626,12321,1951,4397,66840,0
dev,pair,MKG-W,M-Hyper + NativE,head,0.6,60,0.19656429639905154,0.0032365411799531734,0.1416432803242906,0.29388836919239164,0.015220024132889878,0.5724976613657624,0.5724976613657624,12828,7697,7344,7344,1817,3770,7241,0
dev,pair,MKG-W,M-Hyper + NativE,tail,0.6,60,0.5276750958907073,0.008290736166421321,0.08481446835048331,0.10227627065793576,0.0565579671344896,0.6275335204240723,0.6275335204240723,12828,7697,8050,8050,1088,1312,10428,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,head,0.6,60,0.18999693375313909,0.0008614554234285933,0.06587153102588089,0.24251637043966323,0.015234146201298215,0.5144995322731525,0.32148425319613344,12828,7697,6600,4124,845,3111,8872,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,tail,0.6,60,0.520812663213123,0.004304210809293509,0.029934518241347054,0.12581852198316185,0.047558189682465425,0.6855316495166822,0.17500779544745867,12828,7697,8794,2245,384,1614,10830,0
dev,pair,DB15K,M-Hyper + NativE,head,0.6,60,0.2453592992575261,0.0018450010270456925,0.10939998316923336,0.23786080955987546,0.03293245631187044,0.6697803584953295,0.4154253976268619,23766,14260,15918,9873,2600,5653,15513,0
dev,pair,DB15K,M-Hyper + NativE,tail,0.6,60,0.5221551584698002,0.0004954306520623031,0.018976689388201632,0.046368762097113526,0.05683950510287722,0.5302112261213499,0.08204998737692502,23766,14260,12601,1950,451,1102,22213,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,head,0.6,60,0.24410440843916878,0.0005901102086883466,0.09782883110325676,0.22119835058486914,0.037195570795087,0.6441555162837668,0.3481023310611798,23766,14260,15309,8273,2325,5257,16184,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,tail,0.6,60,0.5218962311989309,0.00023650338119312136,0.03572330219641505,0.09075990911386014,0.0816054142521174,0.5558360683329125,0.1497938231086426,23766,14260,13210,3560,849,2157,20760,0
