dataset,pair_id,coverage_target,metric,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_unit
mkg_w,mkgw_mhyper_native,0.1,stable3_opportunity_rate,0.3686671862821512,0.34060597649772906,0.3961902723529305,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,stable3_opportunity_enrichment,0.945947127838271,0.8806704597495463,1.0105826565576048,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,stable3_gain_capture,0.19563742184371435,0.16387116161139378,0.22803274791132083,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,consensus_gain_capture,0.1998027081675384,0.1807099783616177,0.21857353759964987,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,high_gain_precision,0.2014809041309431,0.17536006529825454,0.22816123703188593,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,high_gain_recall,0.20132398753894082,0.1782133930183712,0.22532193181660348,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,high_gain_enrichment,2.0129260422054034,1.801027484076474,2.2289787549021316,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.1,raw_oracle_gain_capture,0.1982857584634485,0.18013251393084226,0.21655535304309254,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,selected_mean_realized_utility,0.022856177234468266,0.01653667774910548,0.02936003946205276,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,selective_population_gain,0.004571948143408605,0.0032949254413910437,0.005873231171149125,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,positive_transfer_rate,0.377435697583788,0.3600071878756858,0.39490588586765507,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,negative_transfer_rate,0.2484411535463757,0.23351202664196072,0.26363003497177,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,changed_rate,1.0,1.0,1.0,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,stable2_opportunity_rate,0.5941153546375681,0.5730270396318007,0.6151879676762724,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,stable2_opportunity_enrichment,0.9631989597839778,0.9344672691720659,0.9914051099701369,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,stable2_gain_capture,0.33732728095358927,0.30774749239080446,0.36598327382511087,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,stable3_opportunity_rate,0.36477007014809043,0.34432151671077577,0.3855783478464517,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,stable3_opportunity_enrichment,0.9359476867406149,0.8925905596376458,0.9802698749487448,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,stable3_gain_capture,0.31502109897227726,0.2753825640507182,0.3533820405620726,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,consensus_gain_capture,0.3078324891159223,0.2853888455620576,0.3295119159258907,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,high_gain_precision,0.1578332034294622,0.13977426274725077,0.17655179728167023,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,high_gain_recall,0.31542056074766356,0.2872805733596286,0.3441361734330484,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,high_gain_enrichment,1.5768569576270568,1.4463580660501598,1.7096673138226794,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.2,raw_oracle_gain_capture,0.3049961300046059,0.2835671135749902,0.3257873373057497,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,selected_mean_realized_utility,0.015954250166697943,0.01116602128553842,0.020746510499387232,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,selective_population_gain,0.004786399420528301,0.003351334035675363,0.006248408327379217,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,positive_transfer_rate,0.3676757178121346,0.35286375873892134,0.38211722403349774,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,negative_transfer_rate,0.2460698973626088,0.23385954872217793,0.258434353592444,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,changed_rate,1.0,1.0,1.0,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,stable2_opportunity_rate,0.5837339223073925,0.5654846027163326,0.6018242288085026,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,stable2_opportunity_enrichment,0.9463682471228096,0.9241609951670274,0.9681352775223839,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,stable2_gain_capture,0.42308465349537216,0.39292894860813565,0.4521644317342572,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,stable3_opportunity_rate,0.35598285046121864,0.33867212603226154,0.37291119196895056,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,stable3_opportunity_enrichment,0.9134009412374262,0.8794051432431859,0.9466462149727985,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,stable3_gain_capture,0.40459703328009966,0.36498265054864615,0.44296362135264833,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,consensus_gain_capture,0.39286572893393873,0.37011086341619753,0.4150676882083863,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,high_gain_precision,0.13134987657528907,0.11727818296836218,0.1457627228446818,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,high_gain_recall,0.39369158878504673,0.36522343070748536,0.42268870835047306,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,high_gain_enrichment,1.3122711968129348,1.223551940643134,1.4020956363471662,10000,original_triple_id
mkg_w,mkgw_mhyper_native,0.3,raw_oracle_gain_capture,0.38992435585467217,0.36813998915569895,0.41133078103561493,10000,original_triple_id
mkg_w,mkgw_mhyper_adamf,0.01,selected_mean_realized_utility,0.2630607772383866,0.20785824304732337,0.3176568951224365,10000,original_triple_id
