dataset,pair_id,coverage_target,metric,observed,random_mean,random_ci95_low,random_ci95_high,observed_minus_random_mean,random_samples,matching_strata
mkg_w,mkgw_mhyper_native,0.01,selected_mean_realized_utility,0.09962349876225059,0.036496774620314955,0.016770710269088274,0.057219149639799335,0.06312672414193563,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,selective_population_gain,0.000997943529073059,0.0003655936653188706,0.00016799472011052723,0.0005731728039222182,0.0006323498637541885,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,positive_transfer_rate,0.4474708171206226,0.3211011673151751,0.2801556420233463,0.3657587548638132,0.12636964980544751,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,negative_transfer_rate,0.26459143968871596,0.18765175097276265,0.14396887159533073,0.22957198443579765,0.0769396887159533,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,changed_rate,1.0,0.9124610894941636,0.8793774319066148,0.9416342412451362,0.0875389105058364,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,stable2_opportunity_rate,0.6536964980544747,0.5309785992217899,0.48638132295719844,0.5797665369649806,0.1227178988326848,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,stable2_opportunity_enrichment,1.0597938296420604,0.860839617164881,0.788537075626533,0.9399361941468274,0.19895421247717937,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,stable2_gain_capture,0.04283240147494853,0.023120856789011927,0.017856468512085263,0.02857238620433193,0.019711544685936604,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,stable3_opportunity_rate,0.38132295719844356,0.32670817120622564,0.2801556420233463,0.3735408560311284,0.05461478599221792,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,stable3_opportunity_enrichment,0.9784200209904258,0.8382863126779603,0.7188391990950068,0.9584522654600091,0.14013370831246552,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,stable3_gain_capture,0.03547859750207976,0.024303510740967524,0.01714445345849092,0.03200813906445373,0.011175086761112236,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,consensus_gain_capture,0.03553879483767579,0.020266614326000285,0.016667902861629252,0.024025204403855274,0.015272180511675504,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,high_gain_precision,0.3229571984435798,0.1971284046692607,0.1556420233463035,0.23735408560311283,0.12582879377431908,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,high_gain_recall,0.0323208722741433,0.019728193146417442,0.01557632398753894,0.023753894080996884,0.012592679127725857,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,high_gain_enrichment,3.226553692861559,1.9694417251536418,1.5549656351140042,2.371322593548856,1.257111967707917,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.01,raw_oracle_gain_capture,0.034371361567013155,0.019628494714371898,0.016228005219711995,0.02306290421446828,0.014742866852641257,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,selected_mean_realized_utility,0.04400835982811092,0.021474458720869106,0.01349072980895171,0.02914389606423078,0.02253390110724181,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,selective_population_gain,0.002200761056262329,0.0010738903390581176,0.0006746416567229906,0.0014574219929220488,0.0011268707172042113,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,positive_transfer_rate,0.37022603273577553,0.28793725643024165,0.26890101325019483,0.3094310210444271,0.08228877630553388,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,negative_transfer_rate,0.24629773967264224,0.19885580670303973,0.18004676539360873,0.2182385035074045,0.0474419329696025,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,changed_rate,1.0,0.8875339049103663,0.872954014029618,0.9025720966484801,0.11246609508963368,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,stable2_opportunity_rate,0.5759937646141855,0.5213998441153547,0.5019485580670304,0.5416991426344505,0.05459392049883083,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,stable2_opportunity_enrichment,0.9338196540247421,0.8453102306871114,0.8137751788794776,0.8782201076416722,0.08850942333763068,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,stable2_gain_capture,0.14158055474738343,0.09043606974562028,0.07979731719901303,0.10143503516976678,0.05114448500176315,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,stable3_opportunity_rate,0.3343725643024162,0.31813367108339835,0.2985190958690569,0.338269680436477,0.016238893219017836,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,stable3_opportunity_enrichment,0.8579520461788969,0.8162853750690735,0.7659571880804604,0.867951487276553,0.04166667110982336,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,stable3_gain_capture,0.12144290758737385,0.089904144174958,0.07527379696767593,0.10473760956255118,0.03153876341241585,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,consensus_gain_capture,0.12631961130402888,0.08410825260107614,0.07670097674814635,0.09155509921221819,0.04221135870295274,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,high_gain_precision,0.24863600935307872,0.1698156664068589,0.15276695245518315,0.18784099766173032,0.07882034294621981,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,high_gain_recall,0.12422118380062305,0.08484170560747663,0.0763239875389408,0.09384735202492211,0.039379478193146425,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,high_gain_enrichment,2.484036392508796,1.6965696017657212,1.526241796024213,1.87665445327467,0.7874667907430746,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.05,raw_oracle_gain_capture,0.12379700184830722,0.08221730311816675,0.07529565780060572,0.08917115122289163,0.041579698730140474,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,selected_mean_realized_utility,0.031259193554980705,0.019896647235799383,0.014972140074182164,0.024680918378212183,0.011362546319181321,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,selective_population_gain,0.003126406714299988,0.0019899749301161996,0.0014974474364808012,0.0024684766354261174,0.0011364317841837885,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,positive_transfer_rate,0.3862042088854248,0.3054495323460639,0.2918842556508184,0.31878409976617306,0.08075467653936086,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,negative_transfer_rate,0.2525331254871395,0.21045752143413876,0.1975837879968823,0.22291504286827749,0.04207560405300076,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,changed_rate,1.0,0.8939635619641465,0.8838659392049883,0.9037412314886983,0.1060364380358535,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,stable2_opportunity_rate,0.6102883865939205,0.5499653156664068,0.5374123148869836,0.5627533125487139,0.060323070927513656,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,stable2_opportunity_enrichment,0.989419200407812,0.8916214937590734,0.8712701643437885,0.9123538064296876,0.09779770664873855,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,stable2_gain_capture,0.2224267048441737,0.16774805745825233,0.1548324404950001,0.1808948885605599,0.054678647385921375,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,stable3_opportunity_rate,0.3686671862821512,0.3354939594699922,0.3211223694466095,0.3495713172252533,0.03317322681215901,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,stable3_opportunity_enrichment,0.945947127838271,0.8608293853547475,0.8239539464468659,0.8969498664597558,0.08511774248352344,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,stable3_gain_capture,0.19563742184371435,0.16765331779194667,0.1495171139508287,0.18710121885375466,0.027984104051767683,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,consensus_gain_capture,0.1998027081675384,0.15672814695734136,0.14785913329407696,0.16614433299796663,0.04307456121019704,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,high_gain_precision,0.2014809041309431,0.1606923226812159,0.14964925954793454,0.17147310989867498,0.04078858144972722,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,high_gain_recall,0.20132398753894082,0.16056717289719627,0.14953271028037382,0.17133956386292834,0.04075681464174455,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,high_gain_enrichment,2.0129260422054034,1.6054214294039235,1.495094004268617,1.7131285465577901,0.40750461280147987,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.1,raw_oracle_gain_capture,0.1982857584634485,0.15365848119852624,0.1452346490089817,0.16238778147318633,0.04462727726492227,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,selected_mean_realized_utility,0.022856177234468266,0.016279448394586022,0.013502660277805655,0.019058573683370186,0.006576728839882244,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,selective_population_gain,0.004571948143408605,0.00325639730125567,0.002700953092676123,0.0038123090171131822,0.0013155508421529346,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,positive_transfer_rate,0.377435697583788,0.3168743180046765,0.30845674201091194,0.32560405300077944,0.06056137957911145,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,negative_transfer_rate,0.2484411535463757,0.21085921667965704,0.2034294621979735,0.21921278254091972,0.03758193686671865,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,changed_rate,1.0,0.9010993764614186,0.8939984411535464,0.9076383476227592,0.09890062353858142,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,stable2_opportunity_rate,0.5941153546375681,0.5572653936087295,0.54871395167576,0.5654715510522214,0.03684996102883864,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,stable2_opportunity_enrichment,0.9631989597839778,0.9034566153823423,0.8895927421291184,0.9167607022935729,0.059742344401635505,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,stable2_gain_capture,0.33732728095358927,0.28529376885943486,0.2704246312232453,0.29922100353065595,0.05203351209415441,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,stable3_opportunity_rate,0.36477007014809043,0.342687646141855,0.3337879968823071,0.3511301636788776,0.022082424006235446,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,stable3_opportunity_enrichment,0.9359476867406149,0.8792873536769109,0.8564521300142485,0.9009496428988183,0.056660333063703994,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,stable3_gain_capture,0.31502109897227726,0.28821494501734246,0.26720261510364796,0.30937508168637706,0.026806153954934797,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,consensus_gain_capture,0.3078324891159223,0.2725362260711862,0.2623312277302484,0.28317299848796784,0.0352962630447361,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,high_gain_precision,0.1578332034294622,0.1399561574434918,0.13367108339828526,0.14633671083398286,0.017877045985970397,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,high_gain_recall,0.31542056074766356,0.27969431464174455,0.26713395638629284,0.2924454828660436,0.03572624610591901,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,high_gain_enrichment,1.5768569576270568,1.3982535729634837,1.3354615715211864,1.4619994755282961,0.17860338466357306,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.2,raw_oracle_gain_capture,0.3049961300046059,0.26835817520170563,0.25840116831678567,0.2783950169950595,0.036637954802900274,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,selected_mean_realized_utility,0.015954250166697943,0.013510777429636061,0.011523213513878932,0.015550247786416388,0.0024434727370618824,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,selective_population_gain,0.004786399420528301,0.0040533385514463964,0.0034570538827691823,0.004665195557064504,0.0007330608690819043,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,positive_transfer_rate,0.3676757178121346,0.3244936988437053,0.31752630895153955,0.3315577497726387,0.04318201896842927,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,negative_transfer_rate,0.2460698973626088,0.208114590100039,0.20189359490710668,0.21449915551513576,0.03795530726256982,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,changed_rate,1.0,0.9038875535923087,0.8986618162920619,0.9089288034299077,0.09611244640769134,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,stable2_opportunity_rate,0.5837339223073925,0.5605984799272444,0.5542419124334156,0.5671073145381317,0.023135442380148086,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,stable2_opportunity_enrichment,0.9463682471228096,0.9088603223389183,0.8985548502617194,0.9194126547734792,0.03750792478389131,2000,seed|direction|relation_id
mkg_w,mkgw_mhyper_native,0.3,stable2_gain_capture,0.42308465349537216,0.38025728961974564,0.36448773533596596,0.3963767879361877,0.04282736387562652,2000,seed|direction|relation_id
