dataset,pair_id,pair_label,coverage_target,selected_count,total_count,actual_coverage,score_threshold,selected_mean_realized_utility,selected_mean_realized_utility_ci95_low,selected_mean_realized_utility_ci95_high,selected_mean_realized_utility_random_mean,selected_mean_realized_utility_minus_random,selective_population_gain,selective_population_gain_ci95_low,selective_population_gain_ci95_high,selective_population_gain_random_mean,selective_population_gain_minus_random,positive_transfer_rate,positive_transfer_rate_ci95_low,positive_transfer_rate_ci95_high,positive_transfer_rate_random_mean,positive_transfer_rate_minus_random,negative_transfer_rate,negative_transfer_rate_ci95_low,negative_transfer_rate_ci95_high,negative_transfer_rate_random_mean,negative_transfer_rate_minus_random,changed_rate,changed_rate_ci95_low,changed_rate_ci95_high,changed_rate_random_mean,changed_rate_minus_random,stable2_opportunity_rate,stable2_opportunity_rate_ci95_low,stable2_opportunity_rate_ci95_high,stable2_opportunity_rate_random_mean,stable2_opportunity_rate_minus_random,stable2_opportunity_enrichment,stable2_opportunity_enrichment_ci95_low,stable2_opportunity_enrichment_ci95_high,stable2_opportunity_enrichment_random_mean,stable2_opportunity_enrichment_minus_random,stable2_gain_capture,stable2_gain_capture_ci95_low,stable2_gain_capture_ci95_high,stable2_gain_capture_random_mean,stable2_gain_capture_minus_random,stable3_opportunity_rate,stable3_opportunity_rate_ci95_low,stable3_opportunity_rate_ci95_high,stable3_opportunity_rate_random_mean,stable3_opportunity_rate_minus_random,stable3_opportunity_enrichment,stable3_opportunity_enrichment_ci95_low,stable3_opportunity_enrichment_ci95_high,stable3_opportunity_enrichment_random_mean,stable3_opportunity_enrichment_minus_random,stable3_gain_capture,stable3_gain_capture_ci95_low,stable3_gain_capture_ci95_high,stable3_gain_capture_random_mean,stable3_gain_capture_minus_random,consensus_gain_capture,consensus_gain_capture_ci95_low,consensus_gain_capture_ci95_high,consensus_gain_capture_random_mean,consensus_gain_capture_minus_random,high_gain_precision,high_gain_precision_ci95_low,high_gain_precision_ci95_high,high_gain_precision_random_mean,high_gain_precision_minus_random,high_gain_recall,high_gain_recall_ci95_low,high_gain_recall_ci95_high,high_gain_recall_random_mean,high_gain_recall_minus_random,high_gain_enrichment,high_gain_enrichment_ci95_low,high_gain_enrichment_ci95_high,high_gain_enrichment_random_mean,high_gain_enrichment_minus_random,raw_oracle_gain_capture,raw_oracle_gain_capture_ci95_low,raw_oracle_gain_capture_ci95_high,raw_oracle_gain_capture_random_mean,raw_oracle_gain_capture_minus_random
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,0.01,257,25656,0.010017149984409106,0.09929276257753372,0.09962349876225059,0.0518795200722962,0.1486184915468291,0.036496774620314955,0.06312672414193563,0.000997943529073059,0.0005066383431401623,0.0015217372513947399,0.0003655936653188706,0.0006323498637541885,0.4474708171206226,0.375,0.5230801687763713,0.3211011673151751,0.12636964980544751,0.26459143968871596,0.1970246141714543,0.336283185840708,0.18765175097276265,0.0769396887159533,1.0,1.0,1.0,0.9124610894941636,0.0875389105058364,0.6536964980544747,0.5743780908759003,0.7301066067561175,0.5309785992217899,0.1227178988326848,1.0597938296420604,0.9338030414237535,1.183511265823403,0.860839617164881,0.19895421247717937,0.04283240147494853,0.03046218630773389,0.056854561698727164,0.023120856789011927,0.019711544685936604,0.38132295719844356,0.3009231029810298,0.463817352911747,0.32670817120622564,0.05461478599221792,0.9784200209904258,0.7761406311523152,1.189797948807679,0.8382863126779603,0.14013370831246552,0.03547859750207976,0.020151593448055415,0.05451610887147422,0.024303510740967524,0.011175086761112236,0.03553879483767579,0.02635268211926984,0.0456410037424664,0.020266614326000285,0.015272180511675504,0.3229571984435798,0.24264471214017522,0.40425531914893614,0.1971284046692607,0.12582879377431908,0.0323208722741433,0.023340444930707513,0.04195011337868481,0.019728193146417442,0.012592679127725857,3.226553692861559,2.450858064694331,4.030563584408122,1.9694417251536418,1.257111967707917,0.034371361567013155,0.025822969804044433,0.043584130470026745,0.019628494714371898,0.014742866852641257
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,0.05,1283,25656,0.05000779544745868,0.03358764946460724,0.04400835982811092,0.027261416745205033,0.060717523687868806,0.021474458720869106,0.02253390110724181,0.002200761056262329,0.0013562574987289577,0.003050814219118837,0.0010738903390581176,0.0011268707172042113,0.37022603273577553,0.33871790955647835,0.40167046317388005,0.28793725643024165,0.08228877630553388,0.24629773967264224,0.21683831658969005,0.27740344339879236,0.19885580670303973,0.0474419329696025,1.0,1.0,1.0,0.8875339049103663,0.11246609508963368,0.5759937646141855,0.537660211595824,0.6135219585715754,0.5213998441153547,0.05459392049883083,0.9338196540247421,0.8748514605993474,0.9919737725011148,0.8453102306871114,0.08850942333763068,0.14158055474738343,0.12002551880309147,0.1633852792414078,0.09043606974562028,0.05114448500176315,0.3343725643024162,0.2982062342690513,0.3701975668656308,0.31813367108339835,0.016238893219017836,0.8579520461788969,0.7705436986576198,0.9444922848386456,0.8162853750690735,0.04166667110982336,0.12144290758737385,0.09551921956633189,0.14831869054312333,0.089904144174958,0.03153876341241585,0.12631961130402888,0.10992467226146345,0.14282047546245374,0.08410825260107614,0.04221135870295274,0.24863600935307872,0.21003744962761356,0.28693657262047984,0.1698156664068589,0.07882034294621981,0.12422118380062305,0.10472966089561445,0.1441650584029482,0.08484170560747663,0.039379478193146425,2.484036392508796,2.1448770530439387,2.829524660445806,1.6965696017657212,0.7874667907430746,0.12379700184830722,0.10840253393053623,0.13948847217734558,0.08221730311816675,0.041579698730140474
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,0.1,2566,25656,0.10001559089491736,0.017698880285024643,0.031259193554980705,0.02103516732527347,0.0416060737107256,0.019896647235799383,0.011362546319181321,0.003126406714299988,0.0020834052157543293,0.004184795533677742,0.0019899749301161996,0.0011364317841837885,0.3862042088854248,0.3625770917741087,0.4092844164217472,0.3054495323460639,0.08075467653936086,0.2525331254871395,0.2317252375613432,0.2747386035412142,0.21045752143413876,0.04207560405300076,1.0,1.0,1.0,0.8939635619641465,0.1060364380358535,0.6102883865939205,0.5825648313190157,0.6377439712280226,0.5499653156664068,0.060323070927513656,0.989419200407812,0.9480666149938793,1.0297756253533104,0.8916214937590734,0.09779770664873855,0.2224267048441737,0.1963381942197262,0.2476903778886079,0.16774805745825233,0.054678647385921375,0.3686671862821512,0.34060597649772906,0.3961902723529305,0.3354939594699922,0.03317322681215901,0.945947127838271,0.8806704597495463,1.0105826565576048,0.8608293853547475,0.08511774248352344,0.19563742184371435,0.16387116161139378,0.22803274791132083,0.16765331779194667,0.027984104051767683,0.1998027081675384,0.1807099783616177,0.21857353759964987,0.15672814695734136,0.04307456121019704,0.2014809041309431,0.17536006529825454,0.22816123703188593,0.1606923226812159,0.04078858144972722,0.20132398753894082,0.1782133930183712,0.22532193181660348,0.16056717289719627,0.04075681464174455,2.0129260422054034,1.801027484076474,2.2289787549021316,1.6054214294039235,0.40750461280147987,0.1982857584634485,0.18013251393084226,0.21655535304309254,0.15365848119852624,0.04462727726492227
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,0.2,5132,25656,0.20003118178983473,0.009649918414652348,0.022856177234468266,0.01653667774910548,0.02936003946205276,0.016279448394586022,0.006576728839882244,0.004571948143408605,0.0032949254413910437,0.005873231171149125,0.00325639730125567,0.0013155508421529346,0.377435697583788,0.3600071878756858,0.39490588586765507,0.3168743180046765,0.06056137957911145,0.2484411535463757,0.23351202664196072,0.26363003497177,0.21085921667965704,0.03758193686671865,1.0,1.0,1.0,0.9010993764614186,0.09890062353858142,0.5941153546375681,0.5730270396318007,0.6151879676762724,0.5572653936087295,0.03684996102883864,0.9631989597839778,0.9344672691720659,0.9914051099701369,0.9034566153823423,0.059742344401635505,0.33732728095358927,0.30774749239080446,0.36598327382511087,0.28529376885943486,0.05203351209415441,0.36477007014809043,0.34432151671077577,0.3855783478464517,0.342687646141855,0.022082424006235446,0.9359476867406149,0.8925905596376458,0.9802698749487448,0.8792873536769109,0.056660333063703994,0.31502109897227726,0.2753825640507182,0.3533820405620726,0.28821494501734246,0.026806153954934797,0.3078324891159223,0.2853888455620576,0.3295119159258907,0.2725362260711862,0.0352962630447361,0.1578332034294622,0.13977426274725077,0.17655179728167023,0.1399561574434918,0.017877045985970397,0.31542056074766356,0.2872805733596286,0.3441361734330484,0.27969431464174455,0.03572624610591901,1.5768569576270568,1.4463580660501598,1.7096673138226794,1.3982535729634837,0.17860338466357306,0.3049961300046059,0.2835671135749902,0.3257873373057497,0.26835817520170563,0.036637954802900274
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,0.3,7697,25656,0.3000077954474587,0.007088132668286562,0.015954250166697943,0.01116602128553842,0.020746510499387232,0.013510777429636061,0.0024434727370618824,0.004786399420528301,0.003351334035675363,0.006248408327379217,0.0040533385514463964,0.0007330608690819043,0.3676757178121346,0.35286375873892134,0.38211722403349774,0.3244936988437053,0.04318201896842927,0.2460698973626088,0.23385954872217793,0.258434353592444,0.208114590100039,0.03795530726256982,1.0,1.0,1.0,0.9038875535923087,0.09611244640769134,0.5837339223073925,0.5654846027163326,0.6018242288085026,0.5605984799272444,0.023135442380148086,0.9463682471228096,0.9241609951670274,0.9681352775223839,0.9088603223389183,0.03750792478389131,0.42308465349537216,0.39292894860813565,0.4521644317342572,0.38025728961974564,0.04282736387562652,0.35598285046121864,0.33867212603226154,0.37291119196895056,0.3466676627257373,0.009315187735481345,0.9134009412374262,0.8794051432431859,0.9466462149727985,0.8894995054396956,0.02390143579773063,0.40459703328009966,0.36498265054864615,0.44296362135264833,0.38310273214310836,0.0214943011369913,0.39286572893393873,0.37011086341619753,0.4150676882083863,0.3701365788048023,0.022729150129136455,0.13134987657528907,0.11727818296836218,0.1457627228446818,0.1247281408340912,0.0066217357411978706,0.39369158878504673,0.36522343070748536,0.42268870835047306,0.37384443146417445,0.019847157320872277,1.3122711968129348,1.223551940643134,1.4020956363471662,1.246115724781715,0.06615547203121985,0.38992435585467217,0.36813998915569895,0.41133078103561493,0.3659800572977756,0.02394429855689656
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,0.01,257,25656,0.010017149984409106,0.11421636492013931,0.2630607772383866,0.20785824304732337,0.3176568951224365,0.04830994632996147,0.21475083090842514,0.0026351192606121512,0.001952359157445686,0.0033519160312620467,0.0004839279781259782,0.002151191282486173,0.8054474708171206,0.7459009630471244,0.861003861003861,0.23540077821011676,0.5700466926070039,0.12062256809338522,0.07589084257349149,0.17131758679567438,0.059710116731517514,0.0609124513618677,1.0,1.0,1.0,0.3442743190661478,0.6557256809338522,0.7470817120622568,0.6798557596610458,0.8070192706174886,0.3533540856031128,0.393727626459144,1.402951866832767,1.2782954505229192,1.5163149792417456,0.6635670048480063,0.7393848619847606,0.08161696073036759,0.06196650578740522,0.10215378816587929,0.02339637303451953,0.05822058769584806,0.5330739299610895,0.44905467847516367,0.6141095174306531,0.25198443579766533,0.28108949416342416,1.4551063673882023,1.228839304569501,1.675181002343463,0.6878298419858393,0.767276525402363,0.09111531008369425,0.06474707565077589,0.11904272369567848,0.026300872721194715,0.06481443736249953,0.07630853654637831,0.05985538034447456,0.09376243166699712,0.022885857573099563,0.05342267897327875,0.5019455252918288,0.41639252849046254,0.5847464958066976,0.17607976653696494,0.32586575875486384,0.05023364485981308,0.03959947957893742,0.061424124188208695,0.017621690031152645,0.03261195482866044,5.014764173242663,4.195322168258159,5.863651002736698,1.7591520600749118,3.255612113167752,0.06917068455238144,0.054671109570495716,0.0844662874477986,0.02161696746191432,0.04755371709046712
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,0.05,1283,25656,0.05000779544745868,0.024757837876677513,0.10243919622112149,0.08320716120009461,0.12190562304908484,0.02618918860313531,0.07625000761798618,0.005122758370427926,0.004101478254308127,0.006203558900700501,0.0013096635866005069,0.003813094783827419,0.6921278254091972,0.6591076582148011,0.7242741054634565,0.25122486360093527,0.4409029618082619,0.21979734996102884,0.1913179784705718,0.24921408062814954,0.07828565861262667,0.1415116913484022,1.0,1.0,1.0,0.38941582229150423,0.6105841777084957,0.7770849571317225,0.745864453952561,0.8068367464946749,0.47048207326578334,0.3066028838659392,1.4592952466821458,1.401484346348314,1.5165282253086707,0.8835227691192312,0.5757724775629146,0.23470489328073532,0.2051031543212735,0.26566267394870147,0.1038451160924939,0.13085977718824143,0.593141075604053,0.5543698971320777,0.6316674476275125,0.32640257209664847,0.2667385035074046,1.619068777071772,1.5146811365018913,1.7224017143637662,0.8909654633164819,0.7281033137552901,0.2639171604450909,0.22515574409971348,0.3044691342201259,0.1093969450856058,0.1545202153594851,0.21410677260663039,0.18863353306443537,0.24076643680661822,0.09819101703832546,0.11591575556830493,0.2829306313328137,0.24566663511870962,0.3214009612502182,0.15204793452844895,0.13088269680436476,0.1413551401869159,0.12347059406501303,0.1597061098221191,0.0759647585669782,0.0653903816199377,2.8266621018203537,2.508039347902292,3.1605437990726846,1.5190583365505785,1.3076037652697752,0.19913200238705908,0.1764984883288752,0.22269928154368918,0.09428787315935336,0.10484412922770572
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,0.1,2566,25656,0.10001559089491736,0.01011420227587223,0.0540391780329714,0.043273721276166556,0.06524964538077319,0.016966523871373988,0.03707265416159741,0.005404760322443273,0.004275138920105094,0.006587287306897098,0.0016969169104281904,0.003707843412015083,0.6360093530787218,0.6131106919707798,0.6586875537091054,0.3207653936087295,0.31524395946999223,0.26110678098207324,0.24099266089987978,0.28172809471261634,0.11464010132501949,0.14646667965705373,1.0,1.0,1.0,0.5037402572096649,0.49625974279033513,0.769680436477007,0.7476624841242453,0.7919307123532818,0.5673665237724084,0.20231391270459864,1.4453902267789558,1.4024592934154887,1.4882494299100002,1.0654630020425202,0.3799272247364356,0.30573671202979136,0.2739222047816901,0.337959290621625,0.17287889160989703,0.13285782041989433,0.5775526110678099,0.5506540579227193,0.6049436016657213,0.4029169914263446,0.1746356196414653,1.5765176922604245,1.5048298329591672,1.647738260565148,1.0998232080045,0.4766944842559244,0.33531214770501333,0.29464131479265143,0.3765268796825725,0.18242580777110493,0.1528863399339084,0.28196916578534076,0.25462759092607806,0.31012550719578313,0.16287058739737847,0.11909857838796228,0.1979734996102884,0.1728635572043,0.22316316105109457,0.13704657053780203,0.06092692907248637,0.19781931464174454,0.17609966549512887,0.21960820535110595,0.13693983644859814,0.0608794781931464,1.977884776480358,1.7812633139337384,2.1799044613940546,1.3691848963075737,0.6086998801727843,0.26583861927917146,0.24112700048225935,0.2909073561330637,0.15804613066358786,0.1077924886155836
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,0.2,5132,25656,0.20003118178983473,0.0041789948008954525,0.029690710369446253,0.02384760768127675,0.03573585642024935,0.010693719460527325,0.018996990908918928,0.005939067883380035,0.004751049308788751,0.007186635335286458,0.0021390773414182353,0.0037999905419617997,0.6313328137178488,0.6149710521315953,0.6478929954665524,0.4064802221356197,0.2248525915822291,0.24279033515198753,0.2283853009132753,0.25768327299340216,0.14858710054559626,0.09420323460639127,1.0,1.0,1.0,0.6249201091192517,0.37507989088074833,0.7918939984411536,0.7751153209220067,0.8082866048857804,0.6685864185502728,0.12330757989088081,1.4871052864885257,1.4527470243270084,1.5218576604354375,1.2555448070799153,0.23156047940861035,0.4049201918793418,0.37265498118083246,0.4374789163640938,0.27498491870181807,0.12993527317752374,0.5917770849571318,0.5712620552083574,0.6126025296271772,0.4905209469992206,0.10125613795791116,1.615345557150779,1.5626513850224162,1.6701260126616122,1.3389515284830307,0.2763940286677484,0.44491905846348795,0.403626300914507,0.48704699809263,0.29479293019225017,0.15012612827123778,0.37291044797548834,0.3453276031297295,0.401083967553322,0.25662340016969487,0.11628704780579346,0.14867498051441932,0.13143255183926258,0.16617873284081175,0.11942673421667965,0.029248246297739672,0.2971183800623053,0.2711379251116455,0.3233000993678866,0.23866744548286603,0.058450934579439257,1.4853603193449931,1.3674977836394104,1.6050817186004234,1.1931512044638366,0.29220911488115653,0.35496629782063416,0.33021385637093087,0.3805061035384232,0.24897767842151644,0.10598861939911772
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,0.3,7697,25656,0.3000077954474587,0.0009266992565244436,0.01942888614419524,0.015361266177844144,0.023565112227831135,0.007556125354061101,0.011872760790134138,0.0058288173001196895,0.004592983939025422,0.007091567313370022,0.0022668965095965186,0.003561920790523171,0.6259581655190334,0.6121826342449347,0.6400111231511233,0.37705157853709237,0.248906586981941,0.21904638170715862,0.20746764176894603,0.2306293117072724,0.1317026114070417,0.08734377030011692,1.0,1.0,1.0,0.5830197479537482,0.4169802520462518,0.7880992594517344,0.774323919265137,0.802238076180877,0.6858504612186567,0.10224879823307775,1.4799791099761161,1.4510229842663256,1.5099686501224248,1.28796511733464,0.19201399264147612,0.49727774975270544,0.46544772238557713,0.5286945217804103,0.3636609692325379,0.13361678052016757,0.5781473301286215,0.5603967646021994,0.5960031767584254,0.4968804079511498,0.08126692217747172,1.5781410683881174,1.5363702854964278,1.6205544324391645,1.3563106443658581,0.22183042402225928,0.5418117807938394,0.502168819588686,0.581351446281419,0.3861103757623838,0.15570140503145563,0.4593958948151782,0.4320918379817351,0.4869115460466208,0.34315189210071456,0.11624400271446361,0.13070027283357152,0.1164335487743516,0.14529737689171707,0.11425120176692218,0.01644907106664935,0.3917445482866044,0.3640029904670535,0.42023809523809524,0.3424421728971963,0.04930237538940807,1.305781230458766,1.2196968517145623,1.3927851395369037,1.1414442494284094,0.16433698103035654,0.4401774164076043,0.4152591501098751,0.4650625921450989,0.33638029291803995,0.10379712348956438
