outer_fold,count,training_gain,positive_gain_rate,negative_transfer_rate
1,20538,0.00462921861001741,0.33182393611841465,0.15829194663550492
2,20496,0.003569844761303068,0.37797619047619047,0.1881342701014832
3,20514,0.007801768233324435,0.39953202690845274,0.16978648727698156
4,20502,0.0010002719522085523,0.38225538971807627,0.20627255877475367
5,20574,0.002864350382715178,0.39729756002721883,0.19072615923009623
