pair,label,split,stratum,value,n_observations,n_triples,n_directional_queries,mass,primary_mrr,secondary_mrr,primary_advantage,a_win_rate,b_win_rate,tie_rate,oracle_mrr,best_single_mrr,oracle_gap,oracle_minus_primary,rank_disagree_rate,mean_abs_log2_rank_ratio,gold_hit10_disagree_rate,global_mrr,adc_mrr,delta_mrr,delta_contribution,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_native,W-N,dev_oof,winner,A,8214,3186,4829,0.32015902712815714,0.3576746777359138,0.16159821909201288,0.19607645864390094,1.0,0.0,0.0,0.3576746777359138,0.3576746777359138,0.0,0.0,1.0,1.2959784914703996,0.08826393961529097,0.3166822643161513,0.3277847802310524,0.011102515914901082,0.0035545706939896123,0.01899352580278536,0.007891009887884276,0.2098855612369126,0.16484051619186754,0.6017774531288045,0.3982225468711955
mkgw_mhyper_native,W-N,dev_oof,winner,B,11353,3383,5220,0.44250857499220453,0.04839242521815931,0.1351628715297001,-0.0867704463115408,0.0,1.0,0.0,0.1351628715297001,0.1351628715297001,0.0,0.0867704463115408,1.0,1.721274372006495,0.11891130097771514,0.08149772479890428,0.08043890477930224,-0.001058820019602036,-0.00046853693804731504,0.0032839160202724977,0.004342736039874533,0.1811855897119704,0.3310138289438915,0.5687483484541531,0.43125165154584694
mkgw_mhyper_native,W-N,dev_oof,winner,tie,6089,2214,2909,0.23733239787963828,0.9138875574027414,0.9138875574027414,0.0,0.0,0.0,1.0,0.9138875574027414,0.9138875574027414,0.0,0.0,0.0,0.0,0.0,0.9197987406323782,0.9197330185319007,-6.572210047772857e-05,-1.5597983700065842e-05,0.0009979886652120224,0.001063710765689751,0.009196912465101003,0.007390376088027591,0.794547544752833,0.20545245524716702
mkgw_mhyper_native,W-N,dev_oof,rank_ratio_bin,equal,6089,2214,2909,0.23733239787963828,0.9138875574027414,0.9138875574027414,0.0,0.0,0.0,1.0,0.9138875574027414,0.9138875574027414,0.0,0.0,0.0,0.0,0.0,0.9197987406323782,0.9197330185319007,-6.572210047772857e-05,-1.5597983700065842e-05,0.0009979886652120224,0.001063710765689751,0.009196912465101003,0.007390376088027591,0.794547544752833,0.20545245524716702
mkgw_mhyper_native,W-N,dev_oof,rank_ratio_bin,"(1,2]",9738,3688,5777,0.37956033676333023,0.26171621955353347,0.1835373919284707,0.07817882762506276,0.5308071472581639,0.4691928527418361,0.0,0.2902152952607437,0.26171621955353347,0.02849907570721022,0.02849907570721022,1.0,0.6083358715839664,0.033785171493119735,0.2557560435237886,0.2627695612366613,0.007013517712872736,0.0026620531449935573,0.01377330521652123,0.006759787503648491,0.17662764428013966,0.22140069829533784,0.5987882522078456,0.40121174779215446
mkgw_mhyper_native,W-N,dev_oof,rank_ratio_bin,"(2,4]",5031,2734,3617,0.19609448082319925,0.12269298051610175,0.1051522151339108,0.017540765382190945,0.35758298548996226,0.6424170145100377,0.0,0.17159243963309675,0.12269298051610175,0.048899459116995,0.048899459116995,1.0,1.494449437814945,0.10137149672033392,0.1281805559180569,0.1297670778601371,0.001586521942080218,0.00031110819654683414,0.006371546259224466,0.004785024317144249,0.20691711389385808,0.3094812164579606,0.595905386603061,0.404094613396939
mkgw_mhyper_native,W-N,dev_oof,rank_ratio_bin,>4,4798,2214,2925,0.18701278453383224,0.06700251676443145,0.11370653087960114,-0.046704014115169695,0.259691538140892,0.7403084618591079,0.0,0.16320253738146104,0.11370653087960114,0.049496006501859896,0.09620002061702959,1.0,3.4898385650679336,0.2576073363901626,0.08150126304219045,0.08210481757822531,0.0006035545360348679,0.00011287241440190584,0.00565140143676336,0.005047846900728492,0.212588578574406,0.2915798249270529,0.5358482701125469,0.4641517298874531
mkgw_mhyper_native,W-N,dev_oof,direction,head,12828,4276,4276,0.5,0.1891354783297105,0.17825235151911442,0.010883126810596083,0.3356719675709386,0.5520735890240099,0.11225444340505145,0.2204779853700369,0.1891354783297105,0.0313425070403264,0.0313425070403264,0.8877455565949486,1.2909755047626459,0.06914561895852822,0.1932900095799625,0.19453413985875578,0.0012441302787932695,0.0006220651393966347,0.004562873623872331,0.003318743345079062,0.16978484565014032,0.33793264733395695,0.6467882756470221,0.3532117243529779
mkgw_mhyper_native,W-N,dev_oof,direction,tail,12828,4276,4276,0.5,0.5165084524038296,0.4786336158276093,0.03787483657622026,0.30464608668537574,0.3329435609603991,0.36241035235422514,0.5619592784610182,0.5165084524038296,0.04545082605718864,0.04545082605718864,0.6375896476457749,1.062220260308106,0.09260991580916744,0.518210327218087,0.5231070684837782,0.004896741265691195,0.0024483706328455976,0.010979055944626937,0.006082314678935744,0.1293264733395697,0.06407857811038353,0.6190364826941066,0.38096351730589334
mkgw_mhyper_native,W-N,dev_oof,support,neither,1020,339,340,0.039756782039289056,0.45139268793735554,0.4171983887845659,0.03419429915278965,0.32450980392156864,0.34901960784313724,0.3264705882352941,0.48469940639089987,0.45139268793735554,0.033306718453544326,0.033306718453544326,0.6735294117647059,1.326538362240808,0.09607843137254903,0.45264127907686796,0.4572267827087154,0.004585503631847485,0.00018230486843172884,0.007207133843900441,0.002621630212052954,0.1284313725490196,0.0892156862745098,0.5764705882352941,0.4235294117647059
mkgw_mhyper_native,W-N,dev_oof,support,image-only,1137,358,379,0.04431711880261927,0.38988775434254347,0.3492303580691928,0.04065739627335069,0.3729111697449428,0.3491644678979771,0.27792436235708,0.4146819301070772,0.38988775434254347,0.024794175764533744,0.024794175764533744,0.7220756376429199,1.2785608109131206,0.08970976253298153,0.3880099520301934,0.3896698036113717,0.0016598515811783712,7.355983971779732e-05,0.0063467249241028695,0.004686873342924498,0.12313104661389622,0.12401055408970976,0.5611257695690414,0.4388742304309587
mkgw_mhyper_native,W-N,dev_oof,support,text-only,0,0,0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
mkgw_mhyper_native,W-N,dev_oof,support,both,23499,4242,7833,0.9159260991580916,0.3467499648949435,0.3235846595786562,0.0231653053162873,0.3174177624579769,0.45108302480956636,0.2314992127324567,0.38602572328074847,0.3467499648949435,0.03927575838580499,0.03927575838580499,0.7685007872675433,1.1651560705916746,0.07979062938848462,0.34998361208258405,0.35305653583339747,0.0030729237508133303,0.002814571064092705,0.00786435038704733,0.004791426636233999,0.1517511383463126,0.20958338652708625,0.6388356951359633,0.3611643048640368
mkgw_mhyper_native,W-N,test,winner,A,8367,3195,4879,0.32627515208235847,0.35620367588606533,0.16046208152569416,0.19574159436037117,1.0,0.0,0.0,0.35620367588606533,0.35620367588606533,0.0,0.0,1.0,1.3086770759711748,0.0861718656627226,0.3149272948585354,0.3234478987065246,0.008520603847989224,0.0027800613163362123,0.017597967270757152,0.009077363422767928,0.2221823831719852,0.15525277877375404,0.5965100991992351,0.4034899008007649
mkgw_mhyper_native,W-N,test,winner,B,11091,3365,5161,0.4324988301357043,0.05541616340506113,0.15294557132676195,-0.09752940792170083,0.0,1.0,0.0,0.15294557132676195,0.15294557132676195,0.0,0.09752940792170083,1.0,1.7221358313509947,0.12722026868632225,0.09452471656202745,0.09356762684777893,-0.0009570897142485385,-0.00041394018174740837,0.004098082501436746,0.005055172215685284,0.17834280046884862,0.3262104408980254,0.5711838427553872,0.42881615724461275
mkgw_mhyper_native,W-N,test,winner,tie,6186,2291,2974,0.2412260177819373,0.9100722514484963,0.9100722514484963,0.0,0.0,0.0,1.0,0.9100722514484963,0.9100722514484963,0.0,0.0,0.0,0.0,0.0,0.9162790329701543,0.9166128590423209,0.00033382607216652423,8.052753402051625e-05,0.0016399283772608327,0.0013061023050943085,0.007759456838021339,0.010184287099903006,0.7943743937924346,0.20562560620756548
mkgw_mhyper_native,W-N,test,rank_ratio_bin,equal,6186,2291,2974,0.2412260177819373,0.9100722514484963,0.9100722514484963,0.0,0.0,0.0,1.0,0.9100722514484963,0.9100722514484963,0.0,0.0,0.0,0.0,0.0,0.9162790329701543,0.9166128590423209,0.00033382607216652423,8.052753402051625e-05,0.0016399283772608327,0.0013061023050943085,0.007759456838021339,0.010184287099903006,0.7943743937924346,0.20562560620756548
mkgw_mhyper_native,W-N,test,rank_ratio_bin,"(1,2]",9735,3704,5832,0.3796209639681797,0.26704497962350054,0.1922626563640833,0.07478232325941725,0.5354904982023626,0.4645095017976374,0.0,0.299170655267279,0.26704497962350054,0.03212567564377844,0.03212567564377844,1.0,0.6123691911186357,0.03389830508474576,0.26672020591735407,0.27317908021658033,0.00645887429922625,0.00245192408762157,0.013853506808431022,0.007394632509204772,0.17750385208012326,0.21571648690292758,0.5987673343605547,0.4012326656394453
mkgw_mhyper_native,W-N,test,rank_ratio_bin,"(2,4]",4854,2753,3580,0.18928404305100607,0.13436924264816308,0.12616149804591664,0.008207744602246436,0.36794396374124433,0.6320560362587556,0.0,0.19670139656750998,0.13436924264816308,0.062332153919346905,0.062332153919346905,1.0,1.5098822352344632,0.11227853316852081,0.14432990421255426,0.1437072501178946,-0.000622654094659642,-0.00011785848445944089,0.005733056294509377,0.006355710389169019,0.21590440873506386,0.2915121549237742,0.592707045735476,0.4072929542645241
mkgw_mhyper_native,W-N,test,rank_ratio_bin,>4,4869,2290,3004,0.18986897519887694,0.07045915876263702,0.11395372694421228,-0.043494568181575266,0.2809611829944547,0.7190388170055453,0.0,0.166247808535258,0.11395372694421228,0.05229408159104572,0.09578864977262098,1.0,3.4420881402334556,0.25816389402341344,0.07933287077790743,0.0795017005269125,0.00016882974900506365,3.205553142667505e-05,0.00616181580288263,0.005992986053877566,0.21790922160607928,0.28794413637297184,0.5380981721092627,0.4619018278907373
mkgw_mhyper_native,W-N,test,direction,head,12822,4274,4274,0.5,0.184160657385129,0.17763190643560015,0.006528750949528844,0.3470597410700359,0.5460926532522228,0.10684760567774138,0.2203576337325465,0.184160657385129,0.0361969763474175,0.0361969763474175,0.8931523943222586,1.318865469081064,0.07182966775854001,0.1928064066950489,0.1939230022024908,0.0011165955074419341,0.0005582977537209671,0.005397303205615255,0.004280707698173322,0.1859304320698799,0.32912182186866323,0.6586335985025737,0.3413664014974263
