epoch,train_loss,val_loss,val_pair_accuracy
1,0.6190718024066,0.6098652482032776,0.5665500164031982
2,0.6032427890282689,0.6047961115837097,0.5720666646957397
3,0.5992757163264535,0.6011712551116943,0.5767333507537842
4,0.5961234551487546,0.5996685028076172,0.5800333619117737
5,0.593590623050025,0.5964201092720032,0.5823500156402588
6,0.591465058200287,0.595781147480011,0.581333339214325
7,0.5898053501591538,0.5951838493347168,0.5859666466712952
8,0.5883572119655032,0.5927404761314392,0.5871000289916992
9,0.5871302501270266,0.59207683801651,0.5859833359718323
10,0.5861600860953331,0.5909018516540527,0.5893833637237549
11,0.5851340849291194,0.5915065407752991,0.588866651058197
12,0.5842629542404955,0.5902463793754578,0.5891833305358887
13,0.5835297527638349,0.589759111404419,0.5885000228881836
14,0.5827068995797273,0.5881678462028503,0.5925333499908447
15,0.5816753987561573,0.5879632234573364,0.5959666967391968
16,0.5808035133011413,0.5878441333770752,0.5969833135604858
17,0.5799997521169258,0.5869098901748657,0.5955333113670349
18,0.5792140712340673,0.5858785510063171,0.598966658115387
19,0.5785939702481935,0.5863386988639832,0.5983333587646484
20,0.5784405905640486,0.5854847431182861,0.6004666686058044
21,0.5775699732881604,0.5855940580368042,0.5981666445732117
22,0.5773645899061001,0.5847261548042297,0.5989500284194946
23,0.5766556025906042,0.5843479037284851,0.5991500020027161
24,0.5765058120543306,0.5854703187942505,0.5994833111763
25,0.5759294493631884,0.58428955078125,0.597599983215332
26,0.5753574145562721,0.5839568376541138,0.5997333526611328
27,0.5750743809974554,0.5842522382736206,0.598383367061615
28,0.5747103311798789,0.5832899212837219,0.5997166633605957
29,0.574139355032733,0.5825666785240173,0.600266695022583
30,0.5741135281595316,0.5829933881759644,0.6033666729927063
