pair,method,deployable,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation,hits_at_1,hits_at_3,hits_at_10
mkgw_mhyper_native,Primary,True,25644,0.3597209394760818,0.36466512265731504,-0.004944183181233283,0.4848697551084074,0.15664482919981282,0.6415145843082203,0.04229087058300426,0.020505564062902625,0.015561380881669345,,,0.30201996568398065,0.38254562470753395,0.46927156449851815
mkgw_mhyper_native,Secondary,True,25644,0.33803667583727187,0.36466512265731504,-0.026628446820043214,0.35076431133988456,0.3696771174543753,0.7204414287942599,0.15342196765371344,0.05381495082846484,0.027186504008421628,,,0.24220090469505537,0.39560910934331617,0.49617844330057714
mkgw_mhyper_native,Equal-z,True,25644,0.3649679379474283,0.36466512265731504,0.0003028152901132736,0.15114646700982687,0.360981126189362,0.5121275931991889,0.04763215506043981,0.007199431953449724,0.007502247243562997,,,0.29558571205740136,0.3963500233972859,0.49103104039931367
mkgw_mhyper_native,RRF,True,25644,0.3455464247470944,0.36466512265731504,-0.019118697910220684,0.322531586335985,0.3416783653096241,0.6642099516456091,0.1070415404184633,0.034524277835014425,0.015405579924793739,,,0.2577600998284199,0.39455623147714863,0.4955545156761816
mkgw_mhyper_native,Global,True,25644,0.36466512265731504,0.36466512265731504,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.2965605989705194,0.3949851817189206,0.48927624395570113
mkgw_mhyper_native,Relation,True,25644,0.36892126595360974,0.36466512265731504,0.004256143296294675,0.2682108875370457,0.3344642021525503,0.602675089689596,0.053800909323868135,0.01442998964005479,0.018686132936349464,,,0.3019419747309312,0.39857276555919513,0.49255186398377787
mkgw_mhyper_native,Expert-oracle,False,25644,0.4019022943060453,0.36466512265731504,0.037237171648730215,0.12642333489315238,0.5109187334269225,0.6373420683200749,0.04111311428331022,0.005197657015539375,0.042434828664269585,,,0.33703790360318203,0.42754640461706445,0.5242941818749025
mkgw_mhyper_adamf,Primary,True,25644,0.3597209394760818,0.3597209394760818,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.30201996568398065,0.38254562470753395,0.46927156449851815
mkgw_mhyper_adamf,Secondary,True,25644,0.2963189096948776,0.3597209394760818,-0.0634020297812042,0.4445874278583684,0.3519341756356263,0.7965216034939947,0.21236081804453255,0.09441294987231771,0.031010920091113493,,,0.2009436905318983,0.35645765091249415,0.44883793479956324
mkgw_mhyper_adamf,Equal-z,True,25644,0.33664454128382654,0.3597209394760818,-0.023076398192255237,0.26727499610045236,0.4388550928092341,0.7061300889096864,0.1588751784315433,0.04246336269574941,0.01938696450349417,,,0.2488301357042583,0.3855482763999376,0.4816331305568554
mkgw_mhyper_adamf,RRF,True,25644,0.3224709170162916,0.3597209394760818,-0.03725002245979023,0.370145063172672,0.3896038059585088,0.7597488691311808,0.17157495999302877,0.0635076244054683,0.02625760194567807,,,0.2289034472001248,0.37802214943066603,0.4763687412260178
mkgw_mhyper_adamf,Global,True,25644,0.3597209394760818,0.3597209394760818,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.30201996568398065,0.38254562470753395,0.46927156449851815
mkgw_mhyper_adamf,Relation,True,25644,0.3586724782253811,0.3597209394760818,-0.0010484612507006563,0.04507877086257994,0.08848073623459679,0.13355950709717673,0.10063278950870945,0.004536402459525351,0.003487941208824695,,,0.2995632506629231,0.38215566994228667,0.4697005147402901
mkgw_mhyper_adamf,Expert-oracle,False,25644,0.3907318595671953,0.3597209394760818,0.031010920091113493,0.0,0.3519341756356263,0.3519341756356263,,0.0,0.031010920091113493,,,0.3265091249415068,0.4167056621431914,0.5114646700982686
