pair,method,seed,direction,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,Primary,1,head,4274,0.18471850074188265,0.19402527077677456,-0.00930677003489195,0.6186242395882078,0.19489939167056622,0.813523631258774,0.030922975926397183,0.019129702468271913,0.009822932433379962,,
mkgw_mhyper_native,Primary,1,tail,4274,0.5365019821247469,0.5399663310183658,-0.00346434889361894,0.34604585868039306,0.11722040243331773,0.46326626111371083,0.06434888439029422,0.02226766495396471,0.018803316060345774,,
mkgw_mhyper_native,Primary,2,head,4274,0.1837427902425047,0.19127650411339328,-0.007533713870888606,0.6335985025737014,0.18788020589611604,0.8214787084698175,0.030083739365480245,0.0190610122137858,0.011527298342897195,,
mkgw_mhyper_native,Primary,2,tail,4274,0.5339654534246362,0.5355971045545855,-0.001631651129949206,0.35049134300421153,0.11909218530650445,0.469583528310716,0.06425395477965865,0.02252045490405443,0.02088880377410523,,
mkgw_mhyper_native,Primary,3,head,4274,0.1840206811709998,0.1931174451949789,-0.009096764023979112,0.6214319138979878,0.1918577445016378,0.8132896583996256,0.02885218887477517,0.017929670952597766,0.008832906928618654,,
mkgw_mhyper_native,Primary,3,tail,4274,0.5353762291517203,0.5340080802857923,0.001368148865928116,0.3390266729059429,0.12891904539073468,0.4679457182966776,0.06525999472283205,0.022124878884741135,0.023493027750669252,,
mkgw_mhyper_native,Secondary,1,head,4274,0.177620557727011,0.19402527077677456,-0.01640471304976362,0.39588207767898925,0.4733270940570894,0.8692091717360786,0.10069597892043887,0.03986373334894305,0.02345902029917943,,
mkgw_mhyper_native,Secondary,1,tail,4274,0.4963301535964,0.5399663310183658,-0.04363617742196583,0.31352363125877397,0.2634534394010295,0.5769770706598034,0.23436869610373467,0.07348012465582697,0.029843947233861145,,
mkgw_mhyper_native,Secondary,2,head,4274,0.17423558568900513,0.19127650411339328,-0.01704091842438816,0.3907346747777258,0.4735610669162377,0.8642957416939635,0.09652629545265311,0.03771617066119108,0.020675252236802926,,
mkgw_mhyper_native,Secondary,2,tail,4274,0.5006149779636848,0.5355971045545855,-0.03498212659090057,0.3046326626111371,0.26743097800655125,0.5720636406176883,0.22173494553149736,0.0675477068511955,0.03256558026029494,,
mkgw_mhyper_native,Secondary,3,head,4274,0.18103957589078437,0.1931174451949789,-0.012077869304194523,0.3944782405240992,0.47379503977538606,0.8682732802994853,0.09121554659321388,0.035982548328535,0.02390467902434048,,
mkgw_mhyper_native,Secondary,3,tail,4274,0.4983792041567457,0.5340080802857923,-0.03562887612904657,0.30533458118858214,0.2664950865699579,0.57182966775854,0.22368714627484007,0.06829942112509742,0.032670544996050835,,
mkgw_mhyper_native,Equal-z,1,head,4274,0.1941129120294422,0.19402527077677456,8.764125266761645e-05,0.21010762751520823,0.4784744969583528,0.688582124473561,0.02145498920202591,0.0045078568796020745,0.004595498132269692,,
mkgw_mhyper_native,Equal-z,1,tail,4274,0.5385817783547266,0.5399663310183658,-0.001384552663639252,0.09639681796911559,0.2381843706130089,0.3345811885821245,0.12499374858618219,0.012048999629739602,0.010664446966100352,,
