pair,label,comparator,delta,lo,hi,seed1,seed2,seed3,seed_sd,zero_observation_differences,old_lo,old_hi,role,clusters,cluster_order_sha256,seed,replicates,rng,quantile,observations_per_cluster
mkgw_mhyper_adamf,W-A,Primary,0.0010139116121535253,0.0005129399947242454,0.0015494883388971002,0.0006115379509323375,0.0013205688560498738,0.0011096280294783606,0.00036407750618800235,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Secondary,0.06441594139335777,0.0595926870812639,0.06927144594113327,0.07332887090587469,0.057972605150902294,0.06194634812329621,0.007970438675128508,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Equal-z,0.02409030980440882,0.021471401806633254,0.02671514544783213,0.02844200067930267,0.021654637187652308,0.022174291546271308,0.0037776209796754516,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,RRF,0.03826393407194375,0.034681289178896624,0.041764563174347784,0.043019644443971605,0.03433718423088327,0.037434973540976385,0.004400188690203155,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Global,0.0010139116121535253,0.0005129399947242454,0.0015494883388971002,0.0006115379509323375,0.0013205688560498738,0.0011096280294783606,0.00036407750618800235,False,0.0005032863943047457,0.0015491810933521597,central retrospective,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Relation,0.0020623728628541838,0.0009643210260068353,0.003226222466217425,0.002192824972488642,0.0024942641415364583,0.00150002947453744,0.0005097930540393066,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Query-soft,0.020116941431651283,0.017625140822764992,0.022623735398489227,0.023311632966183334,0.018542396337973215,0.018496794990797306,0.0027667779765142195,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Shrink,0.0010139116121535253,0.0005129399947242454,0.0015494883388971002,0.0006115379509323375,0.0013205688560498738,0.0011096280294783606,0.00036407750618800235,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Shrink-gate,0.0010139116121535253,0.0005129399947242454,0.0015494883388971002,0.0006115379509323375,0.0013205688560498738,0.0011096280294783606,0.00036407750618800235,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Linear-p,0.0001088327678167392,-0.00023844689220096463,0.00045666288906026105,-0.00018611874269349956,0.00026094787109348725,0.0002516691750502297,0.0002554776285984144,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Clip-g,-0.00024843819758750004,-0.00039870922327657666,-0.00011615793145582994,2.2288021668419477e-05,-0.0002520105530411668,-0.0005155920613897531,0.0002689578354134383,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Linear-g,-0.0002479442481337644,-0.0003981298981922482,-0.00011578828944333884,2.3857721801185515e-05,-0.0002532994576618782,-0.000514391008540601,0.0002691643227295434,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,R0,0.0504145760766839,0.046185766891963916,0.0546560687527624,0.07332887090587469,0.01596850920088106,0.06194634812329621,0.03036921300648397,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,R3,0.0016602106603692426,0.0010098821331746208,0.0023196583522966095,0.0015452518759047635,0.0019346285642167077,0.001500751540986257,0.0002386921854941888,False,0.0010167048326688267,0.002338072439030091,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,Expanded-radius,-0.0011699587565715923,-0.001728900160626431,-0.0006234470688896972,-0.0011706768097626107,-0.0006566661558376063,-0.0016825333041145623,0.0005129339510880151,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
mkgw_mhyper_adamf,W-A,No-fallback,-3.2584426423501285e-05,-0.00033288144528723226,0.0002769023014174689,-2.9640747426444623e-05,0.00017438944395107477,-0.00024250197579513412,0.00020846129832424701,False,,,exploratory,4274,f71343529ca96713344c51b9007e828143ee755b2ada4d584f38115590af8a6e,2026091212,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Primary,-8.122325463086749e-05,-0.0002508844815181662,9.524360403858357e-05,-0.0001004060000577638,9.578477793473314e-06,-0.0001528422416283123,8.28921336192852e-05,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Secondary,0.06172395075290872,0.058775602290101425,0.06466608905616067,0.06077379614335178,0.060895877384406084,0.06350217873096939,0.0015411998617381423,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Equal-z,0.01374126746053395,0.01212240558354552,0.015326914983211913,0.01462351320668073,0.011301929360913463,0.01529835981400778,0.002139306490209017,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,RRF,0.020189028013503436,0.01818835964328731,0.022190255217642882,0.019095812033769737,0.021182479930402325,0.02028879207633817,0.00104690514321224,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Global,-8.122325463086749e-05,-0.0002508844815181662,9.524360403858357e-05,-0.0001004060000577638,9.578477793473314e-06,-0.0001528422416283123,8.28921336192852e-05,False,-0.0002540773129084094,9.106007636528283e-05,central retrospective,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Relation,-5.9327886995877485e-06,-0.0008277125572272643,0.0008114277857594248,-0.00012059688159066459,-8.807255685527018e-05,0.00019087107234717047,0.00017121120791892462,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Query-soft,0.013495349637604794,0.011882101913252528,0.015095012967900485,0.013525531294496742,0.010897441451329419,0.016063076166988183,0.002582949612984022,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Shrink,-8.122325463086749e-05,-0.0002508844815181662,9.524360403858357e-05,-0.0001004060000577638,9.578477793473314e-06,-0.0001528422416283123,8.28921336192852e-05,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Shrink-gate,-3.712382162813798e-05,-0.00020265111898450818,0.00013242010015072114,-0.00013053125956407857,8.405837036011283e-05,-6.489857568044808e-05,0.0001099579694235488,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Linear-p,-1.0825089788775018e-05,-3.1323059052955103e-05,1.1790930011104798e-06,-4.095179958203454e-07,-1.608646917937893e-07,-3.190488667871092e-05,1.8256062960208982e-05,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Clip-g,-1.3006384873206995e-05,-3.4173439647197947e-05,4.437236944948053e-07,-4.228854209605456e-07,-1.8965135282713642e-07,-3.840661784583327e-05,2.1997556133134498e-05,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
db15k_mhyper_native,D-N,Linear-g,-1.3259901709779455e-05,-3.4393072934724924e-05,2.1888932160826124e-07,-1.13851312202772e-06,-2.1427578597787502e-07,-3.842691622133274e-05,2.180017243582921e-05,False,,,exploratory,9902,5436fd3a0a668262c4f15b28309f77aba5d82c4e32e9f9f5d89b465bb6798131,2026091213,10000,PCG64,linear,6
