pair,label,comparator,seed,direction,n,delta
mkgw_mhyper_native,W-N,R3,3,head,4274,-0.0020821038719381945
mkgw_mhyper_native,W-N,R3,3,tail,4274,-0.003054124274855099
mkgw_mhyper_native,W-N,Expanded-radius,1,head,4274,0.003458935428940128
mkgw_mhyper_native,W-N,Expanded-radius,1,tail,4274,-0.0004340274929834947
mkgw_mhyper_native,W-N,Expanded-radius,2,head,4274,0.0014548197528605007
mkgw_mhyper_native,W-N,Expanded-radius,2,tail,4274,-0.001691990081004136
mkgw_mhyper_native,W-N,Expanded-radius,3,head,4274,0.0005560553746445655
mkgw_mhyper_native,W-N,Expanded-radius,3,tail,4274,-0.0030657998590356665
mkgw_mhyper_native,W-N,No-fallback,1,head,4274,-0.0006444807119413079
mkgw_mhyper_native,W-N,No-fallback,1,tail,4274,0.00013375310932556303
mkgw_mhyper_native,W-N,No-fallback,2,head,4274,-0.0009373256246739036
mkgw_mhyper_native,W-N,No-fallback,2,tail,4274,0.0020442240947653317
mkgw_mhyper_native,W-N,No-fallback,3,head,4274,-0.0003700128045833341
mkgw_mhyper_native,W-N,No-fallback,3,tail,4274,-0.00016392327675017216
mkgw_mhyper_adamf,W-A,Primary,1,head,4274,0.00041596373286390106
mkgw_mhyper_adamf,W-A,Primary,1,tail,4274,0.0008071121690007738
mkgw_mhyper_adamf,W-A,Primary,2,head,4274,0.0005613598981463231
mkgw_mhyper_adamf,W-A,Primary,2,tail,4274,0.0020797778139534247
mkgw_mhyper_adamf,W-A,Primary,3,head,4274,0.0009139172842394419
mkgw_mhyper_adamf,W-A,Primary,3,tail,4274,0.0013053387747172795
mkgw_mhyper_adamf,W-A,Secondary,1,head,4274,0.053881371896098915
mkgw_mhyper_adamf,W-A,Secondary,1,tail,4274,0.09277636991565047
mkgw_mhyper_adamf,W-A,Secondary,2,head,4274,0.03958710410607734
mkgw_mhyper_adamf,W-A,Secondary,2,tail,4274,0.07635810619572725
mkgw_mhyper_adamf,W-A,Secondary,3,head,4274,0.04379382501253975
mkgw_mhyper_adamf,W-A,Secondary,3,tail,4274,0.08009887123405268
mkgw_mhyper_adamf,W-A,Equal-z,1,head,4274,0.019239977262356704
mkgw_mhyper_adamf,W-A,Equal-z,1,tail,4274,0.03764402409624863
mkgw_mhyper_adamf,W-A,Equal-z,2,head,4274,0.01237503412063135
mkgw_mhyper_adamf,W-A,Equal-z,2,tail,4274,0.03093424025467326
mkgw_mhyper_adamf,W-A,Equal-z,3,head,4274,0.01224909826043475
mkgw_mhyper_adamf,W-A,Equal-z,3,tail,4274,0.03209948483210786
mkgw_mhyper_adamf,W-A,RRF,1,head,4274,0.02950084131807333
mkgw_mhyper_adamf,W-A,RRF,1,tail,4274,0.05653844756986987
mkgw_mhyper_adamf,W-A,RRF,2,head,4274,0.021635848380309037
mkgw_mhyper_adamf,W-A,RRF,2,tail,4274,0.047038520081457515
mkgw_mhyper_adamf,W-A,RRF,3,head,4274,0.02539945527615071
mkgw_mhyper_adamf,W-A,RRF,3,tail,4274,0.04947049180580204
mkgw_mhyper_adamf,W-A,Global,1,head,4274,0.00041596373286390106
mkgw_mhyper_adamf,W-A,Global,1,tail,4274,0.0008071121690007738
mkgw_mhyper_adamf,W-A,Global,2,head,4274,0.0005613598981463231
mkgw_mhyper_adamf,W-A,Global,2,tail,4274,0.0020797778139534247
mkgw_mhyper_adamf,W-A,Global,3,head,4274,0.0009139172842394419
mkgw_mhyper_adamf,W-A,Global,3,tail,4274,0.0013053387747172795
mkgw_mhyper_adamf,W-A,Relation,1,head,4274,8.399274143914952e-05
mkgw_mhyper_adamf,W-A,Relation,1,tail,4274,0.004301657203538135
mkgw_mhyper_adamf,W-A,Relation,2,head,4274,0.0013834719063439502
mkgw_mhyper_adamf,W-A,Relation,2,tail,4274,0.0036050563767289663
mkgw_mhyper_adamf,W-A,Relation,3,head,4274,0.0003738277854939197
mkgw_mhyper_adamf,W-A,Relation,3,tail,4274,0.002626231163580961
mkgw_mhyper_adamf,W-A,Query-soft,1,head,4274,0.01720168270671408
mkgw_mhyper_adamf,W-A,Query-soft,1,tail,4274,0.02942158322565258
mkgw_mhyper_adamf,W-A,Query-soft,2,head,4274,0.010964362499924257
mkgw_mhyper_adamf,W-A,Query-soft,2,tail,4274,0.026120430176022173
mkgw_mhyper_adamf,W-A,Query-soft,3,head,4274,0.011671087977780872
mkgw_mhyper_adamf,W-A,Query-soft,3,tail,4274,0.02532250200381374
mkgw_mhyper_adamf,W-A,Shrink,1,head,4274,0.00041596373286390106
mkgw_mhyper_adamf,W-A,Shrink,1,tail,4274,0.0008071121690007738
mkgw_mhyper_adamf,W-A,Shrink,2,head,4274,0.0005613598981463231
mkgw_mhyper_adamf,W-A,Shrink,2,tail,4274,0.0020797778139534247
mkgw_mhyper_adamf,W-A,Shrink,3,head,4274,0.0009139172842394419
mkgw_mhyper_adamf,W-A,Shrink,3,tail,4274,0.0013053387747172795
mkgw_mhyper_adamf,W-A,Shrink-gate,1,head,4274,0.00041596373286390106
mkgw_mhyper_adamf,W-A,Shrink-gate,1,tail,4274,0.0008071121690007738
mkgw_mhyper_adamf,W-A,Shrink-gate,2,head,4274,0.0005613598981463231
mkgw_mhyper_adamf,W-A,Shrink-gate,2,tail,4274,0.0020797778139534247
mkgw_mhyper_adamf,W-A,Shrink-gate,3,head,4274,0.0009139172842394419
mkgw_mhyper_adamf,W-A,Shrink-gate,3,tail,4274,0.0013053387747172795
mkgw_mhyper_adamf,W-A,Linear-p,1,head,4274,-0.0005812240096390021
mkgw_mhyper_adamf,W-A,Linear-p,1,tail,4274,0.00020898652425200317
mkgw_mhyper_adamf,W-A,Linear-p,2,head,4274,-0.00013249957532486512
mkgw_mhyper_adamf,W-A,Linear-p,2,tail,4274,0.0006543953175118397
mkgw_mhyper_adamf,W-A,Linear-p,3,head,4274,0.0001090274111263154
mkgw_mhyper_adamf,W-A,Linear-p,3,tail,4274,0.0003943109389741439
mkgw_mhyper_adamf,W-A,Clip-g,1,head,4274,8.86778640591551e-06
mkgw_mhyper_adamf,W-A,Clip-g,1,tail,4274,3.570825693092345e-05
mkgw_mhyper_adamf,W-A,Clip-g,2,head,4274,-0.00044396972872917613
mkgw_mhyper_adamf,W-A,Clip-g,2,tail,4274,-6.005137735315735e-05
mkgw_mhyper_adamf,W-A,Clip-g,3,head,4274,-0.00035161740991040036
mkgw_mhyper_adamf,W-A,Clip-g,3,tail,4274,-0.0006795667128691059
mkgw_mhyper_adamf,W-A,Linear-g,1,head,4274,1.0519497344162292e-05
mkgw_mhyper_adamf,W-A,Linear-g,1,tail,4274,3.719594625820874e-05
mkgw_mhyper_adamf,W-A,Linear-g,2,head,4274,-0.00044617483008027657
mkgw_mhyper_adamf,W-A,Linear-g,2,tail,4274,-6.042408524347985e-05
mkgw_mhyper_adamf,W-A,Linear-g,3,head,4274,-0.0003502160065346266
mkgw_mhyper_adamf,W-A,Linear-g,3,tail,4274,-0.0006785660105465752
mkgw_mhyper_adamf,W-A,R0,1,head,4274,0.053881371896098915
mkgw_mhyper_adamf,W-A,R0,1,tail,4274,0.09277636991565047
mkgw_mhyper_adamf,W-A,R0,2,head,4274,0.010331559076978525
mkgw_mhyper_adamf,W-A,R0,2,tail,4274,0.021605459324783593
mkgw_mhyper_adamf,W-A,R0,3,head,4274,0.04379382501253975
mkgw_mhyper_adamf,W-A,R0,3,tail,4274,0.08009887123405268
mkgw_mhyper_adamf,W-A,R3,1,head,4274,0.0012066318773386604
mkgw_mhyper_adamf,W-A,R3,1,tail,4274,0.0018838718744708667
mkgw_mhyper_adamf,W-A,R3,2,head,4274,0.0024696818198372875
mkgw_mhyper_adamf,W-A,R3,2,tail,4274,0.0013995753085961275
mkgw_mhyper_adamf,W-A,R3,3,head,4274,0.000608888161574352
mkgw_mhyper_adamf,W-A,R3,3,tail,4274,0.002392614920398162
mkgw_mhyper_adamf,W-A,Expanded-radius,1,head,4274,-0.0008735874326656228
mkgw_mhyper_adamf,W-A,Expanded-radius,1,tail,4274,-0.0014677661868595987
mkgw_mhyper_adamf,W-A,Expanded-radius,2,head,4274,-0.0005641907424592371
mkgw_mhyper_adamf,W-A,Expanded-radius,2,tail,4274,-0.0007491415692159753
mkgw_mhyper_adamf,W-A,Expanded-radius,3,head,4274,-0.0008682084716585613
mkgw_mhyper_adamf,W-A,Expanded-radius,3,tail,4274,-0.0024968581365705633
mkgw_mhyper_adamf,W-A,No-fallback,1,head,4274,0.0001811917528078196
