outer_fold,selected_config_index,selected_config,inner_probe_delta_mrr,inner_spearman,fold_global_alpha
1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.0003910854470510746,0.1514390979243205,0.6
2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",4.348024062469194e-05,0.16281051908976965,0.6
3,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.00023778046493739733,0.16330081456573162,0.55
4,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.00027184027520563375,0.17353139835537548,0.6
5,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.00043010554785930574,0.16293305940903044,0.6
