epoch,train_loss,val_loss,val_accuracy
1,0.6032029707724437,0.48903217911720276,0.8995872735977173
2,0.48906396313264483,0.4782397150993347,0.8960793614387512
3,0.47668046566123135,0.4643981158733368,0.8939523696899414
4,0.4676259255796563,0.4559592008590698,0.8972222208976746
5,0.4588460714593261,0.4466826617717743,0.9004762172698975
6,0.4502787219918592,0.44527989625930786,0.9063491821289062
7,0.44425152312116933,0.4406949579715729,0.8979523777961731
8,0.4379493973960945,0.43323180079460144,0.9075079560279846
9,0.4333028593218283,0.42934760451316833,0.9007777571678162
10,0.42967547546224905,0.42712345719337463,0.8943968415260315
