pair,label,dataset,split,partition,group,defined_relations,direction,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,Train-zero,1,head,3,1,1,0.00011693171188026193,8.813605870478638e-10,0.0001923930336605,0.0001999304294009333,7.537395740433331e-06,7.537395740433331e-06,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,Train-zero,1,tail,3,1,1,0.00011693171188026193,0.0,0.00011965970933543208,0.00011965970933543208,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,1-99,128,head,807,269,63,0.03145463049579046,-6.381747786179437e-05,0.30023746276804497,0.29820858889936813,-0.002028873868676823,0.003807512190984688,0.005836386059661511,0.12763320941759604,0.09665427509293681,0.4275092936802974,0.5724907063197026
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,1-99,128,tail,807,269,63,0.03145463049579046,0.00014231177172228257,0.6132987464611644,0.617823096913837,0.004524350452672715,0.016152309910416197,0.011627959457743484,0.14374225526641884,0.06691449814126393,0.7187112763320942,0.2812887236679058
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,100-999,30,head,4485,1495,30,0.17481290926099158,0.0004646726762758935,0.2640858348356432,0.2667439490346475,0.0026581141990043083,0.004970101330414219,0.0023119871314099105,0.14648829431438126,0.18394648829431437,0.5045707915273132,0.49542920847268673
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,100-999,30,tail,4485,1495,30,0.17481290926099158,0.0011373382720503316,0.6002785812282233,0.606784612601183,0.0065060313729594895,0.013013930532957614,0.00650789915999812,0.08985507246376812,0.06599777034559644,0.6416945373467112,0.3583054626532887
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,1000+,10,head,7533,2511,10,0.2936155285313377,0.0002212090596219488,0.13975933413261465,0.14051273113695034,0.0007533970043356854,0.004403153249676707,0.003649756245341022,0.18823841762909863,0.45546263108987123,0.7550776583034647,0.24492234169653523
mkgw_mhyper_native,W-N,mkg_w,dev_oof,frequency,1000+,10,tail,7533,2511,10,0.2936155285313377,0.001168720589072982,0.4593681393032987,0.4633485847345022,0.0039804454312035616,0.00921770040085671,0.005237254969653147,0.1513341298287535,0.06265763971857162,0.5951148280897385,0.4048851719102615
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R1,1,head,2487,829,1,0.09693638914873713,0.0002372767954589976,0.06819555705615488,0.07064331478204794,0.002447757725893061,0.004266882791674841,0.001819125065781779,0.18938480096501809,0.6292722155207077,0.8874145556895858,0.11258544431041416
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R1,1,tail,2487,829,1,0.09693638914873713,-0.000173847326924537,0.14373773866935322,0.14194432209533794,-0.001793416574015248,0.0020504541113880404,0.003843870685403288,0.30719742661841576,0.0735826296743064,0.48492159227985526,0.5150784077201448
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R2,1,head,1386,462,1,0.05402245088868101,7.791940365575961e-05,0.027915319402281508,0.029357671653502407,0.001442352251220901,0.003885831121191985,0.002443478869971084,0.37012987012987014,0.5836940836940837,0.9862914862914863,0.013708513708513708
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R2,1,tail,1386,462,1,0.05402245088868101,0.0007311185298975337,0.9494250056831387,0.9629586110244451,0.013533605341306728,0.0204133349285795,0.00687972958727277,0.020923520923520924,0.04184704184704185,0.963924963924964,0.03607503607503607
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R3,1,head,564,188,1,0.021983161833489244,-9.110028208428103e-05,0.4243330067149757,0.42018891303207795,-0.00414409368289772,0.00959090646375676,0.013735000146654481,0.12588652482269502,0.26595744680851063,0.7322695035460993,0.26773049645390073
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R3,1,tail,564,188,1,0.021983161833489244,0.00011622161611114837,0.6235503011849843,0.6288371483178702,0.005286847132885855,0.009508966638225785,0.004222119505339933,0.030141843971631204,0.0425531914893617,0.5177304964539007,0.48226950354609927
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R4,1,head,534,178,1,0.020813844714686624,3.213553170538973e-05,0.08297564754702265,0.08451959736244115,0.0015439498154184996,0.004692030826301608,0.0031480810108831087,0.18164794007490637,0.6254681647940075,0.8782771535580525,0.12172284644194757
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R4,1,tail,534,178,1,0.020813844714686624,7.601710982879795e-05,0.34477071427720535,0.3484229520483058,0.00365223777110045,0.006369560714881033,0.0027173229437805835,0.07303370786516854,0.04119850187265917,0.2902621722846442,0.7097378277153558
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R5,1,head,504,168,1,0.019644527595884004,-5.634997517405378e-07,0.07127415634246473,0.07124547152176898,-2.8684820695744516e-05,2.379049700587493e-05,5.247531770161944e-05,0.02976190476190476,0.015873015873015872,0.0496031746031746,0.9503968253968254
mkgw_mhyper_native,W-N,mkg_w,dev_oof,named_group,R5,1,tail,504,168,1,0.019644527595884004,4.5329680854870515e-05,0.23103164471422566,0.23333914132536168,0.0023074966111360277,0.012639210978689192,0.010331714367553166,0.2996031746031746,0.11706349206349206,0.8115079365079365,0.1884920634920635
