dataset,pair_id,matrix,row_class,column_class,count,row_rate
db15k,db15k_native_adamf,winner_label_vs_best_action_class,winner_1,+0.00,15024,0.7597087378640777
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_direction,toward_b_or_tie,toward_b,8731,0.6074584289988172
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_direction,toward_b_or_tie,stay,5642,0.39254157100118275
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_direction,toward_b_or_tie,toward_a,0,0.0
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_direction,toward_a,toward_b,3582,0.3174687583089604
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_direction,toward_a,stay,7701,0.6825312416910396
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_direction,toward_a,toward_a,0,0.0
mkg_w,mkgw_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,stay_anchor,4939,0.9699528672427337
mkg_w,mkgw_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,worth_deviating,153,0.0300471327572663
mkg_w,mkgw_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,stay_anchor,8404,0.4086753549893017
mkg_w,mkgw_mhyper_adamf,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,worth_deviating,12160,0.5913246450106983
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.30,7664,0.5332220134975301
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.20,594,0.041327489041953665
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.10,249,0.017324149446879565
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_0,-0.05,224,0.015584777012453907
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_0,+0.00,5642,0.39254157100118275
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.30,1904,0.1687494460693078
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.20,730,0.06469910484800141
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.10,460,0.04076929894531596
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_1,-0.05,488,0.043250908446335196
mkg_w,mkgw_mhyper_adamf,winner_label_vs_best_action_class,winner_1,+0.00,7701,0.6825312416910396
mkg_w,mkgw_mhyper_native,winner_label_vs_best_direction,toward_b_or_tie,toward_b,10384,0.5953445705767687
mkg_w,mkgw_mhyper_native,winner_label_vs_best_direction,toward_b_or_tie,stay,6849,0.3926728586171311
mkg_w,mkgw_mhyper_native,winner_label_vs_best_direction,toward_b_or_tie,toward_a,209,0.011982570806100218
mkg_w,mkgw_mhyper_native,winner_label_vs_best_direction,toward_a,toward_b,1488,0.18115412710007306
mkg_w,mkgw_mhyper_native,winner_label_vs_best_direction,toward_a,stay,3209,0.3906744582420258
mkg_w,mkgw_mhyper_native,winner_label_vs_best_direction,toward_a,toward_a,3517,0.42817141465790115
mkg_w,mkgw_mhyper_native,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,stay_anchor,5859,0.9622269666611923
mkg_w,mkgw_mhyper_native,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,worth_deviating,230,0.03777303333880769
mkg_w,mkgw_mhyper_native,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,stay_anchor,4199,0.2145960034752389
mkg_w,mkgw_mhyper_native,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,worth_deviating,15368,0.7854039965247611
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.30,8617,0.4940373810342851
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.20,1035,0.05933952528379773
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.10,403,0.023105148492145396
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,-0.05,329,0.018862515766540536
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,+0.00,6849,0.3926728586171311
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,+0.05,77,0.00441463134961587
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,+0.10,36,0.0020639834881320948
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,+0.20,36,0.0020639834881320948
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_0,+0.30,60,0.0034399724802201583
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,-0.30,339,0.04127100073046019
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,-0.20,367,0.04467981495008522
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,-0.10,276,0.03360116873630387
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,-0.05,506,0.06160214268322376
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,+0.00,3209,0.3906744582420258
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,+0.05,475,0.05782809836863891
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,+0.10,418,0.05088872656440224
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,+0.20,661,0.08047236425614804
mkg_w,mkgw_mhyper_native,winner_label_vs_best_action_class,winner_1,+0.30,1963,0.23898222546871195
mkg_w,mkgw_native_adamf,winner_label_vs_best_direction,toward_b_or_tie,toward_b,6870,0.5405618065937524
mkg_w,mkgw_native_adamf,winner_label_vs_best_direction,toward_b_or_tie,stay,5724,0.45038948776457627
mkg_w,mkgw_native_adamf,winner_label_vs_best_direction,toward_b_or_tie,toward_a,115,0.009048705641671257
mkg_w,mkgw_native_adamf,winner_label_vs_best_direction,toward_a,toward_b,2471,0.1908550243299606
mkg_w,mkgw_native_adamf,winner_label_vs_best_direction,toward_a,stay,5014,0.38727118251332354
mkg_w,mkgw_native_adamf,winner_label_vs_best_direction,toward_a,toward_a,5462,0.42187379315671586
mkg_w,mkgw_native_adamf,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,stay_anchor,4807,0.936306973120374
mkg_w,mkgw_native_adamf,endpoint_preference_exists_vs_worth_deviating,no_endpoint_preference,worth_deviating,327,0.06369302687962602
mkg_w,mkgw_native_adamf,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,stay_anchor,5931,0.28900691940356693
mkg_w,mkgw_native_adamf,endpoint_preference_exists_vs_worth_deviating,endpoint_preference,worth_deviating,14591,0.7109930805964331
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_0,-0.30,5269,0.41458808718231177
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_0,-0.20,782,0.06153119836336454
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_0,-0.10,406,0.03194586513494374
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_0,-0.05,413,0.03249665591313242
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_0,+0.00,5724,0.45038948776457627
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_0,+0.05,115,0.009048705641671257
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_1,-0.30,715,0.055225148683092605
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_1,-0.20,584,0.045106974588707806
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_1,-0.10,427,0.032980613269483275
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_1,-0.05,745,0.05754228778867691
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_1,+0.00,5014,0.38727118251332354
mkg_w,mkgw_native_adamf,winner_label_vs_best_action_class,winner_1,+0.05,5462,0.42187379315671586
