representation,outer_fold,selected_config_id,hidden_width,learning_rate,negative_weight,outer_train_rows,outer_holdout_rows,outer_train_groups,outer_holdout_groups,inner_group_audit,selected_inner_count,selected_inner_mae,selected_inner_smooth_l1,selected_inner_spearman,selected_inner_positive_prevalence,selected_inner_positive_auprc,selected_inner_positive_auprc_lift,selected_inner_positive_auroc,selected_inner_harmful_prevalence,selected_inner_harmful_auprc,selected_inner_harmful_auprc_lift,selected_inner_harmful_auroc
R3,1,w32_lr1e-3_neg1p0,32,0.001,1.0,123228,30708,3423,853,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260904, ""n_folds"": 3, ""n_unique_triples"": 3423, ""observations_per_fold"": {""0"": 1146, ""1"": 1139, ""2"": 1138}, ""query_instances_per_fold"": {""0"": 6876, ""1"": 6834, ""2"": 6828}, ""triple_groups_per_fold"": {""0"": 1146, ""1"": 1139, ""2"": 1138}, ""utility_rows_per_fold"": {""0"": 41256, ""1"": 41004, ""2"": 40968}}",102690,0.03244930890338456,0.029049680829138957,0.03983389241641425,0.28888888888888886,0.29860540510443123,0.00971651621554237,0.5179906225218919,0.3131074106534229,0.32523744252918846,0.012130031875765557,0.5209234946186897
R3,2,w64_lr1e-3_neg1p0,64,0.001,1.0,122976,30960,3416,860,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260905, ""n_folds"": 3, ""n_unique_triples"": 3416, ""observations_per_fold"": {""0"": 1135, ""1"": 1135, ""2"": 1146}, ""query_instances_per_fold"": {""0"": 6810, ""1"": 6810, ""2"": 6876}, ""triple_groups_per_fold"": {""0"": 1135, ""1"": 1135, ""2"": 1146}, ""utility_rows_per_fold"": {""0"": 40860, ""1"": 40860, ""2"": 41256}}",102480,0.03265764325708044,0.029277339302486088,0.04095002939632916,0.292339968774395,0.304761101496584,0.012421132722188977,0.5163264815356772,0.3108801717408275,0.3240950221986693,0.01321485045784182,0.5231874528629575
R3,3,w128_lr1e-3_neg1p0,128,0.001,1.0,123084,30852,3419,857,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260906, ""n_folds"": 3, ""n_unique_triples"": 3419, ""observations_per_fold"": {""0"": 1144, ""1"": 1139, ""2"": 1136}, ""query_instances_per_fold"": {""0"": 6864, ""1"": 6834, ""2"": 6816}, ""triple_groups_per_fold"": {""0"": 1144, ""1"": 1139, ""2"": 1136}, ""utility_rows_per_fold"": {""0"": 41184, ""1"": 41004, ""2"": 40896}}",102570,0.03296149302827699,0.029084393725036545,0.0300657561073395,0.2910792629423808,0.30174385566998996,0.010664592727609168,0.5147267102038258,0.31336648142731793,0.3211184511436871,0.007751969716369156,0.5125562269652674
R3,4,w32_lr1e-3_neg1p0,32,0.001,1.0,123012,30924,3417,859,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260907, ""n_folds"": 3, ""n_unique_triples"": 3417, ""observations_per_fold"": {""0"": 1139, ""1"": 1142, ""2"": 1136}, ""query_instances_per_fold"": {""0"": 6834, ""1"": 6852, ""2"": 6816}, ""triple_groups_per_fold"": {""0"": 1139, ""1"": 1142, ""2"": 1136}, ""utility_rows_per_fold"": {""0"": 41004, ""1"": 41112, ""2"": 40896}}",102510,0.03233176903957937,0.02897691928835565,0.02894759261597674,0.29043020193151886,0.3019857764867851,0.011555574555266235,0.5114748304958889,0.3149643937176861,0.3276247956616554,0.012660401943969335,0.5170448475858647
R3,5,w32_lr1e-3_neg1p0,32,0.001,1.0,123444,30492,3429,847,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260908, ""n_folds"": 3, ""n_unique_triples"": 3429, ""observations_per_fold"": {""0"": 1132, ""1"": 1148, ""2"": 1149}, ""query_instances_per_fold"": {""0"": 6792, ""1"": 6888, ""2"": 6894}, ""triple_groups_per_fold"": {""0"": 1132, ""1"": 1148, ""2"": 1149}, ""utility_rows_per_fold"": {""0"": 40752, ""1"": 41328, ""2"": 41364}}",102870,0.03167942007582215,0.02864002923754482,0.03840003298080519,0.28955963837853604,0.3056161187627357,0.016056480384199656,0.5199047291110351,0.3113735783027122,0.3208746140994871,0.009501035796774915,0.5161876714838104
