dataset,pair_id,representation,k,exact_action_agreement,exact_action_agreement_ci95_low,exact_action_agreement_ci95_high,direction_agreement,direction_agreement_ci95_low,direction_agreement_ci95_high,neighbor_internal_purity,neighbor_internal_purity_ci95_low,neighbor_internal_purity_ci95_high,normalized_action_entropy,normalized_action_entropy_ci95_low,normalized_action_entropy_ci95_high,beneficial_set_jaccard,beneficial_set_jaccard_ci95_low,beneficial_set_jaccard_ci95_high,both_empty_rate,both_empty_rate_ci95_low,both_empty_rate_ci95_high,neighbor_consensus_utility,neighbor_consensus_utility_ci95_low,neighbor_consensus_utility_ci95_high,matched_exact_action_agreement,matched_exact_action_agreement_ci95_low,matched_exact_action_agreement_ci95_high,matched_direction_agreement,matched_direction_agreement_ci95_low,matched_direction_agreement_ci95_high,matched_neighbor_internal_purity,matched_neighbor_internal_purity_ci95_low,matched_neighbor_internal_purity_ci95_high,matched_normalized_action_entropy,matched_normalized_action_entropy_ci95_low,matched_normalized_action_entropy_ci95_high,matched_beneficial_set_jaccard,matched_beneficial_set_jaccard_ci95_low,matched_beneficial_set_jaccard_ci95_high,matched_both_empty_rate,matched_both_empty_rate_ci95_low,matched_both_empty_rate_ci95_high,matched_consensus_utility,matched_consensus_utility_ci95_low,matched_consensus_utility_ci95_high,exact_action_agreement_lift,exact_action_agreement_lift_ci95_low,exact_action_agreement_lift_ci95_high,direction_agreement_lift,direction_agreement_lift_ci95_low,direction_agreement_lift_ci95_high,purity_lift,purity_lift_ci95_low,purity_lift_ci95_high,jaccard_lift,jaccard_lift_ci95_low,jaccard_lift_ci95_high,consensus_utility_lift,consensus_utility_lift_ci95_low,consensus_utility_lift_ci95_high,matched_baseline_supported,matched_baseline_supported_ci95_low,matched_baseline_supported_ci95_high
mkg_w,mkgw_mhyper_native,X4,5,0.3505690676644846,0.3431554022450888,0.3579441456189585,0.6051917680074836,0.5993295915185531,0.6110463439351419,0.7662301216089787,0.762909260991581,0.7695899594636733,0.4337479715059128,0.4279640527422944,0.4393637208384794,0.3574331644883731,0.3512127417214404,0.3636899258498856,0.2489865918303717,0.2406059011537262,0.2575150062363579,0.0031808134769491,0.0014652053374156,0.0049353639653973,0.3000304483337329,0.2942138647803244,0.3059828002230116,0.5334249980020783,0.5284661327093831,0.5386273798664235,0.7125034763845579,0.7102723003657384,0.7147314547959516,0.5298205696683439,0.5262126006067925,0.5334187888775938,0.302619836782365,0.2971334060095035,0.3081434240950806,0.2118993047230874,0.2052246700700055,0.2188148248327184,-0.0016266068165481,-0.0030864351658339,-0.0001555591218154,0.0513641013346119,0.0475738679418361,0.0552219040509808,0.0733839207224486,0.0690990623999603,0.0777344270380688,0.0546107248461601,0.0514222548998562,0.0578232295080122,0.054813327706008,0.0510637394702832,0.0585611776228759,0.0046927396798322,0.0034553538230818,0.005987806341743,0.975444340505145,0.9707670720299344,0.9801216089803556
mkg_w,mkgw_mhyper_native,X4,10,0.3450966635484881,0.3379480433426879,0.3522453811973806,0.5988618646710324,0.5933931633925786,0.6043850366386032,0.737597443093235,0.7342725873090115,0.7409417874961024,0.5287538228198435,0.5230177613577706,0.5344244177086745,0.3518598900628204,0.3459392869296477,0.3577842018320178,0.2464257873401932,0.2381041471780479,0.2548215816962893,0.0031620701965074,0.0013725738710684,0.0049725156717119,0.2966621122599708,0.2908801175785251,0.3026341974545773,0.5315580584277073,0.5265640555586963,0.5367057453444958,0.6846755292959128,0.6820044618190692,0.6873254186162082,0.6292903128923931,0.62533992745175,0.6332516210108428,0.3030725072483958,0.2974895331655999,0.3086931646085442,0.2075015181355653,0.200810740691889,0.2144917035378127,-0.0003746972361309,-0.0018532154920693,0.0010716102586207,0.0471750779583129,0.0438058571454635,0.0505440272144312,0.0680562530773016,0.0643618851553609,0.0717712895494182,0.0539261447562775,0.0507457138453408,0.0571089315047926,0.0487873828144245,0.045586944827289,0.0520198043736223,0.0028937190285066,0.0016957568408131,0.0041242350756251,0.949953227315248,0.9434050514499532,0.9565014031805426
mkg_w,mkgw_mhyper_native,X4,20,0.3392111007171814,0.3322770502026816,0.346240840349236,0.5913977237293406,0.5861182569379484,0.5967943658403492,0.7190774087932652,0.7156939409884628,0.7224275997817274,0.5948947138881094,0.5893217011088843,0.6004111873925496,0.3456416418355532,0.3398802926695576,0.3513510190583035,0.242683972560025,0.2345493744153414,0.2509374512784534,0.0054529255275716,0.0036510087772814,0.0072916880014635,0.2943465738113666,0.2884731787178735,0.3004212750653635,0.5304298641561319,0.5252726196115817,0.5356938631378884,0.670804982374687,0.6677612495749299,0.6738330407754354,0.6847399375624864,0.6806395451222896,0.6888397302188621,0.3038627249634821,0.2981275814798122,0.3095366289667037,0.2048481643882718,0.1980098839125522,0.2119530661219696,0.0012830472327478,-0.0001996321376216,0.002735746890782,0.043562892270656,0.040436986595992,0.0466703480034458,0.0632959547760296,0.0598017990394492,0.0667437793035962,0.0504593113231878,0.0472436563882725,0.0535962995149177,0.041778916872071,0.0388289541491423,0.0448079692980213,0.0035645987619798,0.0023334694572336,0.0048038133797873,0.906688493919551,0.8980355472404116,0.9153414405986904
mkg_w,mkgw_mhyper_native,X4,50,0.332344091050826,0.3256633536014968,0.3392306283130651,0.5830215154349848,0.5778748440910509,0.5882429646086684,0.7044169005300892,0.7010593818210166,0.7078157740879327,0.6432313555031379,0.6378505202771464,0.6485742254334818,0.3399369835261368,0.334331254184378,0.3455234309148136,0.2373261615216712,0.2294246180230744,0.2453812363579669,0.0074323297123347,0.005572281528006,0.0093206620557581,0.3000600212191355,0.2937204351060491,0.3066724549296835,0.5385565682870365,0.5329325211269996,0.5442459013460582,0.6718559027777781,0.6683567167826073,0.6752957810245962,0.7055048438992343,0.7011428146353207,0.7098925713214626,0.3106457352254931,0.3044845912441336,0.3168532148751444,0.2081631076388895,0.2006999915602441,0.215901935376312,0.003554800951219,0.0020392167632231,0.0051177042051779,0.0370995081018518,0.0341893838861476,0.0399825952263827,0.0548876832561729,0.0516615406035299,0.05811973436016,0.0412787422839506,0.0380295573639519,0.0444319204415369,0.0292912483006437,0.0260985232351154,0.0324300247849534,0.0027359054830919,0.0014805449443614,0.0040212163441412,0.8082319925163705,0.7965388213283442,0.8199251637043966
mkg_w,mkgw_mhyper_adamf,X4,5,0.3753118178983466,0.3673526660430308,0.3834972326161521,0.6972871842843751,0.6915651309635172,0.7029546694730275,0.8237917056439017,0.8207904583723106,0.8268319301527907,0.3155914861923413,0.310508786560578,0.3206094316044716,0.3872691577234489,0.3801109253814289,0.394275081922135,0.3196523230433421,0.3109214218896164,0.3287652011225444,-0.0053809406710282,-0.0076078754963642,-0.0031539126965993,0.3346237512986485,0.3279495470196306,0.3413151863013199,0.6260806361384185,0.6211968658533021,0.6309724101846077,0.7748840405977808,0.7727849842683883,0.7770739308934881,0.3995585340963395,0.3961261408426346,0.4028492800410864,0.3247237710406656,0.3187346308815993,0.3306912423020353,0.2871122832254443,0.2797245450191571,0.2946897762125228,-0.0144495793916249,-0.0162863344149782,-0.0125994750012683,0.0411294653560297,0.0377117606177359,0.0445972089823139,0.0725128266602734,0.0683092916876995,0.0766788471115766,0.0492268840405981,0.0465157926463533,0.0519347692078836,0.0625453866827833,0.0581038874968602,0.0669864390534451,0.008958586930048,0.0074354253918236,0.0105097740556643,0.975444340505145,0.9707670720299344,0.9801216089803556
mkg_w,mkgw_mhyper_adamf,X4,10,0.3712581852198326,0.3634663431555971,0.3791904427814157,0.6920798253819775,0.6867204552541316,0.6973692313688804,0.794122232616153,0.7908636381353289,0.7973925202681633,0.3736020399773052,0.3686835593619951,0.3784503956842874,0.3828549365517648,0.3760785839753489,0.3894163531929417,0.3162301216089799,0.3076628274087933,0.3252689429373245,-0.0038717167861493,-0.0060053498262347,-0.001738851199206,0.3313343591006087,0.3246969330616869,0.3380906942586364,0.6254604874446081,0.620564659862782,0.630425717326893,0.7438236090595644,0.7411655044050893,0.7465347683530751,0.4551390705593451,0.4515711787456484,0.4586537012549121,0.3258041329433064,0.3196597755420819,0.3319386576527821,0.2833007139340234,0.2757978334858325,0.2909027208185773,-0.0123786355714399,-0.0140905420929142,-0.0106806060682009,0.0382495896930905,0.0351910605666855,0.041393895901484,0.067904849827671,0.06417931471243,0.071603440804942,0.0513716970293779,0.0484923124420591,0.0542166569167021,0.0570508036084584,0.0531055687245659,0.0609890416287669,0.0084597475075435,0.0070604086642319,0.0099355779537169,0.949953227315248,0.9434050514499532,0.9565014031805426
mkg_w,mkgw_mhyper_adamf,X4,20,0.3669648425319622,0.3593486416432803,0.374787671499844,0.6866132678515753,0.6815208917991892,0.6916355335983786,0.7776601964452771,0.7743509315559712,0.7810103387121922,0.4075200672109713,0.4027317022347521,0.4122103458283079,0.3776775359497966,0.3711805842727219,0.3839916854898983,0.3127845338322418,0.3043459132366697,0.3215409163548487,-0.0012105566168838,-0.0031493311382475,0.0007582452000179,0.3285393990198605,0.3217924007938797,0.3354265378198466,0.6253980096294361,0.6203975682710491,0.630470521587516,0.7319787421545859,0.7289394322793089,0.7350475767472806,0.480880499108932,0.4771803934324695,0.4845709917553857,0.3263368938791013,0.3200268409007199,0.3326195676556381,0.2811523729687912,0.2735193504541398,0.2889085925312151,-0.0088865549670558,-0.0104028560286691,-0.0073382640758915,0.0354576777577164,0.0326508365158223,0.0383014188628021,0.0646329421373916,0.061186534922336,0.0680367408262639,0.0492266572091825,0.0463822221302094,0.0520574676014173,0.0513406420706953,0.0477004312562034,0.0549684802308871,0.0077818334237827,0.006399596583348,0.0091430591048067,0.906688493919551,0.8980355472404116,0.9153414405986904
mkg_w,mkgw_mhyper_adamf,X4,50,0.3619519800436549,0.3545326044589958,0.3695302463361397,0.6800982226379785,0.675173760523854,0.6850236202057998,0.7636482694106642,0.7602712425943248,0.7670596156844401,0.4312835503242588,0.4265914873891556,0.4359179566861403,0.3720550901777125,0.3655963102911203,0.3782857499487245,0.3088338010601799,0.3006602354225133,0.3173480862176489,0.0020516665142865,0.000344604811533,0.003780506928705,0.3324613136574071,0.3251487316376696,0.3398857330087596,0.6344511477623462,0.629045252614628,0.639950128955575,0.7344151331018497,0.731028786598951,0.7378864044348316,0.4859033761320429,0.4819158643642998,0.4898712974568598,0.3358624900951537,0.3289823033163183,0.3426538175367724,0.2832553626543221,0.2749387022906176,0.2916753030871234,-0.0039764847355643,-0.0053370695610009,-0.00263025027757,0.030084018132716,0.0273981806990622,0.0327574772604719,0.0568287519290124,0.0535441239678153,0.0601264910795856,0.040753655478395,0.0378687851943556,0.0436783306656188,0.0361926000825588,0.0323884428549598,0.0399941538553728,0.0057044832116395,0.0043141261788237,0.0070725618511159,0.8082319925163705,0.7965388213283442,0.8199251637043966
mkg_w,mkgw_native_adamf,X4,5,0.3326161521671334,0.3261693171188026,0.3391649126909885,0.4978484565014033,0.4927970065481759,0.5028611241035236,0.6898815091986263,0.6867787262238851,0.6930466557530403,0.5558638285734626,0.5506992483532999,0.560922545078724,0.2543611873078119,0.2496850474037992,0.2589916520517405,0.2320626753975679,0.2246490099781727,0.2396008730901153,-0.00554286510492,-0.0073308503175154,-0.0037646108645688,0.294715575801167,0.2895247565581503,0.3000647846637059,0.4503927914968444,0.4466162154481379,0.4543054320378426,0.6473670582594082,0.6454600098576696,0.6493178918107273,0.6274791018031926,0.624302188380369,0.6305761636253436,0.2179885878235941,0.2146779434426383,0.2212415222981833,0.2088077998881171,0.2027486621415032,0.2149561692518003,-0.0098219247058262,-0.0111971319614322,-0.0084467842777223,0.0387296411731798,0.035166563528084,0.0422135164534003,0.0482965715655718,0.0442375195702623,0.0521848055218446,0.0425314472948134,0.0398232008730567,0.0453407795747762,0.0363725994842178,0.0330038564437178,0.0397514149429609,0.0043785772106053,0.0029916061158022,0.0057117226718805,0.975444340505145,0.9707670720299344,0.9801216089803556
mkg_w,mkgw_native_adamf,X4,10,0.3288353601496729,0.3226690637667602,0.3351263836919239,0.493572653570315,0.4889108785469285,0.4982304334268786,0.644574368568755,0.6415183582787651,0.6477550085749922,0.6632808412143723,0.6581769901234243,0.6681850138807396,0.250578649557588,0.2463414210213774,0.2547807283689182,0.2300631431244153,0.2228754482382288,0.2373285975990022,-0.004846387585212,-0.0065986772096574,-0.0030816562870037,0.2916129164615132,0.2865710303713039,0.296934944499811,0.4489874446085672,0.4451625305239922,0.4528567741917683,0.6031135319218837,0.6008865315208355,0.6054085353681646,0.7330573948079805,0.7295357580901457,0.7364252049478414,0.2201125147708719,0.2168216065316685,0.2233969161786643,0.2041915722960772,0.1982738196150696,0.2103812265611797,-0.0082985933605634,-0.009672557087981,-0.0069084151557655,0.0362387165599868,0.0332166908890844,0.0392278233898472,0.0450590021335959,0.0417061073207505,0.0483540309837955,0.0415606843919251,0.0389953279790884,0.0441208164640646,0.030466134786716,0.0276967909984556,0.0333005418308524,0.0038121486272328,0.0024813994121769,0.0051111183695898,0.949953227315248,0.9434050514499532,0.9565014031805426
