pair,method,base_seed,selector_seed,direction,mrr,delta_vs_global,n
mkgw_mhyper_native,R3_softplus,3,11,tail,0.5422009601531151,0.008192879867322877,4274
mkgw_mhyper_native,R3_softplus,3,23,head,0.19527085392236448,0.00215340872738561,4274
mkgw_mhyper_native,R3_softplus,3,23,tail,0.5430345660277383,0.009026485741945948,4274
mkgw_mhyper_native,R3_softplus,3,37,head,0.19483304614756736,0.0017156009525884756,4274
mkgw_mhyper_native,R3_softplus,3,37,tail,0.5429771122505865,0.008969031964794228,4274
mkgw_mhyper_native,R4_swap,1,11,head,0.19660899205153662,0.002583721274762056,4274
mkgw_mhyper_native,R4_swap,1,11,tail,0.5473430435085025,0.007376712490136671,4274
mkgw_mhyper_native,R4_swap,1,23,head,0.196678668774652,0.002653397997877438,4274
mkgw_mhyper_native,R4_swap,1,23,tail,0.5447145395775532,0.004748208559187413,4274
mkgw_mhyper_native,R4_swap,1,37,head,0.19667824475255005,0.002652973975775502,4274
mkgw_mhyper_native,R4_swap,1,37,tail,0.5464672731882924,0.006500942169926492,4274
mkgw_mhyper_native,R4_swap,2,11,head,0.19373222454134204,0.0024557204279487656,4274
mkgw_mhyper_native,R4_swap,2,11,tail,0.541135351925476,0.005538247370890636,4274
mkgw_mhyper_native,R4_swap,2,23,head,0.1935881012301688,0.0023115971167755726,4274
mkgw_mhyper_native,R4_swap,2,23,tail,0.5408727063704857,0.0052756018159002644,4274
mkgw_mhyper_native,R4_swap,2,37,head,0.19420355604225953,0.0029270519288662616,4274
mkgw_mhyper_native,R4_swap,2,37,tail,0.5424365203679254,0.006839415813339996,4274
mkgw_mhyper_native,R4_swap,3,11,head,0.19611971446644258,0.0030022692714637036,4274
mkgw_mhyper_native,R4_swap,3,11,tail,0.5421150425678792,0.008106962282086906,4274
mkgw_mhyper_native,R4_swap,3,23,head,0.19591296105187153,0.0027955158568926486,4274
mkgw_mhyper_native,R4_swap,3,23,tail,0.5419222831397792,0.007914202853986904,4274
mkgw_mhyper_native,R4_swap,3,37,head,0.19618777806806578,0.0030703328730868886,4274
mkgw_mhyper_native,R4_swap,3,37,tail,0.5432263626033329,0.009218282317540563,4274
mkgw_mhyper_native,R0_historical,1,1,head,0.17762055772701094,-0.016404713049763618,4274
mkgw_mhyper_native,R0_historical,1,1,tail,0.4963301535964,-0.04363617742196583,4274
mkgw_mhyper_native,R0_historical,2,2,head,0.19306001751443516,0.001783513401041916,4274
mkgw_mhyper_native,R0_historical,2,2,tail,0.5413143762409828,0.0057172716863973,4274
mkgw_mhyper_native,R0_historical,3,3,head,0.18103957589078437,-0.012077869304194523,4274
mkgw_mhyper_native,R0_historical,3,3,tail,0.4983792041567457,-0.03562887612904657,4274
mkgw_mhyper_native,Global,1,-1,head,0.19402527077677456,0.0,4274
mkgw_mhyper_native,Global,1,-1,tail,0.5399663310183657,0.0,4274
mkgw_mhyper_native,Global,2,-1,head,0.19127650411339325,0.0,4274
mkgw_mhyper_native,Global,2,-1,tail,0.5355971045545854,0.0,4274
mkgw_mhyper_native,Global,3,-1,head,0.19311744519497887,0.0,4274
mkgw_mhyper_native,Global,3,-1,tail,0.5340080802857923,0.0,4274
mkgw_mhyper_native,ADC,1,-1,head,0.19543138987174877,0.0014061190949742255,4274
mkgw_mhyper_native,ADC,1,-1,tail,0.5422339705443249,0.0022676395259591535,4274
mkgw_mhyper_native,ADC,2,-1,head,0.19330422367331954,0.0020277195599262415,4274
mkgw_mhyper_native,ADC,2,-1,tail,0.5389842289347905,0.0033871243802050476,4274
mkgw_mhyper_native,ADC,3,-1,head,0.19303339306240422,-8.405213257466513e-05,4274
mkgw_mhyper_native,ADC,3,-1,tail,0.5396834218689582,0.005675341583165919,4274
mkgw_mhyper_native,Query-soft,1,-1,head,0.19515992039809887,0.001134649621324331,4274
mkgw_mhyper_native,Query-soft,1,-1,tail,0.5422797222936242,0.0023133912752583445,4274
mkgw_mhyper_native,Query-soft,2,-1,head,0.19307162823865098,0.0017951241252577186,4274
mkgw_mhyper_native,Query-soft,2,-1,tail,0.5384854623493531,0.002888357794767698,4274
mkgw_mhyper_native,Query-soft,3,-1,head,0.1938954045897623,0.0007779593947834129,4274
mkgw_mhyper_native,Query-soft,3,-1,tail,0.5363653770078615,0.002357296722069115,4274
mkgw_mhyper_adamf,R1_source,1,11,head,0.1775668934923125,-0.0071516072495700946,4274
mkgw_mhyper_adamf,R1_source,1,11,tail,0.5192215485879899,-0.017280433536756932,4274
mkgw_mhyper_adamf,R1_source,1,23,head,0.17961726270267764,-0.00510123803920498,4274
mkgw_mhyper_adamf,R1_source,1,23,tail,0.5200936345494648,-0.01640834757528213,4274
