pair,variant,base_seed,selector_seed,learning_rate,epochs,permanent_zero_gradient,final_all_zero_weight,initial_zero_weight_fraction,final_zero_weight_fraction,initial_weight_std,final_weight_std,first_epoch_mean_loss,last_epoch_mean_loss,last_epoch_max_gradient_norm,full_dev_resubstitution_mrr
mkgw_mhyper_native,R1_source,1,11,5e-05,1,False,False,0.0,0.0,0.05003150925040245,0.09605017304420471,1.1651026441979764,1.1651026441979764,4.668331623077393,0.3510931684037706
mkgw_mhyper_native,R2_init,1,11,5e-05,1,False,False,0.0,0.0,0.00034371952642686665,0.035837531089782715,1.1557151328271895,1.1557151328271895,5.482449054718018,0.3509869723589271
mkgw_mhyper_native,R3_softplus_fixed,1,11,5e-05,1,False,False,0.0,0.0,0.00021758332150056958,0.028537077829241753,1.18676846552251,1.18676846552251,4.189120292663574,0.35129056129932146
mkgw_mhyper_native,R3_softplus,1,11,1e-05,1,False,False,0.0,0.0,0.00021758332150056958,0.0038053581956773996,1.2465192795689426,1.2465192795689426,2.91253662109375,0.35233649564453673
mkgw_mhyper_native,R4_swap,1,11,1e-05,1,False,False,0.0,0.0,0.00021758332150056958,0.003835963550955057,1.2479923798966763,1.2479923798966763,2.3969123363494873,0.35177061878078747
mkgw_mhyper_native,R1_source,1,23,5e-05,1,False,False,0.0,0.0,0.057929039001464844,0.10669319331645966,1.1314102146607727,1.1314102146607727,4.851581573486328,0.3499572498923932
mkgw_mhyper_native,R2_init,1,23,5e-05,1,False,False,0.0,0.0,0.00022270757472142577,0.03170239180326462,1.142056462480061,1.142056462480061,5.38322639465332,0.35119656593210674
mkgw_mhyper_native,R3_softplus_fixed,1,23,5e-05,1,False,False,0.0,0.0,0.00014097633538767695,0.02556128241121769,1.1759680978842635,1.1759680978842635,4.172413349151611,0.3510075737613763
mkgw_mhyper_native,R3_softplus,1,23,1e-05,1,False,False,0.0,0.0,0.00014097633538767695,0.0031794309616088867,1.2427146763943915,1.2427146763943915,2.9780821800231934,0.3522118892691201
mkgw_mhyper_native,R4_swap,1,23,1e-05,1,False,False,0.0,0.0,0.00014097633538767695,0.003185583744198084,1.244564509658671,1.244564509658671,2.4486961364746094,0.3530952721943081
mkgw_mhyper_native,R1_source,1,37,5e-05,1,False,False,0.9215388298034668,0.0,0.00904532428830862,0.00757796922698617,1.4969437678358448,1.4969437678358448,5.511998176574707,0.34966358194035396
mkgw_mhyper_native,R2_init,1,37,5e-05,1,False,False,0.0,0.0,0.0004992576432414353,0.04846136271953583,1.1215172000785372,1.1215172000785372,6.238508224487305,0.3511575945395468
mkgw_mhyper_native,R3_softplus_fixed,1,37,5e-05,1,False,False,0.0,0.0,0.00031656300416216254,0.040641702711582184,1.1599125942187523,1.1599125942187523,5.318221569061279,0.35054150409525325
