pair,run,stage,variant,base_seed,selector_seed,learning_rate,epochs,all_layers_updated_every_epoch,min_epoch_parameter_update,min_epoch_layer_max_gradient,permanent_zero_gradient,final_all_zero_weight
mkgw_mhyper_native,cv_b2_s11_f2_lr0.0001,cv,R3_softplus,2,11,0.0001,10,True,0.0015461444854736328,0.01135929860174656,False,False
mkgw_mhyper_native,cv_b2_s23_f0_lr1e-05,cv,R3_softplus,2,23,1e-05,10,True,0.0017562508583068848,0.0025260865222662687,False,False
mkgw_mhyper_native,cv_b2_s23_f0_lr5e-05,cv,R3_softplus,2,23,5e-05,10,True,0.002417922019958496,0.013368289917707443,False,False
mkgw_mhyper_native,cv_b2_s23_f0_lr0.0001,cv,R3_softplus,2,23,0.0001,10,True,0.001752316951751709,0.009590323083102703,False,False
mkgw_mhyper_native,cv_b2_s23_f1_lr1e-05,cv,R3_softplus,2,23,1e-05,10,True,0.0017772912979125977,0.0026916356291621923,False,False
mkgw_mhyper_native,cv_b2_s23_f1_lr5e-05,cv,R3_softplus,2,23,5e-05,10,True,0.002343416213989258,0.014277663081884384,False,False
mkgw_mhyper_native,cv_b2_s23_f1_lr0.0001,cv,R3_softplus,2,23,0.0001,10,True,0.0016123652458190918,0.00968477874994278,False,False
mkgw_mhyper_native,cv_b2_s23_f2_lr1e-05,cv,R3_softplus,2,23,1e-05,10,True,0.0017932653427124023,0.002376626944169402,False,False
mkgw_mhyper_native,cv_b2_s23_f2_lr5e-05,cv,R3_softplus,2,23,5e-05,10,True,0.0023242831230163574,0.012335541658103466,False,False
mkgw_mhyper_native,cv_b2_s23_f2_lr0.0001,cv,R3_softplus,2,23,0.0001,10,True,0.0015857815742492676,0.009701164439320564,False,False
mkgw_mhyper_native,cv_b2_s37_f0_lr1e-05,cv,R3_softplus,2,37,1e-05,10,True,0.0017228126525878906,0.002916567027568817,False,False
mkgw_mhyper_native,cv_b2_s37_f0_lr5e-05,cv,R3_softplus,2,37,5e-05,10,True,0.0022640228271484375,0.01521181222051382,False,False
mkgw_mhyper_native,cv_b2_s37_f0_lr0.0001,cv,R3_softplus,2,37,0.0001,10,True,0.0015718936920166016,0.009299392811954021,False,False
mkgw_mhyper_native,cv_b2_s37_f1_lr1e-05,cv,R3_softplus,2,37,1e-05,10,True,0.0017420649528503418,0.002427621278911829,False,False
mkgw_mhyper_native,cv_b2_s37_f1_lr5e-05,cv,R3_softplus,2,37,5e-05,10,True,0.0023966431617736816,0.012537378817796707,False,False
mkgw_mhyper_native,cv_b2_s37_f1_lr0.0001,cv,R3_softplus,2,37,0.0001,10,True,0.0017012357711791992,0.00869376864284277,False,False
mkgw_mhyper_native,cv_b2_s37_f2_lr1e-05,cv,R3_softplus,2,37,1e-05,10,True,0.001765131950378418,0.002794950269162655,False,False
mkgw_mhyper_native,cv_b2_s37_f2_lr5e-05,cv,R3_softplus,2,37,5e-05,10,True,0.0023325085639953613,0.014729848131537437,False,False
mkgw_mhyper_native,cv_b2_s37_f2_lr0.0001,cv,R3_softplus,2,37,0.0001,10,True,0.001523137092590332,0.009918490424752235,False,False
mkgw_mhyper_native,cv_b3_s11_f0_lr1e-05,cv,R3_softplus,3,11,1e-05,10,True,0.0017622113227844238,0.0023998727556318045,False,False
mkgw_mhyper_native,cv_b3_s11_f0_lr5e-05,cv,R3_softplus,3,11,5e-05,10,True,0.002329587936401367,0.012747892178595066,False,False
mkgw_mhyper_native,cv_b3_s11_f0_lr0.0001,cv,R3_softplus,3,11,0.0001,10,True,0.0016951560974121094,0.00907411240041256,False,False
mkgw_mhyper_native,cv_b3_s11_f1_lr1e-05,cv,R3_softplus,3,11,1e-05,10,True,0.0017681717872619629,0.003041621530428529,False,False
mkgw_mhyper_native,cv_b3_s11_f1_lr5e-05,cv,R3_softplus,3,11,5e-05,10,True,0.002353668212890625,0.016383260488510132,False,False
mkgw_mhyper_native,cv_b3_s11_f1_lr0.0001,cv,R3_softplus,3,11,0.0001,10,True,0.001639723777770996,0.008417671546339989,False,False
mkgw_mhyper_native,cv_b3_s11_f2_lr1e-05,cv,R3_softplus,3,11,1e-05,10,True,0.0018021464347839355,0.0023784253280609846,False,False
mkgw_mhyper_native,cv_b3_s11_f2_lr5e-05,cv,R3_softplus,3,11,5e-05,10,True,0.0024004578590393066,0.012347483076155186,False,False
mkgw_mhyper_native,cv_b3_s11_f2_lr0.0001,cv,R3_softplus,3,11,0.0001,10,True,0.0016311407089233398,0.011290410533547401,False,False
mkgw_mhyper_native,cv_b3_s23_f0_lr1e-05,cv,R3_softplus,3,23,1e-05,10,True,0.001754462718963623,0.0025359082501381636,False,False
