dataset,pair_id,n_rows,n_original_triples,spearman,positive_auprc,positive_prevalence,positive_auprc_lift,harmful_auprc,harmful_prevalence,harmful_auprc_lift,highest_10pct_actual_mean_u,h1_pair_pass,fold_spearman_min,fold_spearman_max,fold_positive_lift_min,fold_positive_lift_max,fold_harmful_lift_min,fold_harmful_lift_max,selected_configs
mkg_w,mkgw_mhyper_native,230904,4276,0.21346011937116413,0.3664003622525643,0.2762755300904272,0.09012483216213707,0.38852637611402707,0.30351574680386656,0.08501062931016051,0.005182573798215932,True,0.16636614340910577,0.29681732782600057,0.06573870867219306,0.1572653873942722,0.05394237911918237,0.14928131562635966,w32_lr1e-3_neg1p0:3;w32_lr1e-3_neg2p0:2
mkg_w,mkgw_mhyper_adamf,128280,4276,0.14249186918451323,0.512219219390632,0.4211100717181166,0.09110914767251538,0.16407032159880575,0.1611416432803243,0.0029286783184814535,0.0008875953316967997,True,0.07052814653240876,0.21383202350252467,0.028458052830320157,0.1703992907937093,-0.006667015382738339,0.012946034613102092,w128_lr1e-3_neg2p0:1;w32_lr1e-4_neg2p0:1;w32_lr3e-4_neg3p0:1;w64_lr1e-3_neg3p0:2
mkg_w,mkgw_native_adamf,153936,4276,0.0234781763363983,0.29623238411759384,0.29045837231057064,0.005774011807023194,0.3082796403852589,0.31273776114748986,-0.004458120762230955,-0.0030809641031638918,False,0.021834385775946732,0.038946583524739904,-0.009708427661721142,0.014039705183186146,-0.019066708363483786,0.008791690157603671,w128_lr1e-3_neg1p0:1;w128_lr1e-3_neg2p0:1;w128_lr3e-4_neg1p0:1;w32_lr1e-3_neg1p0:1;w64_lr1e-3_neg1p0:1
db15k,db15k_mhyper_native,237660,7922,0.03959115470014592,0.3501849024626275,0.3302880164941513,0.01989688596847622,0.19138676212089026,0.19033493225616427,0.0010518298647259894,-0.0008593036545182687,False,0.017177507019312133,0.10054670587919592,-0.009853285096678988,0.08721699441075254,-0.01840460762422158,0.014131780679375094,w128_lr1e-3_neg2p0:2;w128_lr3e-4_neg2p0:1;w64_lr1e-3_neg1p0:1;w64_lr1e-3_neg3p0:1
db15k,db15k_mhyper_adamf,237660,7922,0.0837013807285646,0.41526887281865643,0.34684528317764873,0.0684235896410077,0.2081713073889781,0.21107359252713961,-0.0029022851381615145,-0.004242652350961134,False,0.09330234096834016,0.11076313476614545,0.03962903510675764,0.10458770044970461,-0.009255272054491087,0.06930880763033989,w128_lr1e-3_neg1p0:1;w128_lr1e-3_neg1p5:1;w128_lr1e-3_neg2p0:1;w128_lr3e-4_neg3p0:1;w64_lr1e-3_neg3p0:1
db15k,db15k_native_adamf,237660,7922,0.10604660633507362,0.4682372689459403,0.4010771690650509,0.06716009988088939,0.2204645093685135,0.2105949676007742,0.009869541767739298,0.0028367963289897976,True,0.0838571103328926,0.14271386965292238,0.04292191844577681,0.09165414125448823,-0.007002212920183271,0.022453221624473024,w128_lr1e-3_neg1p0:1;w128_lr1e-3_neg2p0:1;w128_lr3e-4_neg1p5:1;w64_lr1e-3_neg1p5:1;w64_lr1e-3_neg2p0:1
