outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
1,w32_lr1e-4_neg1p0,32,0.0001,1.0,152208,0.021763454601957496,0.01803959692639917,0.041647329340954053,0.32841243561442235,0.35460361427121256,0.026191178656790215,0.5428602070556795,0.1911134762955955,0.18166571244051605,-0.00944776385507945,0.4866637715897521
1,w32_lr1e-4_neg1p5,32,0.0001,1.5,152208,0.022329932600778167,0.018253186726660087,0.040663840073234425,0.32841243561442235,0.35335786799113655,0.024945432376714205,0.5454435890391401,0.1911134762955955,0.18278485656569582,-0.008328619729899678,0.48461161171654765
1,w32_lr1e-4_neg2p0,32,0.0001,2.0,152208,0.02274861421979665,0.01841924690388435,0.013157367560987177,0.32841243561442235,0.3357731581129112,0.0073607224984888475,0.5221653148351946,0.1911134762955955,0.18030186456459582,-0.010811611730999676,0.48364431563402144
1,w32_lr1e-4_neg3p0,32,0.0001,3.0,152208,0.02363936797735389,0.018819190822160697,0.017905052635166993,0.32841243561442235,0.33483858472027156,0.00642614910584921,0.5220014881841516,0.1911134762955955,0.1836959717829533,-0.007417504512642198,0.4934538735516201
1,w32_lr3e-4_neg1p0,32,0.0003,1.0,152208,0.02086845922472647,0.017818379252278558,0.06213800567037961,0.32841243561442235,0.3755986722087164,0.04718623659429405,0.5660706459528863,0.1911134762955955,0.17770891181379167,-0.013404564481803827,0.47326446562377167
1,w32_lr3e-4_neg1p5,32,0.0003,1.5,152208,0.021041538906661498,0.017869387583779137,0.052737284217074645,0.32841243561442235,0.37104579327281473,0.04263335765839238,0.5631745343780676,0.1911134762955955,0.17530349705664955,-0.015809979238945948,0.4727696725961196
1,w32_lr3e-4_neg2p0,32,0.0003,2.0,152208,0.02134524539191067,0.017959410916282954,0.03996480991783585,0.32841243561442235,0.3509619671327695,0.022549531518347155,0.5524756874857918,0.1911134762955955,0.17864721002989875,-0.012466266265696746,0.4783315913199584
1,w32_lr3e-4_neg3p0,32,0.0003,3.0,152208,0.021705779860565103,0.01805354818952277,0.03598287474590751,0.32841243561442235,0.35869240357210036,0.03027996795767801,0.5558784605663275,0.1911134762955955,0.1788848428732275,-0.01222863342236799,0.4744875679000682
1,w32_lr1e-3_neg1p0,32,0.001,1.0,152208,0.02035623606040432,0.017717169106616554,0.087838501398505,0.32841243561442235,0.3992845912568719,0.07087215564244953,0.5930101141897406,0.1911134762955955,0.17785550610626644,-0.01325797018932906,0.4660425606545936
1,w32_lr1e-3_neg1p5,32,0.001,1.5,152208,0.020250523432143012,0.01771266129316491,0.08112344329710654,0.32841243561442235,0.38037732016194264,0.051964884547520296,0.5833417746126637,0.1911134762955955,0.18177079432425425,-0.009342681971341249,0.48143764644250275
