pair_id,best_group_level,best_group_delta_mrr,x4_query_delta_mrr,x4_minus_group,x4_minus_group_ci95_low,x4_minus_group_ci95_high,x6_minus_group,x6_minus_group_ci95_low,x6_minus_group_ci95_high,finer_overfit_transition_count,finer_overfit_pattern
mkgw_mhyper_native,L3,0.004729481431845282,0.007339022263938472,0.0026095408320931895,0.0009484975473648933,0.004303100985062077,-0.0010473669552580804,-0.0029292687719569077,0.0008951164246334867,1,False
mkgw_mhyper_adamf,L4,0.0006467003915825892,0.005909004978616124,0.005262304587033534,0.004034839616632085,0.006505518914776315,-0.0021750941697050007,-0.004150704399433026,-0.000200441911141248,2,True
mkgw_native_adamf,L2,0.0002733428898781332,0.0010386891159871886,0.0007653462261090551,-0.00030930797061983585,0.0018431751574621519,-0.002925261212243556,-0.004388154908136784,-0.00149154287356876,1,False
db15k_mhyper_native,L3,0.0010641203999082601,0.0021254709659641077,0.0010613505660558482,0.00012186420180555313,0.002001834717901387,-0.0036473049870836055,-0.004824231708362964,-0.002465723097977541,0,False
db15k_mhyper_adamf,L1,0.0,0.0009243054036609514,0.0009243054036609514,0.0003615530683629502,0.0014921811893375196,-0.006184810239384924,-0.007273139163544511,-0.0051018227794190196,2,True
db15k_native_adamf,L2,6.337731278627933e-05,0.0015636369484375956,0.0015002596356513164,0.0006303533020923487,0.00239563828730039,-0.0029085944962415795,-0.004187470420540842,-0.0016326641923433852,1,False
