dataset,pair_id,level,scope,value,count,delta_mrr,clustered_ci95_low,clustered_ci95_high
mkg_w,mkgw_mhyper_adamf,L4,seed,1,8552,0.0007447464348406935,0.00012975128140142833,0.0013966102848777483
mkg_w,mkgw_mhyper_adamf,L4,seed,2,8552,0.000562146045084092,-8.969534781034288e-05,0.001186949227483585
mkg_w,mkgw_mhyper_adamf,L4,seed,3,8552,0.0006332086948229823,3.1899927231493694e-05,0.0012535152364245338
mkg_w,mkgw_mhyper_adamf,L4,direction,head,12828,0.001268426962155945,0.00038599595496460444,0.002186141828935842
mkg_w,mkgw_mhyper_adamf,L4,direction,tail,12828,2.497382100923354e-05,-9.445544565811594e-05,0.00014711051526083868
mkg_w,mkgw_mhyper_adamf,L5,seed,1,8552,0.005475510752308675,0.0037891424130870738,0.007185140172653893
mkg_w,mkgw_mhyper_adamf,L5,seed,2,8552,0.005139640909028749,0.0034410013203617818,0.006843855979312807
mkg_w,mkgw_mhyper_adamf,L5,seed,3,8552,0.007111863274510946,0.0052203259277536305,0.009009102924444819
mkg_w,mkgw_mhyper_adamf,L5,direction,head,12828,0.0015989727452224072,0.0005888251050991852,0.0026472845011191732
mkg_w,mkgw_mhyper_adamf,L5,direction,tail,12828,0.01021903721200984,0.007955117461289534,0.012499387588342412
mkg_w,mkgw_native_adamf,L0,seed,1,8552,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L0,seed,2,8552,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L0,seed,3,8552,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L0,direction,head,12828,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L0,direction,tail,12828,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L1,seed,1,8552,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L1,seed,2,8552,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L1,seed,3,8552,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L1,direction,head,12828,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L1,direction,tail,12828,0.0,0.0,0.0
mkg_w,mkgw_native_adamf,L2,seed,1,8552,0.0003215036963461914,-0.0014914345426629832,0.002162393192766388
mkg_w,mkgw_native_adamf,L2,seed,2,8552,-0.0016089215124564717,-0.003085764674686688,-0.00012972958970334174
mkg_w,mkgw_native_adamf,L2,seed,3,8552,0.0021074464857446795,0.00042069202571910037,0.003794807435710306
mkg_w,mkgw_native_adamf,L2,direction,head,12828,-0.0006247337373901894,-0.001474545806724837,0.00023738287284494886
mkg_w,mkgw_native_adamf,L2,direction,tail,12828,0.0011714195171464556,-0.0007006034909014395,0.0030451875881377043
mkg_w,mkgw_native_adamf,L3,seed,1,8552,-0.0006445776000541081,-0.0026466627546732095,0.0013584602526187767
mkg_w,mkgw_native_adamf,L3,seed,2,8552,-0.002377343295231132,-0.0042386548299812735,-0.0005736932440227802
mkg_w,mkgw_native_adamf,L3,seed,3,8552,0.0011479749048685524,-0.0007340176538987616,0.0029683505952631407
mkg_w,mkgw_native_adamf,L3,direction,head,12828,-0.0013267810642866155,-0.002300621024982883,-0.000406306057287797
mkg_w,mkgw_native_adamf,L3,direction,tail,12828,7.748373734215706e-05,-0.002152669619133844,0.002294357730467794
mkg_w,mkgw_native_adamf,L4,seed,1,8552,-0.0009463546579694278,-0.0016879983481429546,-0.0002135182079421245
mkg_w,mkgw_native_adamf,L4,seed,2,8552,-4.691315638121616e-05,-0.000750091747856287,0.000654072653586337
mkg_w,mkgw_native_adamf,L4,seed,3,8552,0.00097938409253809,0.00020704155666892492,0.0017724915901123112
mkg_w,mkgw_native_adamf,L4,direction,head,12828,-0.0006483622417867721,-0.0011337907842056427,-0.0002107227882929034
mkg_w,mkgw_native_adamf,L4,direction,tail,12828,0.0006391064272450697,-8.868726061976969e-05,0.0013894759056786348
mkg_w,mkgw_native_adamf,L5,seed,1,8552,0.0012522651173561238,-0.0004026455134623914,0.002881474495439229
mkg_w,mkgw_native_adamf,L5,seed,2,8552,-0.0007110280148880265,-0.0021645146561505143,0.0007505329598193958
mkg_w,mkgw_native_adamf,L5,seed,3,8552,0.002574830245493468,0.0010080452667277147,0.004197587312125535
mkg_w,mkgw_native_adamf,L5,direction,head,12828,0.0004307056346446257,-0.00021360900549301752,0.0011359583784736828
mkg_w,mkgw_native_adamf,L5,direction,tail,12828,0.001646672597329751,-0.0001497726952540048,0.0034610518669989133
db15k,db15k_mhyper_native,L0,seed,1,15844,0.0,0.0,0.0
db15k,db15k_mhyper_native,L0,seed,2,15844,0.0,0.0,0.0
db15k,db15k_mhyper_native,L0,seed,3,15844,0.0,0.0,0.0
db15k,db15k_mhyper_native,L0,direction,head,23766,0.0,0.0,0.0
db15k,db15k_mhyper_native,L0,direction,tail,23766,0.0,0.0,0.0
db15k,db15k_mhyper_native,L1,seed,1,15844,-8.12339589250723e-05,-0.00033875293302131884,0.0001565872804496306
db15k,db15k_mhyper_native,L1,seed,2,15844,-0.0001218018116658905,-0.00037827345395452283,0.00012350201278927002
db15k,db15k_mhyper_native,L1,seed,3,15844,8.052310267126059e-07,-0.00026272690522657774,0.0002626857948997216
db15k,db15k_mhyper_native,L1,direction,head,23766,-0.0001348203597095001,-0.0004335674444114801,0.0001666791945812654
db15k,db15k_mhyper_native,L1,direction,tail,23766,0.0,0.0,0.0
db15k,db15k_mhyper_native,L2,seed,1,15844,0.0006251815705461863,-0.000545311349500387,0.001838512087677037
db15k,db15k_mhyper_native,L2,seed,2,15844,-7.684036135712915e-05,-0.0012954125348895566,0.0011254423950364182
db15k,db15k_mhyper_native,L2,seed,3,15844,0.00014445670139515897,-0.0010703299992430185,0.0013225533087172694
db15k,db15k_mhyper_native,L2,direction,head,23766,0.001227204957915648,0.0003436741859126099,0.0021110997778066593
