pair_id,level,outer_fold,global_alpha,minimum_support,training_adaptive_gain,oof_delta_mrr,support_coverage,supported_group_count,degree_edges
mkgw_mhyper_adamf,L0,5,1.0,1,0.0,0.0,1.0,1,
mkgw_mhyper_adamf,L1,5,1.0,1,0.0,0.0,1.0,2,
mkgw_mhyper_adamf,L2,5,1.0,25,0.0008605489272901348,-0.0005918361056257604,0.898465171192444,29,
mkgw_mhyper_adamf,L3,5,1.0,25,0.002641967169146324,-0.0010124958209349086,0.898465171192444,58,
mkgw_mhyper_adamf,L4,5,1.0,100,0.0009492700644327823,0.0007351495159700783,0.2597402597402597,8,"[1.0986123085021973, 1.7917594909667969, 2.7725887298583984]"
mkgw_mhyper_adamf,L5,1,1.0,,,0.006107239993431063,1.0,,
mkgw_mhyper_adamf,L5,2,1.0,,,0.0053552768826347534,1.0,,
mkgw_mhyper_adamf,L5,3,1.0,,,0.004865438583476458,1.0,,
mkgw_mhyper_adamf,L5,4,1.0,,,0.007072850535068944,1.0,,
mkgw_mhyper_adamf,L5,5,1.0,,,0.006147145194139802,1.0,,
mkgw_native_adamf,L0,1,0.95,1,0.0,0.0,1.0,1,
mkgw_native_adamf,L1,1,0.95,1,0.0,0.0,1.0,2,
mkgw_native_adamf,L2,1,0.95,25,0.001974461935852138,0.0017393744689346638,0.895662368112544,29,
mkgw_native_adamf,L3,1,0.95,25,0.003050604753995513,0.0009323998585730562,0.895662368112544,58,
mkgw_native_adamf,L4,1,0.95,100,0.0005736716152589517,0.00043532853346422594,0.24208675263774912,7,"[1.0986123085021973, 1.7917594909667969, 2.7725887298583984]"
mkgw_native_adamf,L0,2,0.95,1,0.0,0.0,1.0,1,
mkgw_native_adamf,L1,2,0.95,1,0.0,0.0,1.0,2,
mkgw_native_adamf,L2,2,0.95,25,0.0024812646809388543,-0.0013404382775265378,0.8941860465116279,29,
mkgw_native_adamf,L3,2,0.95,25,0.0035655944556768258,-0.002239875763517942,0.8941860465116279,58,
mkgw_native_adamf,L4,2,0.95,100,0.0005476393086771298,0.0006928817091818172,0.25988372093023254,8,"[1.0986123085021973, 1.945910096168518, 2.7725887298583984]"
mkgw_native_adamf,L0,3,0.95,1,0.0,0.0,1.0,1,
mkgw_native_adamf,L1,3,0.95,1,0.0,0.0,1.0,2,
mkgw_native_adamf,L2,3,0.95,25,0.0021992556765099793,0.000168014326641042,0.8914819136522754,29,
mkgw_native_adamf,L3,3,0.95,25,0.0036239654885900654,-0.002063198397202472,0.8914819136522754,58,
mkgw_native_adamf,L4,3,0.95,100,0.0008743700688188015,-0.0012822302477849855,0.24970828471411902,7,"[1.0986123085021973, 1.7917594909667969, 2.7725887298583984]"
mkgw_native_adamf,L0,4,0.95,1,0.0,0.0,1.0,1,
mkgw_native_adamf,L1,4,0.95,1,0.0,0.0,1.0,2,
mkgw_native_adamf,L2,4,0.95,25,0.002609515989200117,-0.0014166994398889428,0.8905704307334109,29,
mkgw_native_adamf,L3,4,0.95,25,0.0034965362211717647,-0.0017360218396645266,0.8905704307334109,58,
mkgw_native_adamf,L4,4,0.95,100,0.0008068621443863903,-0.0002989190530057515,0.26658905704307334,8,"[1.0986123085021973, 1.945910096168518, 2.7725887298583984]"
mkgw_native_adamf,L0,5,0.95,1,0.0,0.0,1.0,1,
mkgw_native_adamf,L1,5,0.95,1,0.0,0.0,1.0,2,
mkgw_native_adamf,L2,5,0.95,25,0.0017422093503051182,0.0022560345156123745,0.898465171192444,29,
mkgw_native_adamf,L3,5,0.95,25,0.002635337432360023,0.0020299435406490067,0.898465171192444,58,
mkgw_native_adamf,L4,5,0.95,100,0.0006240599253513201,0.0004352306357168425,0.2597402597402597,8,"[1.0986123085021973, 1.7917594909667969, 2.7725887298583984]"
mkgw_native_adamf,L5,1,0.95,,,0.001992135173409281,1.0,,
mkgw_native_adamf,L5,2,0.95,,,0.0004635553972098112,1.0,,
mkgw_native_adamf,L5,3,0.95,,,0.0009292627989833195,1.0,,
mkgw_native_adamf,L5,4,0.95,,,0.00020148187633702914,1.0,,
mkgw_native_adamf,L5,5,0.95,,,0.0016222367944987606,1.0,,
db15k_mhyper_native,L0,1,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_native,L1,1,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_native,L2,1,1.0,25,0.0021356237326886638,0.0010143661846053953,0.8512658227848101,42,
db15k_mhyper_native,L3,1,1.0,25,0.0037763435966721693,0.0012134061369268245,0.8512658227848101,84,
db15k_mhyper_native,L4,1,1.0,50,0.0017323233914763258,-4.836588639321028e-06,0.3996835443037975,48,"[2.1972246170043945, 2.70805025100708, 3.8501474857330322]"
db15k_mhyper_native,L0,2,1.0,1,0.0,0.0,1.0,1,
db15k_mhyper_native,L1,2,1.0,1,0.0,0.0,1.0,2,
db15k_mhyper_native,L2,2,1.0,25,0.0021482858581681574,4.8394178425350156e-05,0.8532574320050601,42,
