dataset,pair_id,level,level_name,count,fold_specific_global_mrr,oof_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,training_adaptive_gain,train_oof_generalization_gap,negative_transfer_ratio,positive_transfer_ratio,changed_rate,support_coverage,available_headroom_recovery,group_alpha_foldwise_mad,median_group_alpha_foldwise_mad,fold_action_median_mad,positive_seed_count,head_delta_mrr,tail_delta_mrr,head_tail_not_both_negative,robust_positive
mkg_w,mkgw_mhyper_native,L0,Global,25656,0.355802253507054,0.355802253507054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False
mkg_w,mkgw_mhyper_native,L1,Direction,25656,0.355802253507054,0.3564118827994406,0.0006096292923864846,-0.0006984283310517937,0.001964459771961936,0.001014465479084511,0.0004048361866980264,0.19870595572185842,0.29151075771749296,0.6987839101964453,1.0,0.013075088264115776,0.024999999999999967,0.024999999999999967,0.024999999999999967,3,0.002036393145431006,-0.0008171345606580362,True,False
mkg_w,mkgw_mhyper_native,L2,Relation,25656,0.355802253507054,0.36017461478019974,0.004372361273145724,0.002756725200419434,0.006023969719480175,0.007403698881704468,0.0030313376085587445,0.22945899594636732,0.32900685999376367,0.8657623947614593,0.8940598690364827,0.0937766775365819,0.02331938268375621,0.0,0.04999999999999999,3,0.004736712669958605,0.004008009876332843,True,True
mkg_w,mkgw_mhyper_native,L3,Relation×Direction,25656,0.355802253507054,0.36053173493889934,0.004729481431845282,0.003163575377377259,0.006324228403462152,0.00955422039256184,0.004824738960716557,0.21289367009666355,0.34584502650452137,0.8672825070159027,0.8940598690364827,0.10143604964059086,0.03266413811143082,0.0,0.0,3,0.005439082702689947,0.004019880161000618,True,True
mkg_w,mkgw_mhyper_native,L4,Context,25656,0.355802253507054,0.36038521944815677,0.004582965941102798,0.003116137879668497,0.00607260211999418,0.012142571481607559,0.007559605540504761,0.2010835671967571,0.31294823822887435,0.7766604303086997,0.7996959775491114,0.09829364326766393,0.022893247176310378,0.0,0.0,3,0.004802302476392319,0.004363629405813275,True,True
mkg_w,mkgw_mhyper_native,L5,Query,25656,0.355802253507054,0.36314127577099253,0.007339022263938472,0.005479861609365294,0.009295570282610627,0.0196838003414232,0.012344778077484728,0.2241580916744621,0.36338478328656065,0.8994387277829747,1.0,0.15740445065830583,,,0.04999999999999999,3,0.00555656851682195,0.009121476011054997,True,True
mkg_w,mkgw_mhyper_adamf,L0,Global,25656,0.35282196536677,0.35282196536677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False
mkg_w,mkgw_mhyper_adamf,L1,Direction,25656,0.35282196536677,0.35282196536677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True,False
mkg_w,mkgw_mhyper_adamf,L2,Relation,25656,0.35282196536677,0.35183831178288694,-0.0009836535838830833,-0.0017635008390499978,-0.00022873231143548376,0.000762481695072624,0.0017461352789557073,0.03570314936077331,0.08395696913002806,0.20275958840037417,0.8940598690364827,-0.024085082388024624,0.002942715145173948,0.0,0.0,0,-0.0004928111280941105,-0.001474496039672056,False,False
mkg_w,mkgw_mhyper_adamf,L3,Relation×Direction,25656,0.35282196536677,0.35162752204586334,-0.0011944433209066902,-0.002220187952217925,-0.0001718054963477827,0.002606059281849792,0.0038005026027564826,0.08995946367321485,0.2122310570626754,0.380378858746492,0.8940598690364827,-0.02924633861272319,0.009710959979074023,0.0,0.0,0,0.00013021301014532445,-0.002519099651958705,True,False
