pair_id,outer_fold,inner_fold,minimum_support,inner_global_alpha,inner_delta_mrr,inner_support_coverage,selected_for_outer_fold,pooled_inner_delta_mrr
mkgw_mhyper_native,1,1,10,0.6,0.003777657047532459,0.7383669885864794,True,0.0037176758289995246
mkgw_mhyper_native,1,1,25,0.6,0.0018966889486286042,0.5272168568920106,False,0.002342758401801931
mkgw_mhyper_native,1,1,50,0.6,0.0016876978712604955,0.29631255487269537,False,0.002110958284666816
mkgw_mhyper_native,1,1,100,0.6,0.0014169242398862467,0.2317822651448639,False,0.0011734722804724617
mkgw_mhyper_native,1,2,10,0.55,0.0037615355643308055,0.7425307557117751,True,0.0037176758289995246
mkgw_mhyper_native,1,2,25,0.55,0.0024932322872564337,0.5421792618629174,False,0.002342758401801931
mkgw_mhyper_native,1,2,50,0.55,0.0021670321505325163,0.31370826010544817,False,0.002110958284666816
mkgw_mhyper_native,1,2,100,0.55,0.0014611931664502847,0.24121265377855888,False,0.0011734722804724617
mkgw_mhyper_native,1,3,10,0.75,0.0036145074287237734,0.7303664921465969,True,0.0037176758289995246
mkgw_mhyper_native,1,3,25,0.75,0.002636679715516761,0.5383944153577661,False,0.002342758401801931
mkgw_mhyper_native,1,3,50,0.75,0.0024759509125155356,0.3106457242582897,False,0.002110958284666816
mkgw_mhyper_native,1,3,100,0.75,0.0006457950116984091,0.22469458987783594,False,0.0011734722804724617
mkgw_mhyper_native,2,1,10,0.6,0.0005231001706689048,0.7237762237762237,True,0.002298684217524472
mkgw_mhyper_native,2,1,25,0.6,1.999841642375448e-05,0.5380244755244755,False,0.0016125600640064558
mkgw_mhyper_native,2,1,50,0.6,0.0008890076721879348,0.32255244755244755,False,0.0015908971413657299
mkgw_mhyper_native,2,1,100,0.6,0.0006521621187475147,0.22945804195804195,False,0.0008479788153509787
mkgw_mhyper_native,2,2,10,0.6,0.002587938160248245,0.7458223394898856,True,0.002298684217524472
mkgw_mhyper_native,2,2,25,0.6,0.0016401717183564988,0.534740545294635,False,0.0016125600640064558
mkgw_mhyper_native,2,2,50,0.6,0.0013963421203654885,0.34080914687774844,False,0.0015908971413657299
mkgw_mhyper_native,2,2,100,0.6,0.0004888201500348705,0.21152154793315744,False,0.0008479788153509787
mkgw_mhyper_native,2,3,10,0.6,0.003798584144155167,0.73215859030837,True,0.002298684217524472
mkgw_mhyper_native,2,3,25,0.6,0.0031900896444810034,0.5158590308370044,False,0.0016125600640064558
mkgw_mhyper_native,2,3,50,0.6,0.002493250103142533,0.34008810572687226,False,0.0015908971413657299
mkgw_mhyper_native,2,3,100,0.6,0.0014051397874908713,0.21145374449339208,False,0.0008479788153509787
mkgw_mhyper_native,3,1,10,0.55,0.0030105654660918307,0.731140350877193,True,0.0028378920347638674
mkgw_mhyper_native,3,1,25,0.55,0.0017360247972584802,0.5293859649122807,False,0.0013362209024455356
mkgw_mhyper_native,3,1,50,0.55,0.0011673235262177966,0.31008771929824563,False,0.0014829804721949043
mkgw_mhyper_native,3,1,100,0.55,0.000729846004117591,0.225,False,0.0007646776899330796
mkgw_mhyper_native,3,2,10,0.55,0.0036405977671185863,0.7264731750219877,True,0.0028378920347638674
mkgw_mhyper_native,3,2,25,0.55,0.002182774982072141,0.5422163588390502,False,0.0013362209024455356
mkgw_mhyper_native,3,2,50,0.55,0.0014678604843943802,0.32937554969217236,False,0.0014829804721949043
