outer_fold,config_id,hidden_width,learning_rate,negative_weight,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc
1,w32_lr1e-4_neg1p0,32,0.0001,1.0,152208,0.03554105220732708,0.031086279111644903,0.05764161382319842,0.398822663723326,0.4283527043266571,0.029530040603331142,0.5452416001278304,0.211959949542731,0.2084511745374412,-0.003508775005289816,0.4979115896617553
1,w32_lr1e-4_neg1p5,32,0.0001,1.5,152208,0.036152774813093494,0.03134301545697627,0.057380885114703295,0.398822663723326,0.42863014646959124,0.029807482746265268,0.5503614522991433,0.211959949542731,0.20816235995014626,-0.003797589592584749,0.501621865256678
1,w32_lr1e-4_neg2p0,32,0.0001,2.0,152208,0.03656645575891339,0.03151480912083549,0.03662866681438537,0.398822663723326,0.41665079188507176,0.017828128161745782,0.5364679959130004,0.211959949542731,0.2094712914913519,-0.0024886580513791,0.5006534092832837
1,w32_lr1e-4_neg3p0,32,0.0001,3.0,152208,0.03756872210938214,0.032028228716812594,0.045439827629611934,0.398822663723326,0.42727454962293077,0.02845188589960479,0.5520068904444482,0.211959949542731,0.207995657452078,-0.003964292090653021,0.4941128419139428
1,w32_lr3e-4_neg1p0,32,0.0003,1.0,152208,0.03455801183244886,0.03078922063995119,0.07887412731516773,0.398822663723326,0.4384353206404137,0.03961265691708771,0.5483964467314638,0.211959949542731,0.21287254241402442,0.0009125928712934162,0.5083943751534015
1,w32_lr3e-4_neg1p5,32,0.0003,1.5,152208,0.034795307362415824,0.030870039467388533,0.07562631429411219,0.398822663723326,0.44399381850906616,0.045171154785740186,0.564015106108004,0.211959949542731,0.21108969537028743,-0.0008702541724435742,0.4998206467206112
1,w32_lr3e-4_neg2p0,32,0.0003,2.0,152208,0.03521024019687022,0.03102328108445271,0.05733051637060478,0.398822663723326,0.4300831464790138,0.031260482755687824,0.5533148382843898,0.211959949542731,0.21364180009410352,0.0016818505513725157,0.5046481489480383
1,w32_lr3e-4_neg3p0,32,0.0003,3.0,152208,0.03596511921059777,0.031273703829759684,0.059748020638153335,0.398822663723326,0.44607697007181196,0.047254306348485986,0.570655956108322,0.211959949542731,0.2097640629212912,-0.0021958866214397965,0.4923758778777129
1,w32_lr1e-3_neg1p0,32,0.001,1.0,152208,0.034292791203139925,0.030722298617931063,0.1002198121048574,0.398822663723326,0.455705710493719,0.05688304677039302,0.5728250123724611,0.211959949542731,0.2084684334807046,-0.003491516062026412,0.4940580346633223
1,w32_lr1e-3_neg1p5,32,0.001,1.5,152208,0.03422948008627164,0.03072023689728719,0.10475692675765882,0.398822663723326,0.4673973131584407,0.06857464943511471,0.5891344019319151,0.211959949542731,0.2111924572250034,-0.0007674923177276027,0.5002418396825262
