pair,label,outer_fold,inner_fold,fit_triples,heldout_triples,fit_rows,heldout_rows,anchor,random_state,n_iter,fit_triple_sha256,heldout_triple_sha256,disjoint
db15k_mhyper_native,D-N,1,1,4223,2119,19807,12714,1.0,20261003,4,31dedabfe4e53e3125a64182d4daa1e1a658d895080a4517fb07722eb4547ece,4dc94fb620464f00c056e45a4c5ca0715181399eda33f4c8079826cf94bf97e2,True
db15k_mhyper_native,D-N,1,2,4229,2113,19742,12678,1.0,20261004,5,b9905b909b25c515f10c06370706e81eba520e7d9112d87fc843cf4bd8395512,ef6323e5777b84332798912e270acac60745aacad6616190e8b9b821110b1a35,True
db15k_mhyper_native,D-N,1,3,4232,2110,19729,12660,1.0,20261005,5,4d8163fde95bfcd2f6a1f414bf63cbd4121c44a99d72b12e85f7f8716ef85a9f,6a1cb2be699fdb2d8faf2111d0ec85b7ba8ea12eeccdbec79b1f2223794e2d87,True
db15k_mhyper_native,D-N,2,1,4224,2117,19627,12702,1.0,20261103,6,bf95027ec217a8381bb260ef8139ac128cf572c2a32f7e0d318b548deaa57fb0,f0c12e05c0ac65f45749daf6b1af72333e7cb4ea11fb8cec391b1b9579d4180f,True
db15k_mhyper_native,D-N,2,2,4231,2110,19670,12660,1.0,20261104,5,d6bd30bc81153981c60c0a432c7da9079326d1b72ed4129260487b693bf20701,6d6c60b0ba28eae0da1bceef60db14813d7245369294eb56b5dd99381369fde8,True
db15k_mhyper_native,D-N,2,3,4227,2114,19833,12684,1.0,20261105,6,b76793327fad6629a42b0b816af93217c8c257f1202bb52598c73ef046615e67,0c1463694445af7dfc821792efa3a388fbf0697555a4809070a06b5c13b1f3de,True
db15k_mhyper_native,D-N,3,1,4221,2115,19713,12690,1.0,20261203,5,5fda4091d7c73a67dadc4bc595dc9f222b232f98058be9f5bdd1be6390462ffe,1d2d1066dec10c6a295bceaa552e6981b2861b61015a6eb75168cb330806f330,True
db15k_mhyper_native,D-N,3,2,4227,2109,19781,12654,1.0,20261204,7,3778943eedb4d16b4ede0e99f5c1c6011cda158b1296ec8d21ec2181d311650e,815146460e4c9cb8e10f9b99497f42cd4eff2eb06c8dd46f2f7a389d4042c294,True
db15k_mhyper_native,D-N,3,3,4224,2112,19692,12672,1.0,20261205,6,a120f731c9517276587426430be1fe3ec69cb96f8ae7623ce296d07ee99d444e,c355e8b4a4525d74d70c753c8495668f14f84584cd0b564ab58b77384778cf99,True
db15k_mhyper_native,D-N,4,1,4221,2111,19690,12666,1.0,20261303,6,0d17e7d57984aa8c1ef84cc718db91fc01c77751ae3f8adb8a8c9a98e3835753,ac8ff7ff1f9b25d576ac3c0cf5e68cc9b3bbbe605677469f8d280c416e0c6f2a,True
db15k_mhyper_native,D-N,4,2,4224,2108,19839,12648,1.0,20261304,5,75592f4a38863e589bedb7cba37162b92301ad8e6a3f0dae056b0497d2608174,ceffb1422157077c76fc2c5cdf12488694ccb6c83b3b2e5f8363d5ab96d6284a,True
db15k_mhyper_native,D-N,4,3,4219,2113,19703,12678,1.0,20261305,6,462cfe2cf5bdd1f5656ea2a678410075d38bc24f77b6cc5a68460f640d3834ee,d3ae783bbaac381f33dbbe016078fc2dd11d85379710641d3ad7d881edc63953,True
db15k_mhyper_native,D-N,5,1,4220,2117,19799,12702,1.0,20261403,5,bdd50c4f5c5c3ff78d1f8610c61dbe9d40aee1a1fb4dcdb79ff3fe6ec9b03537,4c76d9ddf6e587ee8b2b14a2416725151475c49cdbf16e1ee86521d3f8b8f62b,True
db15k_mhyper_native,D-N,5,2,4226,2111,19714,12666,1.0,20261404,5,7c7fd18d721c8befe6e9e38fec73f64d767b4cf0f631adfb6a64f63d7c5e9803,bc36cf401d731a959acc4c6f85aa97854e9a15de59fd2a5ca3bfb12eabbe19af,True
db15k_mhyper_native,D-N,5,3,4228,2109,19701,12654,1.0,20261405,5,dbd46a01d9ccfe7695bd9faabc295d2fadd751e96ad8e9efad6c3d6fdea0cf12,d83e6e7a154a9c6ccc18603c7fdedd4cbc2f6e8694b1b6027b4c620e59bfb83c,True
db15k_mhyper_native,D-N,0,1,5291,2631,24618,15786,1.0,20260903,6,69af7d3ab32cab09241821eb8c869f4ac9b5cc5f9311a0bdd0c2356728bb4d1e,7eb5b344de08c382206d82e74aafacb1e96cfd4bb65357dc4efad868dab321cf,True
db15k_mhyper_native,D-N,0,2,5277,2645,24673,15870,1.0,20260904,6,7c4e33cca677a6a70cb408c83e186770968f4d136a98e6f5387ceb192aaaf586,a2eaed20526dd48f8a87a893585af11fe6a90a156a7d0e031a081a569cf85983,True
db15k_mhyper_native,D-N,0,3,5276,2646,24719,15876,1.0,20260905,5,765899b712b78696a38e2d6c8565dcfcaa726935b8a66038982d5889593e16e5,92078abdc44147af70b8321fbeed8600ac29ab1da0618fed5c86c63ac469d07d,True
db15k_mhyper_adamf,D-A,1,1,4223,2119,20817,12714,1.0,20261003,6,31dedabfe4e53e3125a64182d4daa1e1a658d895080a4517fb07722eb4547ece,4dc94fb620464f00c056e45a4c5ca0715181399eda33f4c8079826cf94bf97e2,True
db15k_mhyper_adamf,D-A,1,2,4229,2113,20768,12678,1.0,20261004,6,b9905b909b25c515f10c06370706e81eba520e7d9112d87fc843cf4bd8395512,ef6323e5777b84332798912e270acac60745aacad6616190e8b9b821110b1a35,True
db15k_mhyper_adamf,D-A,1,3,4232,2110,20823,12660,1.0,20261005,6,4d8163fde95bfcd2f6a1f414bf63cbd4121c44a99d72b12e85f7f8716ef85a9f,6a1cb2be699fdb2d8faf2111d0ec85b7ba8ea12eeccdbec79b1f2223794e2d87,True
db15k_mhyper_adamf,D-A,2,1,4224,2117,20632,12702,1.0,20261103,6,bf95027ec217a8381bb260ef8139ac128cf572c2a32f7e0d318b548deaa57fb0,f0c12e05c0ac65f45749daf6b1af72333e7cb4ea11fb8cec391b1b9579d4180f,True
db15k_mhyper_adamf,D-A,2,2,4231,2110,20770,12660,1.0,20261104,6,d6bd30bc81153981c60c0a432c7da9079326d1b72ed4129260487b693bf20701,6d6c60b0ba28eae0da1bceef60db14813d7245369294eb56b5dd99381369fde8,True
db15k_mhyper_adamf,D-A,2,3,4227,2114,20798,12684,1.0,20261105,5,b76793327fad6629a42b0b816af93217c8c257f1202bb52598c73ef046615e67,0c1463694445af7dfc821792efa3a388fbf0697555a4809070a06b5c13b1f3de,True
db15k_mhyper_adamf,D-A,3,1,4221,2115,20712,12690,1.0,20261203,6,5fda4091d7c73a67dadc4bc595dc9f222b232f98058be9f5bdd1be6390462ffe,1d2d1066dec10c6a295bceaa552e6981b2861b61015a6eb75168cb330806f330,True
db15k_mhyper_adamf,D-A,3,2,4227,2109,20734,12654,1.0,20261204,5,3778943eedb4d16b4ede0e99f5c1c6011cda158b1296ec8d21ec2181d311650e,815146460e4c9cb8e10f9b99497f42cd4eff2eb06c8dd46f2f7a389d4042c294,True
db15k_mhyper_adamf,D-A,3,3,4224,2112,20780,12672,1.0,20261205,5,a120f731c9517276587426430be1fe3ec69cb96f8ae7623ce296d07ee99d444e,c355e8b4a4525d74d70c753c8495668f14f84584cd0b564ab58b77384778cf99,True
db15k_mhyper_adamf,D-A,4,1,4221,2111,20778,12666,1.0,20261303,5,0d17e7d57984aa8c1ef84cc718db91fc01c77751ae3f8adb8a8c9a98e3835753,ac8ff7ff1f9b25d576ac3c0cf5e68cc9b3bbbe605677469f8d280c416e0c6f2a,True
db15k_mhyper_adamf,D-A,4,2,4224,2108,20895,12648,1.0,20261304,5,75592f4a38863e589bedb7cba37162b92301ad8e6a3f0dae056b0497d2608174,ceffb1422157077c76fc2c5cdf12488694ccb6c83b3b2e5f8363d5ab96d6284a,True
db15k_mhyper_adamf,D-A,4,3,4219,2113,20713,12678,1.0,20261305,6,462cfe2cf5bdd1f5656ea2a678410075d38bc24f77b6cc5a68460f640d3834ee,d3ae783bbaac381f33dbbe016078fc2dd11d85379710641d3ad7d881edc63953,True
db15k_mhyper_adamf,D-A,5,1,4220,2117,20728,12702,1.0,20261403,5,bdd50c4f5c5c3ff78d1f8610c61dbe9d40aee1a1fb4dcdb79ff3fe6ec9b03537,4c76d9ddf6e587ee8b2b14a2416725151475c49cdbf16e1ee86521d3f8b8f62b,True
db15k_mhyper_adamf,D-A,5,2,4226,2111,20686,12666,1.0,20261404,5,7c7fd18d721c8befe6e9e38fec73f64d767b4cf0f631adfb6a64f63d7c5e9803,bc36cf401d731a959acc4c6f85aa97854e9a15de59fd2a5ca3bfb12eabbe19af,True
db15k_mhyper_adamf,D-A,5,3,4228,2109,20766,12654,1.0,20261405,6,dbd46a01d9ccfe7695bd9faabc295d2fadd751e96ad8e9efad6c3d6fdea0cf12,d83e6e7a154a9c6ccc18603c7fdedd4cbc2f6e8694b1b6027b4c620e59bfb83c,True
db15k_mhyper_adamf,D-A,0,1,5291,2631,25976,15786,1.0,20260903,6,69af7d3ab32cab09241821eb8c869f4ac9b5cc5f9311a0bdd0c2356728bb4d1e,7eb5b344de08c382206d82e74aafacb1e96cfd4bb65357dc4efad868dab321cf,True
db15k_mhyper_adamf,D-A,0,2,5277,2645,25897,15870,1.0,20260904,6,7c4e33cca677a6a70cb408c83e186770968f4d136a98e6f5387ceb192aaaf586,a2eaed20526dd48f8a87a893585af11fe6a90a156a7d0e031a081a569cf85983,True
db15k_mhyper_adamf,D-A,0,3,5276,2646,25977,15876,1.0,20260905,5,765899b712b78696a38e2d6c8565dcfcaa726935b8a66038982d5889593e16e5,92078abdc44147af70b8321fbeed8600ac29ab1da0618fed5c86c63ac469d07d,True
mkgw_native_adamf,W-NA,1,1,2287,1136,10988,6816,0.95,20261003,3,c5ff8cf5d7b7e16f1c14c47ddb72e1d396e89936b1644611edd3c8fc7f9bc3ff,9f5f8576d085e67d0cba81a94ed30603ea26c023778f6598ba7fc26b8bdca823,True
mkgw_native_adamf,W-NA,1,2,2283,1140,10918,6840,0.95,20261004,3,5ba215eeba8553340ed9fb79f9004f1ab29c68ec6591e96fbafa88664c4ace65,9910ae1d3176646995b294453bb6fb8a6e59d7e5f908cd8481490903ac508d7e,True
mkgw_native_adamf,W-NA,1,3,2276,1147,10906,6882,0.95,20261005,3,808cfa05adbf3cca43c98317f15bf33ebd59f558ff0144282ee31bfb9f422dea,addec87342914710312f9627f0c5b10e53f6abf704b13738ad2de72b5a3c9860,True
mkgw_native_adamf,W-NA,2,1,2282,1134,10956,6804,0.95,20261103,3,8e511fb822dab4ce484a9aac519e7f301a365ef8159daadcde1f1144ecaf1732,f358c0f633aab2c46e0794700fec56ff1747fe247242c0276cd25ff9558342a8,True
mkgw_native_adamf,W-NA,2,2,2279,1137,10999,6822,0.95,20261104,3,a94dcd0b7350d2cde9d69283535f1d0937f2ab51204670fe08a69dcdb30a0ef8,6f26fd5eb6af76884d3490b48b297ef3bbe4d4e35203e6e3777f9ea60c8f3822,True
mkgw_native_adamf,W-NA,2,3,2271,1145,10797,6870,0.95,20261105,3,2b321f082a3abf97efdb8593a88afef022f844b14e04fbf9e8303e7e83993aef,720a4d6941598d5b831fc56a854be3e4ac6ea26c42d5600f2017d35087bcbac5,True
mkgw_native_adamf,W-NA,3,1,2285,1134,10980,6804,0.95,20261203,4,301080104021e48cb82491d1b619ae888567e7222f5a7ba5a9a7a75022141344,dcde37f97828aca2366b848064a1dbf72b50086243249423b6d92de4750f912e,True
mkgw_native_adamf,W-NA,3,2,2279,1140,10965,6840,0.95,20261204,4,ef73c9803594ddbc442e9229b9d2e70112f8e709c07f7d10d4ab13df55d0eadb,647fc0f8c5255d93fda3a6dd47dcee802f083052b612b72d43f1077811cbc564,True
mkgw_native_adamf,W-NA,3,3,2274,1145,10945,6870,0.95,20261205,4,d11a586f6d4984369608113d084b78dbdfb4661b8e45f031963d4973e44491a2,decc010915c370025096b1c4b6dd9bf2c2dba8b7fe6be8076cd5946e8736629b,True
mkgw_native_adamf,W-NA,4,1,2287,1130,11007,6780,0.95,20261303,4,e3bfb6bfc3be3046826832a68a168451abd9f06fdca39777100d42bc383a72a0,b01ffbefbb83a7fd878e7af42de76db37aee93a290d08c4b73307803b8ec6bc8,True
mkgw_native_adamf,W-NA,4,2,2279,1138,11010,6828,0.95,20261304,3,ca90b1c943233ab3c0e3c3b1c8a38d4803def301a9895a4fc769b8a7e45d642e,d4628049e22c3855d8ca90f5ceed49b600e3b2ec11cd3494fb0e2683d755fd49,True
mkgw_native_adamf,W-NA,4,3,2268,1149,10861,6894,0.95,20261305,3,3d10ef868d5a65cf142023040350be989e27844cee940ec0602297fd87ab60a9,d0a4aad8e0fd11de4007c12e5d7da02075c86a7ae0c73eeb29b5d498b4d35c56,True
mkgw_native_adamf,W-NA,5,1,2290,1139,10899,6834,0.95,20261403,4,13290f16a9ba30e18391c9629b9e96f29a46a75e50d8944b8e0308b1ea74d32c,16c4add520157c29464826c0f16c1291d69a900a6a2fd314b19fd1076bbe540f,True
mkgw_native_adamf,W-NA,5,2,2289,1140,11019,6840,0.95,20261404,3,23a943b4a0b0beb564933d0a4ac40ae96659e12be7bfe5fe322c1ff7071b01c0,b692ab77fb817c2b43b0c8066af100cbef55ca4f6148be365216c8f6c7cfca74,True
mkgw_native_adamf,W-NA,5,3,2279,1150,10926,6900,0.95,20261405,3,cd297aa26c323d6cb5e1163adf23aeb29b03a615915a3b018f16ad4687eb846e,62f705efd2fa707d694d53d8481c620f4a7458fde6a8ab1149a4d32c670d075a,True
mkgw_native_adamf,W-NA,0,1,2855,1421,13709,8526,0.95,20260903,4,7c5f2f6810b485850ea51c66cb5f220a2bc42ffbb19dd291a4f395f22e5b2fab,37587b5a753c69569b7cea9b1b608e5be957f5e90db6ccf7b5dd2c64a84b60cf,True
mkgw_native_adamf,W-NA,0,2,2855,1421,13733,8526,0.95,20260904,4,3b3e03a6030485385eda61da06eb7a8abc5519164275e7481b23f325e8c54c68,60db2eb04ab9c98ae8ea5289fdd36680ccad67b97fb197dd50691e97073b5908,True
