pair,split,method,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,dev,Global,25656,0.35575016839902474,0.35575016839902474,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,ADC_grid_005,25656,0.358820604171267,0.35575016839902474,0.003070435772242232,0.149555659494855,0.20100561272217024,0.35056127221702527,0.03142996412094395,0.004700529012007402,0.007770964784249634,0.6329123791705644,0.13114476145930776
mkgw_mhyper_native,dev,ADC_grid_001,25656,0.3591186369134481,0.35575016839902474,0.0033684685144233692,0.14881509198628,0.20061584034923605,0.34943093233551603,0.029461593384767115,0.004384329729616497,0.007752798244039866,0.6329123791705644,0.1314858122856252
mkgw_mhyper_native,dev,ADC_continuous,25656,0.35897712564332335,0.35575016839902474,0.003226957244298525,0.1489710009354537,0.20057686311194262,0.3495478640473963,0.030319780728450197,0.004516768083260706,0.0077437253275592305,0.6329123791705644,0.1315210123866096
mkgw_mhyper_native,dev,Query-soft_grid_005,25656,0.3576888230023183,0.35575016839902474,0.001938654603293574,0.15758497037729965,0.3219130028063611,0.4794979731836607,0.03352722777290167,0.005283387195425688,0.007222041798719264,0.8206657312129716,0.09058699719363891
mkgw_mhyper_native,dev,Query-soft_grid_001,25656,0.3581801611523931,0.35575016839902474,0.0024299927533683262,0.17722949797318366,0.3468584346741503,0.524087932647334,0.03529779206182664,0.006255809966679364,0.008685802720047691,0.962386966011849,0.09101106953539131
mkgw_mhyper_native,dev,Query-soft_continuous,25656,0.35834355029799325,0.35575016839902474,0.0025933818989684965,0.18085438104147178,0.35165263486124104,0.5325070159027128,0.037055640427846065,0.0067016749136734385,0.009295056812641934,1.0,0.09106530889567875
mkgw_mhyper_adamf,dev,Global,25656,0.35282196536677,0.35282196536677,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,dev,ADC_grid_005,25656,0.3540258622685736,0.35282196536677,0.0012038969018035228,0.03745712503897724,0.1312363579669473,0.16869348300592454,0.039404640231695084,0.0014759845362745157,0.002679881438078038,0.19480823199251637,0.038166510757717494
mkgw_mhyper_adamf,dev,ADC_grid_001,25656,0.35406524641284526,0.35282196536677,0.001243281046075216,0.03706735266604303,0.13108044901777363,0.16814780168381666,0.03839516723563485,0.0014232072045949776,0.002666488250670193,0.19480823199251637,0.03859681945743686
mkgw_mhyper_adamf,dev,ADC_continuous,25656,0.35404018205553267,0.35282196536677,0.0012182166887626132,0.03679451200498909,0.13115840349236046,0.16795291549734956,0.03970272954819293,0.0014608425589918194,0.002679059247754433,0.19480823199251637,0.03862007455670746
mkgw_mhyper_adamf,dev,Query-soft_grid_005,25656,0.3326873485503782,0.35282196536677,-0.020134616816391844,0.26091362644215776,0.4371686934830059,0.6980823199251637,0.14187518784160083,0.03701716976191441,0.016882552945522565,1.0,0.481232460243218
mkgw_mhyper_adamf,dev,Query-soft_grid_001,25656,0.33301983839152965,0.35282196536677,-0.01980212697524042,0.2604458995946367,0.4370907390084191,0.6975366386030558,0.14092938846975375,0.03670448135932704,0.016902354384086618,1.0,0.481303398815092
