dataset,pair_id,pair_label,n_original_triples,raw_oracle_headroom,total_gain,top1_gain_share,top1_triple_count,top5_gain_share,top5_triple_count,top10_gain_share,top10_triple_count,top20_gain_share,top20_triple_count,q50,q50_triple_count,gini,effective_support
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,4276,0.04662525254682956,199.36957989024316,0.10062397814290866,43,0.3172822289947349,214,0.501003318682479,428,0.7258243034090875,856,0.09985968194574368,427,0.7179154127781103,0.2662018913796826
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,4276,0.04084078136150229,174.63518110178381,0.11067634676686118,43,0.37446995087563767,214,0.5806507964263693,428,0.8141444707151494,856,0.07787652011225445,333,0.7706094438028627,0.21630036942907216
mkg_w,mkgw_native_adamf,MKG-W / NativE+AdaMF,4276,0.047644916484863714,203.72966288927725,0.08292111748987917,43,0.2809427176815044,214,0.45907419923807696,428,0.6836154714074575,856,0.1136576239476146,486,0.69481174066117,0.3066436756823264
db15k,db15k_mhyper_native,DB15K / M-Hyper+NativE,7922,0.049579185044090174,392.7663039192824,0.11100291447748134,80,0.3560886221230734,397,0.5564809288793258,793,0.7945491511754119,1585,0.08381721787427417,664,0.7637457730455615,0.22533524042147204
db15k,db15k_mhyper_adamf,DB15K / M-Hyper+AdaMF,7922,0.04545313137920739,360.07970678608086,0.10398810449701569,80,0.3512162215361743,397,0.5520043341148161,793,0.789306276892963,1585,0.08558444837162332,678,0.7591224873915351,0.234110596202821
db15k,db15k_native_adamf,DB15K / NativE+AdaMF,7922,0.057545267132930136,455.8736062270725,0.06890453043266846,80,0.24778483729277148,397,0.4070930603605787,793,0.647552232372843,1585,0.13254228730118656,1050,0.6534961827310122,0.35817996192546236
