dataset,pair_id,pair_label,n_original_triples,n_query_identities,alpha0,raw_oracle_headroom,raw_ci95_low,raw_ci95_high,consensus_headroom,consensus_ci95_low,consensus_ci95_high,consensus_recovery,consensus_recovery_ci95_low,consensus_recovery_ci95_high,stable2_headroom,stable2_ci95_low,stable2_ci95_high,stable2_recovery,stable2_recovery_ci95_low,stable2_recovery_ci95_high,stable3_headroom,stable3_ci95_low,stable3_ci95_high,stable3_recovery,stable3_recovery_ci95_low,stable3_recovery_ci95_high,fragility2,fragility2_ci95_low,fragility2_ci95_high,fragility3,fragility3_ci95_low,fragility3_ci95_high,consensus_changed_rate,consensus_changed_ci95_low,consensus_changed_ci95_high,stable2_opportunity_rate,stable2_opportunity_ci95_low,stable2_opportunity_ci95_high,stable3_opportunity_rate,stable3_opportunity_ci95_low,stable3_opportunity_ci95_high,loso_stable_headroom,loso_ci95_low,loso_ci95_high,loso_recovery,loso_recovery_ci95_low,loso_recovery_ci95_high,frozen_x4_oof_gain,frozen_x4_ci95_low,frozen_x4_ci95_high,stable2_ci_lower_gt_zero,stable3_ci_lower_gt_zero
mkg_w,mkgw_mhyper_native,MKG-W / M-Hyper+NativE,4276,8552,0.6,0.04662525254682956,0.04438062091562972,0.04900003495032853,0.04165243015543891,0.03950255556252965,0.04388869144184637,0.8933448695769307,0.8839050842618169,0.9023797652042401,0.02867897732074179,0.026703643866398088,0.030772066607289872,0.6150953775947303,0.5926392093268285,0.6375756289759247,0.017004514283328127,0.015341611111851805,0.0187399040417103,0.3647061056934566,0.33776847164801715,0.3912694499038963,0.3849046224052697,0.3624243710240753,0.40736079067317155,0.6352938943065434,0.6087305500961038,0.6622315283519828,0.7233395696913003,0.712932647333957,0.7337464920486436,0.6168147801683816,0.6055893358278766,0.6280431478016838,0.389733395696913,0.37885874649204865,0.4010757717492984,0.014542092994768,0.0129266962576969,0.0162064468223566,0.3118930665343266,0.2847635410314685,0.3382369285835621,0.0073390222639384,0.005445282004491,0.0092433910998291,True,True
mkg_w,mkgw_mhyper_adamf,MKG-W / M-Hyper+AdaMF,4276,8552,1.0,0.04084078136150229,0.03854743739482634,0.04324461749914321,0.033855539672003186,0.03175331704024714,0.036055749005129215,0.8289640536582976,0.8159401955474935,0.8416766620818644,0.028184634760218808,0.026137007229978183,0.030320626096723327,0.6901100767574065,0.6685022490491026,0.7109157300350725,0.019349307500166325,0.01756409397928523,0.02122580886464604,0.4737741751044348,0.44454563629733446,0.5022815865526365,0.30988992324259346,0.28908426996492753,0.3314977509508974,0.5262258248955651,0.49771841344736345,0.5554543637026655,0.5695743685687559,0.5578811973807296,0.5815014031805426,0.5325070159027128,0.5206969130028064,0.5445509822263798,0.3663470533208606,0.35500467726847523,0.37815715622076707,0.0122666446186073,0.010617244559386,0.0140085728366087,0.3003528387478454,0.2674040672922717,0.3322003205487074,0.0059090049786161,0.0046693867663212,0.0071957750514693,True,True
mkg_w,mkgw_native_adamf,MKG-W / NativE+AdaMF,4276,8552,0.95,0.047644916484863714,0.04552566140777868,0.049912314619181025,0.039740765635787566,0.037814643703830864,0.04180571208594901,0.8341029551056677,0.8217283096963536,0.8465495447977877,0.022742249487014702,0.021018877633208706,0.02458329580822698,0.4773279326502687,0.45372511567064516,0.5009208726358397,0.011396129470302047,0.010065953621330644,0.012821815296033405,0.2391887804845345,0.21546740445410753,0.263429368270989,0.5226720673497314,0.49907912736416027,0.5462748843293548,0.7608112195154655,0.736570631729011,0.7845325955458925,0.7273152478952292,0.7170252572497662,0.7376052385406923,0.5668849391955099,0.5551888447146865,0.578578110383536,0.27677736202058,0.26637043966323665,0.28707027595884,0.0070199941985316,0.0055931519541907,0.0085320360981439,0.1473398363655825,0.1197447395302727,0.1755228271108984,0.0010386891159871,9.341584213811876e-05,0.0019995736690683,True,True
db15k,db15k_mhyper_native,DB15K / M-Hyper+NativE,7922,15844,1.0,0.049579185044090174,0.047590785223899076,0.05163045210095612,0.0416447495790788,0.039769710203897496,0.04359359099703234,0.8399643830781935,0.8310202382207033,0.8484040626923589,0.033725361942019624,0.03191680434680915,0.03563693943556385,0.6802322771547791,0.6646574262551705,0.695050626525021,0.020373500768795235,0.018816373559179755,0.02199091898493579,0.41092851265460145,0.3897589330934437,0.4323546038637177,0.3197677228452209,0.30494937347497897,0.33534257374482945,0.5890714873453986,0.5676453961362823,0.6102410669065563,0.5140747286038879,0.5054263443574855,0.5231002272153497,0.45752335268871497,0.44887654632668517,0.46648573592527137,0.24349911638475133,0.23605150214592274,0.2510729613733906,0.0124101244471283,0.0109350883850451,0.0139189709004271,0.2503091657535745,0.2263614973843126,0.2736004946887945,0.0021254709659641,0.0012801139317623,0.0029931448919193,True,True
db15k,db15k_mhyper_adamf,DB15K / M-Hyper+AdaMF,7922,15844,1.0,0.04545313137920739,0.04364369709841575,0.04729981478929031,0.03677214068034363,0.03512167162725813,0.03849541755368357,0.8090122630619264,0.7992442178892377,0.8188131187879204,0.0298797839664449,0.028290156086360905,0.031551172610527665,0.6573756979945601,0.6420888826744343,0.6723448899572755,0.018376615235989734,0.01707528248989522,0.019770370668375933,0.40429811276756494,0.3845432562063895,0.4243550055193276,0.3426243020054399,0.3276551100427245,0.3579111173255657,0.5957018872324351,0.5756449944806724,0.6154567437936105,0.5078263064882605,0.4988639232517041,0.516978035849533,0.46105781368341325,0.45234631406210557,0.47027423630396364,0.2541656147437516,0.24627619288058572,0.26211815198182276,0.0093238700920765,0.0080338009383109,0.0106570120412599,0.2051315235971121,0.1805980472773546,0.2293592341737125,0.0009243054036609,0.0003493390317563,0.0015093780415841,True,True
db15k,db15k_native_adamf,DB15K / NativE+AdaMF,7922,15844,1.0,0.057545267132930136,0.05588178064398207,0.059237714472819274,0.044848093035062916,0.04331522294803317,0.04635343843066163,0.7793532860220004,0.7693070882228841,0.7889070393331323,0.03057268243088436,0.029146301416251748,0.03201910459697678,0.5312805718715522,0.5159358589419503,0.5464697192401217,0.014536372304041265,0.013483561340008967,0.015597857483189717,0.2526076083800619,0.23704416331946215,0.2681602225431318,0.4687194281284478,0.45353028075987833,0.48406414105804974,0.7473923916199381,0.7318397774568681,0.7629558366805378,0.6176470588235294,0.608684675586973,0.6267987881848018,0.5162837667255743,0.5071935748548346,0.525752650845746,0.26155011360767483,0.253471345619793,0.269881343095178,0.0045536749205168,0.0033406214007791,0.0057632880209813,0.0791320493829281,0.0587056546571218,0.0990394244291743,0.0015636369484375,0.0010390135561791,0.0021143114399816,True,True
