dataset,pair,expert_b,evidence_tier,direction,n_queries,global_mrr,relation_mrr,relation_delta_vs_global,query_soft_mrr,query_soft_delta_vs_global,anchored_mrr,anchored_delta_vs_global
MKG-W,M-Hyper + NativE,NativE,confirmatory,head,12822,0.19196994065968231,0.194982519895338,0.003012579235655677,0.195708641382149,0.0037387007224666813,0.1951008998736773,0.003130959213994977
MKG-W,M-Hyper + NativE,NativE,confirmatory,tail,12822,0.5366395411135452,0.5422189004786664,0.005579359365121217,0.5453027711825063,0.00866323006896108,0.5452517093142804,0.008612168200735182
MKG-W,M-Hyper + AdaMF-MAT,AdaMF-MAT,confirmatory,head,12822,0.18416065738512757,0.18364824752939074,-0.000512409855736834,0.17918696232125483,-0.004973695063872741,0.18565498214345613,0.001494324758328558
MKG-W,M-Hyper + AdaMF-MAT,AdaMF-MAT,confirmatory,tail,12822,0.53528122156703,0.5329134714618319,-0.0023677501051980743,0.5257538062520053,-0.009527415315024657,0.5377554310369793,0.002474209469949362
DB15K,M-Hyper + NativE,NativE,secondary replication,head,29706,0.23722596474808894,0.23782554744177897,0.0005995826936900372,0.23386815594243776,-0.0033578088056511746,0.2387055438608124,0.001479579112723478
DB15K,M-Hyper + NativE,NativE,secondary replication,tail,29706,0.5119073528274862,0.5108320868797267,-0.0010752659477595294,0.4973737444896399,-0.014533608337846338,0.512970596663868,0.0010632438363817887
DB15K,M-Hyper + AdaMF-MAT,AdaMF-MAT,secondary replication,head,29706,0.23722596474808894,0.23583243596738246,-0.0013935287807064767,0.21904759914709176,-0.01817836560099717,0.23790300324290606,0.0006770384948171226
DB15K,M-Hyper + AdaMF-MAT,AdaMF-MAT,secondary replication,tail,29706,0.5119073528274862,0.5109638003917322,-0.0009435524357540581,0.476895068395266,-0.03501228443222021,0.5126584685775558,0.0007511157500695864
