dataset,dataset_label,pair_id,pair_suffix,pair_name,pair_label,n_original_triples,global_alpha,global_mrr,available_headroom,available_ci95_low,available_ci95_high,positive_opportunity_rate,best_group_level,best_group_gain,best_group_ci95_low,best_group_ci95_high,best_group_recovery,best_group_robust_positive,x4_oof_gain,x4_ci95_low,x4_ci95_high,x4_recovery,x4_robust_positive,cross_seed_transfer_headroom,cross_seed_transfer_ci95_low,cross_seed_transfer_ci95_high,cross_seed_transfer_recovery,loso_headroom,loso_ci95_low,loso_ci95_high,loso_recovery,consensus_headroom,consensus_recovery,stable2_headroom,stable2_ci95_low,stable2_ci95_high,stable2_recovery,stable3_headroom,stable3_ci95_low,stable3_ci95_high,stable3_recovery,local_primary_k,local_direction_agreement_lift,local_direction_lift_ci95_low,local_consensus_utility,local_consensus_ci95_low,local_consensus_utility_lift,local_consensus_lift_ci95_low,local_signal_pair,local_satisfying_k_count,local_satisfying_k,top10_gain_share,q50,gini,effective_support
mkg_w,MKG-W,mkgw_mhyper_native,mhyper_native,M-Hyper+NativE,MKG-W / M-Hyper+NativE,4276,0.6,0.3563560574716921,0.0466252525468295,0.0443554421116729,0.0489315633881139,0.6356407857811038,L3,0.0047294814318452,0.0031635753773772,0.0063242284034621,0.1014360496405891,True,0.0073390222639384,0.005445282004491,0.0092433910998291,0.1574044506583058,True,0.0108085565605026,0.0095893459593014,0.0120837230598877,0.2318176518110389,0.014542092994768,0.0129266962576969,0.0162064468223566,0.3118930665343266,0.0416524301554389,0.8933448695769307,0.0286789773207417,0.026703643866398,0.0307720666072898,0.6150953775947303,0.0170045142833281,0.0153416111118518,0.0187399040417103,0.3647061056934566,10,0.0680562530773016,0.0643618851553609,0.0031620701965074,0.0013725738710684,0.0028937190285066,0.0016957568408131,True,4,"5,10,20,50",0.501003318682479,0.0998596819457436,0.7179154127781103,0.2662018913796826
mkg_w,MKG-W,mkgw_mhyper_adamf,mhyper_adamf,M-Hyper+AdaMF,MKG-W / M-Hyper+AdaMF,4276,1.0,0.35282196536677,0.0408407813615023,0.0385096189235549,0.0432655337403482,0.5266214530714063,L4,0.0006467003915825,0.0002041063480321,0.0010960178580909,0.015834672355022533,True,0.0059090049786161,0.0046693867663212,0.0071957750514693,0.1446839355572693,True,0.0097499246264824,0.0084254257666159,0.0111253419368112,0.2387301197834833,0.0122666446186073,0.010617244559386,0.0140085728366087,0.3003528387478454,0.0338555396720031,0.8289640536582976,0.0281846347602188,0.0261370072299781,0.0303206260967233,0.6901100767574065,0.0193493075001663,0.0175640939792852,0.021225808864646,0.4737741751044348,10,0.067904849827671,0.06417931471243,-0.0038717167861493,-0.0060053498262347,0.0084597475075435,0.0070604086642319,False,1,50,0.5806507964263693,0.0778765201122544,0.7706094438028627,0.2163003694290721
mkg_w,MKG-W,mkgw_native_adamf,native_adamf,NativE+AdaMF,MKG-W / NativE+AdaMF,4276,0.95,0.3348552897395901,0.0476449164848637,0.045519574767094,0.0497765030857677,0.6120985344558778,L2,0.0002733428898781,-0.0008252254847733,0.0013460792444082,0.005737084038439615,False,0.0010386891159871,9.341584213811876e-05,0.0019995736690683,0.0218006283276237,True,0.0056427348895196,0.0046115153692191,0.0067407135491966,0.118433094353566,0.0070199941985316,0.0055931519541907,0.0085320360981439,0.1473398363655825,0.0397407656357875,0.8341029551056677,0.0227422494870147,0.0210188776332087,0.0245832958082269,0.4773279326502687,0.011396129470302,0.0100659536213306,0.0128218152960334,0.2391887804845345,10,0.0450590021335959,0.0417061073207505,-0.004846387585212,-0.0065986772096574,0.0038121486272328,0.0024813994121769,False,0,,0.4590741992380769,0.1136576239476146,0.69481174066117,0.3066436756823264
db15k,DB15K,db15k_mhyper_native,mhyper_native,M-Hyper+NativE,DB15K / M-Hyper+NativE,7922,1.0,0.3825870130241091,0.0495791850440901,0.0475496340837312,0.0515884291321532,0.4499705461583775,L3,0.0010641203999082,0.0001503023826979,0.0019607499998324,0.021463047425283256,True,0.0021254709659641,0.0012801139317623,0.0029931448919193,0.0428702279812375,True,0.0092753130842051,0.0081122568418004,0.0104698292902705,0.1870807895683791,0.0124101244471283,0.0109350883850451,0.0139189709004271,0.2503091657535745,0.0416447495790788,0.8399643830781935,0.0337253619420196,0.0319168043468091,0.0356369394355638,0.6802322771547791,0.0203735007687952,0.0188163735591797,0.0219909189849357,0.4109285126546014,10,0.0418458492807179,0.0394461862283866,-0.0053154690381847,-0.0068821792024632,0.0045619070480379,0.0035333339900645,False,0,,0.5564809288793258,0.0838172178742741,0.7637457730455615,0.225335240421472
db15k,DB15K,db15k_mhyper_adamf,mhyper_adamf,M-Hyper+AdaMF,DB15K / M-Hyper+AdaMF,7922,1.0,0.3825870130241091,0.0454531313792073,0.0436922480901376,0.0472848774616266,0.4559454683160818,L1,0.0,0.0,0.0,0.0,False,0.0009243054036609,0.0003493390317563,0.0015093780415841,0.0203353515063602,True,0.0070336009983631,0.0060288640070989,0.008067174599467,0.1547440359979403,0.0093238700920765,0.0080338009383109,0.0106570120412599,0.2051315235971121,0.0367721406803436,0.8090122630619264,0.0298797839664449,0.0282901560863609,0.0315511726105276,0.6573756979945601,0.0183766152359897,0.0170752824898952,0.0197703706683759,0.4042981127675649,10,0.0436495754696229,0.0411651285870588,-0.0109308438783668,-0.012428804555339,0.0056028156884043,0.0045292351906379,False,0,,0.5520043341148161,0.0855844483716233,0.7591224873915351,0.234110596202821
db15k,DB15K,db15k_native_adamf,native_adamf,NativE+AdaMF,DB15K / NativE+AdaMF,7922,1.0,0.3210219182791353,0.0575452671329301,0.0558811902002873,0.0592620088351424,0.520449381469326,L2,6.337731278627933e-05,-0.0007663205301569,0.000896112269469,0.0011013470949726785,False,0.0015636369484375,0.0010390135561791,0.0021143114399816,0.0271722945490126,True,0.003387047381097,0.0024913968979949,0.0042706362020346,0.0588588349633158,0.0045536749205168,0.0033406214007791,0.0057632880209813,0.0791320493829281,0.0448480930350629,0.7793532860220004,0.0305726824308843,0.0291463014162517,0.0320191045969767,0.5312805718715522,0.0145363723040412,0.0134835613400089,0.0155978574831897,0.2526076083800619,10,0.0288110289912454,0.0266470763046916,-0.0053689768424243,-0.0068774299368502,0.003399564906592,0.002402203012433,False,0,,0.4070930603605787,0.1325422873011865,0.6534961827310122,0.3581799619254623
mkg_y,MKG-Y,mkg_y_mhyper_native,mhyper_native,M-Hyper+NativE,MKG-Y / M-Hyper+NativE,2665,0.35,0.3393229735397853,0.036845721448909,0.0343957376311347,0.0394332278234624,0.6387742338961852,L2,0.0008216124435854,-0.0013571539766731,0.0031285469344006,0.02229872048304615,False,0.0037046776535336,0.0022528211640699,0.0051666422981165,0.1005456673896475,True,0.0068019674603074,0.0057313943826867,0.0078962718105305,0.1846067112497493,0.0093805768976709,0.0079072958493138,0.0109055050676362,0.2545906696569422,0.0335233113272484,0.9098291472927869,0.0196128300779152,0.0176154295946132,0.0216849952912118,0.5322959981964462,0.0098763050533433,0.0083553049772663,0.0114433741009732,0.2680448275938352,10,0.0757860515569168,0.0708917095751041,-0.0028436624331115,-0.0047307043857356,0.0010213785737624,-0.0004422939266685,False,0,,0.5616275502127303,0.0836772983114446,0.7681335958180203,0.2326898920221515
mkg_y,MKG-Y,mkg_y_mhyper_adamf,mhyper_adamf,M-Hyper+AdaMF,MKG-Y / M-Hyper+AdaMF,2665,0.35,0.3373069998936018,0.0440697185079756,0.0413201206235704,0.0469072572044477,0.652157598499062,L2,0.0049196305513957,0.0026820900210642,0.0071423600855909,0.11163290163755779,True,0.0067731900464772,0.0048306744880683,0.0086980885429947,0.1536926097054942,True,0.0088296864530972,0.0075102088545387,0.0101888214228396,0.2003572237816609,0.0118493374795701,0.0100727806201696,0.0136760187358614,0.2688770856892503,0.0404155753432595,0.917082675169464,0.0240558775263012,0.0217899354225377,0.0264426530375446,0.5458595684460217,0.0131537094852585,0.011396673222834,0.0150062007291262,0.2984750057543033,10,0.0696576697294539,0.0646016692995011,0.0003783331821239,-0.0015860700355455,0.0037734312468031,0.0021439254535195,True,2,"20,50",0.5184299936608825,0.0956848030018761,0.7445540099334815,0.2573282407536066
mkg_y,MKG-Y,mkg_y_native_adamf,native_adamf,NativE+AdaMF,MKG-Y / NativE+AdaMF,2665,0.55,0.3282871521875433,0.0378442288474499,0.0354496649444219,0.0403393112088182,0.6594121325828642,L2,0.0007877202827468,-0.0007371895915113,0.0023194407026305,0.02081480602820844,False,-0.0004411111877554,-0.0015107186721926,0.0006104375001598,-0.0116559697789998,False,0.0026401949968522,0.0018511624995899,0.0034842395022762,0.0697647984186675,0.0038923763407449,0.0026256344490952,0.0051878207919231,0.1028525738081512,0.0334614696866126,0.8841894974659351,0.0145465809549527,0.012985306068095,0.0161825412683677,0.3843804299353021,0.0049883696169245,0.0040692704241421,0.0059778078873711,0.1318132187878007,10,0.0597982388973967,0.0554540878129368,-0.0008559623629118,-0.0026400016663622,0.0025448750809029,0.0011961553390811,False,0,,0.5293637010507294,0.0926829268292682,0.7494076618157394,0.2583859753628549
