dataset,pair_id,representation,learner,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc,training_gain,oof_gain,train_oof_generalization_gap
mkg_w,mkgw_mhyper_native,X1,linear_huber,25656,0.3567171395264384,0.355802253507054,0.0009148860193843162,0.0002680304438177656,0.001583509621662964,0.0196221139706519,0.12277829747427502,0.35632990333645154,0.77529622700343,0.18031132884971607,0.4837984434302243,0.3047532740879326,0.1790451693422917,0.29617851914042836,0.3180581540380418,-0.02187963489761341,0.6468719069964063,0.00048218046742127673,0.0009148860193843162,-0.00043270555196303943
mkg_w,mkgw_mhyper_native,X1,hist_gbdt,25656,0.36365092728493487,0.355802253507054,0.007848673777880828,0.0059910754011080125,0.009754336017826912,0.16833525502082317,0.23316183348924227,0.3709853445587777,0.9308543810414718,0.1944146986485046,0.3909494754209726,0.3047532740879326,0.08619620133303996,0.33810394225614243,0.3180581540380418,0.020045788218100657,0.658238126049203,0.017745021262703106,0.007848673777880828,0.009896347484822278
mkg_w,mkgw_mhyper_native,X1,mlp_low,25656,0.3618296426817654,0.355802253507054,0.006027389174711329,0.004336292002328166,0.007721412284881584,0.12927306224577628,0.20720299345182414,0.37492204552541314,0.8729342064234487,0.23964385006203343,0.4569539038095716,0.3047532740879326,0.152200629721639,0.4002715948132293,0.3180581540380418,0.08221344077518755,0.6678526292334841,0.008619597623044633,0.006027389174711329,0.002592208448333304
mkg_w,mkgw_mhyper_native,X1,mlp_high,25656,0.3615041259854502,0.355802253507054,0.005701872478396132,0.003939991296596609,0.007461432689965316,0.12229150871985695,0.22096195821640163,0.3790536326785158,0.9298799501091363,0.22005073587791582,0.42035668829404654,0.3047532740879326,0.11560341420611392,0.39354401070556305,0.3180581540380418,0.07548585666752128,0.6538673608557426,0.012939271275227844,0.005701872478396132,0.0072373987968317125
mkg_w,mkgw_mhyper_native,X2,linear_huber,25656,0.35619742371654783,0.355802253507054,0.0003951702094938645,-0.00026088407655226975,0.0010569996867334905,0.00847545456396109,0.12043966323666978,0.34354536950420955,0.7527284066105394,0.16516216832163866,0.4647285044875302,0.3047532740879326,0.1599752303995976,0.29893197838828683,0.3180581540380418,-0.01912617564975494,0.63369737745667,0.0003447314456672298,0.0003951702094938645,-5.043876382663468e-05
mkg_w,mkgw_mhyper_native,X2,hist_gbdt,25656,0.3638410505494404,0.355802253507054,0.008038797042386374,0.006174289716170329,0.009942548750056715,0.17241294370067728,0.22977081384471468,0.3612020579981291,0.9049345182413471,0.17861418698790169,0.3908792309377552,0.3047532740879326,0.08612595684982255,0.3347158203230537,0.3180581540380418,0.01665766628501192,0.6453604034236857,0.019008293558350323,0.008038797042386374,0.010969496515963949
mkg_w,mkgw_mhyper_native,X2,mlp_low,25656,0.3610314431678443,0.355802253507054,0.005229189660790263,0.0034872761079776096,0.0070008521872302444,0.11215359435400735,0.20626753975678203,0.36447614593077643,0.8111942625506704,0.2153297320799119,0.4560795855952196,0.3047532740879326,0.15132631150728698,0.37829921446407005,0.3180581540380418,0.06024106042602828,0.6513473058858829,0.009091202216960744,0.005229189660790263,0.003862012556170481
mkg_w,mkgw_mhyper_native,X2,mlp_high,25656,0.3599877479724319,0.355802253507054,0.004185494465377818,0.0023497127448316286,0.005990005220932198,0.08976883205456075,0.23686467103211725,0.3642033052697225,0.9202915497349548,0.18187671493376031,0.4058811020492291,0.3047532740879326,0.10112782796129649,0.3846410534006617,0.3180581540380418,0.06658289936261991,0.625614636820831,0.017126317304349416,0.004185494465377818,0.012940822838971598
mkg_w,mkgw_mhyper_native,X3,linear_huber,25656,0.35641403222970647,0.355802253507054,0.000611778722652445,-2.847322195717434e-05,0.001265492812944872,0.013121188395451292,0.1176333021515435,0.33691923916432803,0.737956033676333,0.14899937724842344,0.43389084009387596,0.3047532740879326,0.12913756600594334,0.30288288050140394,0.3180581540380418,-0.015175273536637834,0.6197577167785018,8.609381321955337e-05,0.000611778722652445,-0.0005256849094328916
mkg_w,mkgw_mhyper_native,X3,hist_gbdt,25656,0.3640021762974715,0.355802253507054,0.008199922790417398,0.006367749287028007,0.010029432070798348,0.17586870510098696,0.22065014031805424,0.3683348924228251,0.9020502026816339,0.18035766507607132,0.387529450269193,0.3047532740879326,0.08277617618126037,0.33730851011723934,0.3180581540380418,0.01925035607919756,0.6468347247472546,0.01956108292539728,0.008199922790417398,0.011361160134979882
mkg_w,mkgw_mhyper_native,X3,mlp_low,25656,0.3627882468130668,0.355802253507054,0.006985993306012688,0.0052521888342466514,0.008731733249664402,0.14983282501249923,0.20650140318054255,0.34393514187714375,0.8366074212659806,0.1865790620436436,0.4133267948655997,0.3047532740879326,0.10857352077766708,0.3836249872212147,0.3180581540380418,0.06556683318317291,0.6298420053922671,0.011594326113287298,0.006985993306012688,0.004608332807274611
mkg_w,mkgw_mhyper_native,X3,mlp_high,25656,0.35876450658627224,0.355802253507054,0.00296225307921815,0.0009531421846392115,0.0049102338112120515,0.0635332339753639,0.2434128468974119,0.3585905830994699,0.9281649516682258,0.15138957648405896,0.3841271319598299,0.3047532740879326,0.07937385787189727,0.3768151187500665,0.3180581540380418,0.05875696471202474,0.606333820065429,0.021454029717867175,0.00296225307921815,0.018491776638649024
