dataset,pair_id,representation,learner,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc,training_gain,oof_gain,train_oof_generalization_gap
mkg_w,mkgw_mhyper_native,X1,nested_selected,25656,0.36365092728493487,0.355802253507054,0.007848673777880828,0.0059910754011080125,0.009754336017826912,0.16833525502082317,0.23316183348924227,0.3709853445587777,0.9308543810414718,0.1944146970923336,0.39094947908351185,0.3047532740879326,0.08619620499557923,0.3381039431788299,0.3180581540380418,0.02004578914078814,0.6582381238744988,0.017745021262703043,0.007848673777880828,0.009896347484822215
mkg_w,mkgw_mhyper_native,X2,nested_selected,25656,0.3638410505494404,0.355802253507054,0.008038797042386374,0.006174289716170329,0.009942548750056715,0.17241294370067728,0.22977081384471468,0.3612020579981291,0.9049345182413471,0.178614186443128,0.3908792319485833,0.3047532740879326,0.08612595786065069,0.33471581773259806,0.3180581540380418,0.01665766369455629,0.6453604025616408,0.019008293558350264,0.008038797042386374,0.01096949651596389
mkg_w,mkgw_mhyper_native,X3,nested_selected,25656,0.3640021762974715,0.355802253507054,0.008199922790417398,0.006367749287028007,0.010029432070798348,0.17586870510098696,0.22065014031805424,0.3683348924228251,0.9020502026816339,0.18035766635678613,0.3875294504427502,0.3047532740879326,0.0827761763548176,0.33730851145054774,0.3180581540380418,0.01925035741250597,0.6468347252762366,0.019561082925397214,0.008199922790417398,0.011361160134979816
mkg_w,mkgw_mhyper_native,X4,nested_selected,25656,0.36314127577099253,0.355802253507054,0.007339022263938472,0.005445282004491097,0.00924339109982916,0.15740445065830583,0.2241580916744621,0.36338478328656065,0.8994387277829747,0.17264220758270307,0.3828567014983256,0.3047532740879326,0.078103427410393,0.3356297107767012,0.3180581540380418,0.0175715567386594,0.6428589429580097,0.019683800341423217,0.007339022263938472,0.012344778077484745
mkg_w,mkgw_mhyper_native,X5,nested_selected,25656,0.3628496393882793,0.355802253507054,0.007047385881225237,0.005221793513999046,0.008864065185048804,0.15114954871605207,0.2152323043342688,0.3508341128780792,0.8611241035235423,0.1640136772279856,0.38600755207562293,0.3047532740879326,0.0812542779876903,0.3283919655205492,0.3180581540380418,0.010333811482507449,0.6352474294825484,0.01861068804316821,0.007047385881225237,0.011563302161942972
mkg_w,mkgw_mhyper_native,X6,set_encoder,25656,0.35948436798364125,0.355802253507054,0.003682114476587202,0.00158261754722319,0.005759991069901751,0.07897253688629263,0.2225990021827253,0.36638603055815405,0.8714920486435921,0.1955130581632351,0.4107787329683611,0.3047532740879326,0.10602545888042847,0.38134023148074225,0.3180581540380418,0.06328207744270048,0.6416844199423858,0.010967568458599,0.003682114476587202,0.007285453982011797
mkg_w,mkgw_mhyper_adamf,X1,nested_selected,25656,0.3565106082965046,0.35282196536677,0.0036886429297345886,0.00272064582457291,0.004681467910298915,0.09031763856534855,0.0698861864671032,0.2184674150296227,0.3493140006236358,0.2946456156111304,0.6418952288476971,0.4218681789834737,0.22002704986422345,0.3094759430716772,0.2728328656064858,0.03664307746519141,0.6583179902119964,0.0074950137697779385,0.0036886429297345886,0.00380637084004335
mkg_w,mkgw_mhyper_adamf,X2,nested_selected,25656,0.3576449048624532,0.35282196536677,0.0048229394956832445,0.0037148362948294833,0.0059576246081490935,0.11809126404788833,0.06364982850015591,0.22388525101340817,0.34596195821640163,0.30521645992954993,0.6455846066620474,0.4218681789834737,0.22371642767857375,0.31654618778103094,0.2728328656064858,0.043713322174545155,0.6630618017657648,0.01004217521219518,0.0048229394956832445,0.005219235716511936
mkg_w,mkgw_mhyper_adamf,X3,nested_selected,25656,0.35824331888186006,0.35282196536677,0.005421353515090034,0.004177075867032347,0.0066747267538571015,0.13274362865643796,0.07128936700966636,0.2360461490489554,0.38224976613657624,0.3178916290229305,0.6409814914084218,0.4218681789834737,0.21911331242494808,0.32493963388642133,0.2728328656064858,0.052106768279935545,0.668282639229719,0.012308703018821943,0.005421353515090034,0.006887349503731909
mkg_w,mkgw_mhyper_adamf,X4,nested_selected,25656,0.35873097034538615,0.35282196536677,0.005909004978616124,0.004669386766321229,0.007195775051469363,0.1446839355572693,0.07206891175553477,0.2139070782662925,0.34186934830059246,0.32384074675512575,0.6466700713840519,0.4218681789834737,0.22480189240057818,0.326227191596233,0.2728328656064858,0.05339432598974719,0.6714939243353627,0.012423685977613853,0.005909004978616124,0.006514680998997729
mkg_w,mkgw_mhyper_adamf,X5,nested_selected,25656,0.3581386269088946,0.35282196536677,0.00531666154212459,0.004162981276274458,0.006512459724656581,0.1301802111733403,0.07577174929840973,0.2201434362332398,0.3703227315247895,0.31720960921131897,0.6338204399615428,0.4218681789834737,0.21195226097806913,0.3262768469688569,0.2728328656064858,0.05344398136237111,0.6700402139316642,0.012460027631341493,0.00531666154212459,0.007143366089216903
