pair,split,method,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,dev,Global,25656,0.35575016839902474,0.35575016839902474,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,ADC_grid_005,25656,0.35882060417126704,0.35575016839902474,0.003070435772242232,0.149555659494855,0.20100561272217024,0.35056127221702527,0.03142996412094395,0.004700529012007403,0.007770964784249634,0.6329123791705644,0.13114476145930776
mkgw_mhyper_native,dev,ADC_grid_001,25656,0.3591186369134482,0.35575016839902474,0.0033684685144233697,0.14881509198628,0.20061584034923605,0.34943093233551603,0.029461593384767115,0.004384329729616497,0.007752798244039866,0.6329123791705644,0.1314858122856252
mkgw_mhyper_native,dev,ADC_continuous,25656,0.35897712564332335,0.35575016839902474,0.003226957244298525,0.1489710009354537,0.20057686311194262,0.3495478640473963,0.030319780728450197,0.004516768083260706,0.00774372532755923,0.6329123791705644,0.1315210123866096
mkgw_mhyper_native,dev,Query-soft_grid_005,25656,0.3576888230023184,0.35575016839902474,0.001938654603293574,0.15758497037729965,0.3219130028063611,0.4794979731836607,0.03352722777290167,0.005283387195425688,0.007222041798719264,0.8206657312129716,0.09058699719363891
mkgw_mhyper_native,dev,Query-soft_grid_001,25656,0.3581801611523931,0.35575016839902474,0.0024299927533683262,0.17722949797318366,0.3468584346741503,0.524087932647334,0.03529779206182664,0.006255809966679366,0.00868580272004769,0.962386966011849,0.09101106953539133
mkgw_mhyper_native,dev,Query-soft_continuous,25656,0.3583435502979933,0.35575016839902474,0.0025933818989684965,0.18085438104147178,0.35165263486124104,0.5325070159027128,0.037055640427846065,0.0067016749136734385,0.009295056812641934,1.0,0.09106530889567875
mkgw_mhyper_adamf,dev,Global,25656,0.35282196536677,0.35282196536677,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_adamf,dev,ADC_grid_005,25656,0.35402586226857363,0.35282196536677,0.0012038969018035228,0.03745712503897724,0.1312363579669473,0.16869348300592454,0.039404640231695084,0.0014759845362745157,0.0026798814380780385,0.19480823199251637,0.038166510757717494
mkgw_mhyper_adamf,dev,ADC_grid_001,25656,0.3540652464128453,0.35282196536677,0.001243281046075216,0.03706735266604303,0.13108044901777363,0.16814780168381666,0.03839516723563485,0.0014232072045949776,0.002666488250670193,0.19480823199251637,0.03859681945743686
mkgw_mhyper_adamf,dev,ADC_continuous,25656,0.35404018205553267,0.35282196536677,0.0012182166887626134,0.03679451200498909,0.13115840349236046,0.16795291549734956,0.03970272954819293,0.0014608425589918196,0.002679059247754433,0.19480823199251637,0.03862007455670746
mkgw_mhyper_adamf,dev,Query-soft_grid_005,25656,0.3326873485503782,0.35282196536677,-0.020134616816391844,0.26091362644215776,0.4371686934830059,0.6980823199251637,0.14187518784160083,0.03701716976191441,0.01688255294552256,1.0,0.48123246024321803
mkgw_mhyper_adamf,dev,Query-soft_grid_001,25656,0.33301983839152965,0.35282196536677,-0.01980212697524042,0.2604458995946367,0.4370907390084191,0.6975366386030558,0.14092938846975375,0.03670448135932704,0.016902354384086618,1.0,0.481303398815092
mkgw_mhyper_adamf,dev,Query-soft_continuous,25656,0.3323804504390651,0.35282196536677,-0.020441514927704914,0.2615372622388525,0.4364671032117243,0.6980043654505769,0.1425570544113929,0.03728398172359083,0.016842466795885913,1.0,0.48136832687261344
db15k_mhyper_native,dev,Global,47532,0.38258701302410913,0.38258701302410913,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
db15k_mhyper_native,dev,ADC_grid_005,47532,0.38257819381126984,0.38258701302410913,-8.819212839298028e-06,0.01647311285029033,0.04058318606412522,0.05705629891441555,0.0310605272623838,0.0005116635707827677,0.0005028443579434697,0.10113186905663553,0.008514264074728602
db15k_mhyper_native,dev,ADC_grid_001,47532,0.38250194626494316,0.38258701302410913,-8.506675916602124e-05,0.01647311285029033,0.04039383993940924,0.05686695278969957,0.03354442834215689,0.0005525811535788277,0.00046751439441280654,0.10113186905663553,0.008066144912900782
db15k_mhyper_native,dev,ADC_continuous,47532,0.38261663365405285,0.38258701302410913,2.962062994366363e-05,0.016262728267272573,0.040372801481107466,0.056635529748380035,0.027579506186209378,0.0004485180148518862,0.0004781386447955497,0.10113186905663553,0.00806617570485953
