pair,split,seed,direction,method,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
mkgw_mhyper_native,dev,1,head,Global,4276,0.19401989980633896,0.19401989980633896,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,1,head,ADC_grid_005,4276,0.19498388970062794,0.19401989980633896,0.0009639898942889716,0.17492984097287184,0.34448082319925166,0.5194106641721234,0.02317167581913667,0.004053417566116518,0.0050174074604054895,0.6632366697848456,0.14184985968194574
mkgw_mhyper_native,dev,1,head,ADC_grid_001,4276,0.19521511995879462,0.19401989980633896,0.0011952201524556775,0.17282507015902712,0.34424695977549113,0.5170720299345183,0.02265548460745056,0.003915435716769403,0.00511065586922508,0.6632366697848456,0.14205565949485502
mkgw_mhyper_native,dev,1,head,ADC_continuous,4276,0.19604902526934068,0.19401989980633896,0.002029125463001701,0.17282507015902712,0.3470533208606174,0.5198783910196445,0.02299356668971665,0.003973864776356549,0.006002990239358249,0.6632366697848456,0.14196408369137464
mkgw_mhyper_native,dev,1,head,Query-soft_grid_005,4276,0.19577207797881846,0.19401989980633896,0.0017521781724794926,0.20603367633302153,0.48269410664172124,0.6887277829747428,0.022559259371915538,0.004647967143745929,0.00640014531622542,0.9123012160898035,0.13089335827876522
mkgw_mhyper_native,dev,1,head,Query-soft_grid_001,4276,0.19662882466366494,0.19401989980633896,0.002608924857325958,0.22333956969130028,0.5021047708138447,0.725444340505145,0.020992920462147343,0.00468854982257968,0.007297474679905638,0.9768475210477081,0.13057062675397568
mkgw_mhyper_native,dev,1,head,Query-soft_continuous,4276,0.19569383795494943,0.19401989980633896,0.0016739381486104697,0.2322263797942002,0.5051449953227315,0.7373713751169317,0.024526202940933172,0.005695631319070776,0.0073695694676812465,1.0,0.13063709179625974
mkgw_mhyper_native,dev,1,tail,Global,4276,0.5202478921630823,0.5202478921630823,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,1,tail,ADC_grid_005,4276,0.522656832358136,0.5202478921630823,0.002408940195053637,0.11903648269410665,0.0558933582787652,0.17492984097287184,0.04951784619184268,0.005894430241264716,0.008303370436318352,0.5848924228250701,0.1212464920486436
mkgw_mhyper_native,dev,1,tail,ADC_grid_001,4276,0.5236901818662818,0.5202478921630823,0.0034422897031994924,0.12067352666043031,0.05612722170252572,0.17680074836295603,0.045421515106543575,0.005481174414166624,0.008923464117366116,0.5848924228250701,0.12185453695042095
mkgw_mhyper_native,dev,1,tail,ADC_continuous,4276,0.5234028569861983,0.5202478921630823,0.003154964823115853,0.11927034611786716,0.055659494855004675,0.17492984097287184,0.04423473109449274,0.005275891688070929,0.008430856511186784,0.5848924228250701,0.12187605830597492
mkgw_mhyper_native,dev,1,tail,Query-soft_grid_005,4276,0.5220347718453547,0.5202478921630823,0.0017868796822724533,0.10547240411599626,0.17305893358278765,0.2785313376987839,0.05781624174449766,0.006098018013743791,0.007884897696016245,0.7511693171188026,0.05806828811973806
mkgw_mhyper_native,dev,1,tail,Query-soft_grid_001,4276,0.5217989622881802,0.5202478921630823,0.0015510701250978868,0.12862488306828812,0.19878391019644528,0.3274087932647334,0.06901370380429771,0.008876879581937263,0.01042794970703515,0.95088868101029,0.05892422825070158
mkgw_mhyper_native,dev,1,tail,Query-soft_continuous,4276,0.5244723928945955,0.5202478921630823,0.004224500731513131,0.1283910196445276,0.20673526660430308,0.3351262862488307,0.06185257808088061,0.00794131556744702,0.012165816298960151,1.0,0.05895940253702295
mkgw_mhyper_native,dev,2,head,Global,4276,0.19063205261340693,0.19063205261340693,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,2,head,ADC_grid_005,4276,0.1915945345021764,0.19063205261340693,0.0009624818887694628,0.16323666978484566,0.31711880261927033,0.480355472404116,0.016331318305529995,0.0026658700133910048,0.003628351902160467,0.6166978484565014,0.11555191768007483
mkgw_mhyper_native,dev,2,head,ADC_grid_001,4276,0.1923773100373552,0.19063205261340693,0.0017452574239482529,0.16230121608980355,0.31711880261927033,0.4794200187090739,0.01372253434559031,0.0022271840121234044,0.003972441436071656,0.6166978484565014,0.11628157156220768
mkgw_mhyper_native,dev,2,head,ADC_continuous,4276,0.19161209684131764,0.19063205261340693,0.0009800442279106697,0.16323666978484566,0.3161833489242282,0.4794200187090739,0.015157946798696505,0.0024743327561950793,0.003454376984105749,0.6166978484565014,0.11628526010345402
mkgw_mhyper_native,dev,2,head,Query-soft_grid_005,4276,0.19274658080425025,0.19063205261340693,0.0021145281908433056,0.19597754911131898,0.4731057062675398,0.6690832553788587,0.016420366898623265,0.0032180232603008178,0.005332551451144123,0.8912535079513564,0.11074602432179606
mkgw_mhyper_native,dev,2,head,Query-soft_grid_001,4276,0.19395910308032385,0.19063205261340693,0.0033270504669169285,0.21515434985968196,0.5021047708138447,0.7172591206735267,0.013340578954072778,0.0028702835916152845,0.006197334058532213,0.9782507015902713,0.11062675397567821
mkgw_mhyper_native,dev,2,head,Query-soft_continuous,4276,0.19436101260083447,0.19063205261340693,0.0037289599874275295,0.21749298409728718,0.5037418147801683,0.7212347988774556,0.013464905021805335,0.0029285223737789898,0.00665748236120652,1.0,0.11078017552965772
mkgw_mhyper_native,dev,2,tail,Global,4276,0.5198035060735765,0.5198035060735765,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,2,tail,ADC_grid_005,4276,0.5238189776991252,0.5198035060735765,0.004015471625548653,0.15411599625818523,0.06407857811038353,0.21819457436856876,0.0487671370904321,0.007515795917351439,0.011531267542900092,0.6868568755846586,0.1476379794200187
mkgw_mhyper_native,dev,2,tail,ADC_grid_001,4276,0.5238748610727209,0.5198035060735765,0.004071354999144438,0.1538821328344247,0.06454630495790459,0.2184284377923293,0.04816895426157234,0.007412341418174602,0.01148369641731904,0.6868568755846586,0.14802385406922355
mkgw_mhyper_native,dev,2,tail,ADC_continuous,4276,0.5228077595718149,0.5198035060735765,0.0030042534982384944,0.1557530402245089,0.06314312441534144,0.21889616463985032,0.05112829965934653,0.007963388113452945,0.01096764161169144,0.6868568755846586,0.14807431518050507
mkgw_mhyper_native,dev,2,tail,Query-soft_grid_005,4276,0.5200928470033598,0.5198035060735765,0.00028934092978346226,0.1166978484565014,0.13587464920486436,0.25257249766136575,0.06176852881539219,0.00720825441507968,0.007497595344863141,0.7036950420954162,0.054618802619270324
mkgw_mhyper_native,dev,2,tail,Query-soft_grid_001,4276,0.5202809093968319,0.5198035060735765,0.0004774033232554206,0.1412535079513564,0.1725912067352666,0.313844714686623,0.0628861021116875,0.008882882524663063,0.009360285847918481,0.9420018709073901,0.0560336763330215
mkgw_mhyper_native,dev,2,tail,Query-soft_continuous,4276,0.5202274946259485,0.5198035060735765,0.00042398855237202635,0.14335827876520113,0.1772684752104771,0.3206267539756782,0.06173693856045901,0.008850501248260376,0.009274489800632404,1.0,0.055983699382364124
mkgw_mhyper_native,dev,3,head,Global,4276,0.19521807632014182,0.19521807632014182,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,3,head,ADC_grid_005,4276,0.19702399537346318,0.19521807632014182,0.001805919053321375,0.17118802619270346,0.3521983161833489,0.5233863423760524,0.018908696640300603,0.0032369424557296624,0.0050428615090510375,0.6604303086997194,0.13971000935453695
mkgw_mhyper_native,dev,3,head,ADC_grid_001,4276,0.1968753171450043,0.19521807632014182,0.0016572408248624877,0.17001870907390085,0.35056127221702527,0.5205799812909261,0.017960079867012216,0.003053549593853574,0.004710790418716062,0.6604303086997194,0.13944808231992517
mkgw_mhyper_native,dev,3,head,ADC_continuous,4276,0.1967469560813508,0.19521807632014182,0.001528879761209002,0.17001870907390085,0.34962581852198316,0.519644527595884,0.018230324497665512,0.0030994962370914005,0.004628375998300401,0.6604303086997194,0.13967348217366402
mkgw_mhyper_native,dev,3,head,Query-soft_grid_005,4276,0.19663610605051315,0.19521807632014182,0.0014180297303713445,0.21538821328344246,0.48105706267539755,0.69644527595884,0.023091137246214498,0.00497355879414489,0.006391588524516234,0.9137043966323667,0.13028531337698784
mkgw_mhyper_native,dev,3,head,Query-soft_grid_001,4276,0.19808983224084475,0.19521807632014182,0.00287175592070294,0.22754911131898972,0.5,0.7275491113189897,0.01789710232843467,0.004072469730020331,0.006944225650723271,0.9796538821328344,0.13006314312441536
mkgw_mhyper_native,dev,3,head,Query-soft_continuous,4276,0.1968820038209988,0.19521807632014182,0.0016639275008569817,0.23129092609915808,0.5058465855940131,0.7371375116931712,0.023902879690287666,0.005528519180003391,0.007192446680860373,1.0,0.13010570715776107
mkgw_mhyper_native,dev,3,tail,Global,4276,0.5145795834176021,0.5145795834176021,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
mkgw_mhyper_native,dev,3,tail,ADC_grid_005,4276,0.5228453953940734,0.5145795834176021,0.008265811976471292,0.1148269410664172,0.07226379794200187,0.18709073900841908,0.04212180376200618,0.0048367178781910745,0.013102529854662367,0.5853601496725912,0.12087231057062674
mkgw_mhyper_native,dev,3,tail,ADC_grid_001,4276,0.522679031400532,0.5145795834176021,0.008099447982929867,0.11318989710009354,0.07109448082319925,0.1842843779232928,0.03724973103282281,0.004216293222611375,0.012315741205541242,0.5853601496725912,0.12125116931711878
mkgw_mhyper_native,dev,3,tail,ADC_continuous,4276,0.5232440591099176,0.5145795834176021,0.008664475692315429,0.1127221702525725,0.07179607109448083,0.18451824134705333,0.038267848451923187,0.004313634928397329,0.012978110620712758,0.5853601496725912,0.12125287486468497
mkgw_mhyper_native,dev,3,tail,Query-soft_grid_005,4276,0.5188505543316134,0.5145795834176021,0.004270970914011386,0.1059401309635173,0.18568755846585594,0.2916276894293732,0.05243057088018737,0.005554501545539029,0.009825472459550415,0.7518709073900842,0.05891019644527594
