pair,split,method,n_observations,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters,bootstrap_samples,bootstrap_seed,cluster_unit,delta_mrr_ci95,harmful_query_rate_ci95,mean_harm_ci95
db15k_mhyper_adamf,dev,Global,47532,0.38258701302410913,0.0,0.0,0.0,1.0,,,0.0,0,0,47532,7922,,,,,,
db15k_mhyper_adamf,dev,ADC,47532,0.3826745352211416,8.752219703242775e-05,0.0008625767903728015,0.002061768913574013,0.9970756542960532,0.12556519575919542,0.0949824295456364,0.0,41,98,47393,7922,,,,,,
db15k_mhyper_adamf,dev,Query-soft,47532,0.3466191219864379,-0.03596789103767126,0.34162248590423294,0.36661617436674243,0.2917613397290247,0.16838455087529475,0.058797345363849784,0.0,16238,17426,13868,7922,,,,,,
db15k_mhyper_adamf,dev,Relation,47532,0.3838521909551416,0.0012651779310324993,0.03553395607169907,0.07142556593452831,0.8930404779937726,0.07195887564520007,0.053512512041996946,0.0,1689,3395,42448,7922,,,,,,
db15k_mhyper_adamf,dev,DynaSemble,47532,0.3139610194927515,-0.06862599353135759,0.460994698308508,0.31719683581587144,0.22180846587562064,0.21331217508787462,0.09366357073642105,0.0,21912,15077,10543,7922,,,,,,
db15k_mhyper_adamf,test,Global,59412,0.3745666587877784,0.0,0.0,0.0,1.0,,,0.0,0,0,59412,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0, 0.0]","[0.0, 0.0]","[None, None]"
db15k_mhyper_adamf,test,ADC,59412,0.37477821237709275,0.00021155358931433234,0.0009425705244731704,0.002928701272470208,0.9961287282030566,0.05127641959475696,0.0887373640554569,0.0,56,174,59182,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[6.997517892385674e-05, 0.0003775525826632393]","[0.0006564330438295294, 0.0012623712381337104]","[0.017203480341398156, 0.09635793266689952]"
db15k_mhyper_adamf,test,Query-soft,59412,0.33876015395849934,-0.03580650482927905,0.3455025920689423,0.36777082070962097,0.28672658722143674,0.1651527836806588,0.05779199659934812,0.0,20527,21850,17035,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.03785972374347206, -0.033778959389986284]","[0.3404867703494244, 0.3505352454049687]","[0.16079903148886937, 0.1696844181296613]"
db15k_mhyper_adamf,test,Relation,59412,0.3731788090863422,-0.0013878497014362021,0.039924594358042145,0.07113041136470746,0.8889449942772504,0.09728074324046707,0.03509110187048279,0.0,2372,4226,52814,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0019312327625935885, -0.0008455025857633918]","[0.037298862182724025, 0.04260082138288561]","[0.0870712769346059, 0.10761547134988853]"
db15k_mhyper_adamf,test,DynaSemble,59412,0.30461586725273637,-0.06995079153504201,0.4672793375075742,0.3173601292668148,0.215360533225611,0.20968215789029504,0.08832032037499102,0.0,27762,18855,12795,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.07282606888967484, -0.06713578823618564]","[0.46177539890931124, 0.4727832761058372]","[0.20529792676568437, 0.21419014196966746]"
db15k_mhyper_native,dev,Global,47532,0.38258701302410913,0.0,0.0,0.0,1.0,,,0.0,0,0,47532,7922,,,,,,
db15k_mhyper_native,dev,ADC,47532,0.3826651257742483,7.811275013916167e-05,0.013969536312379028,0.033598417907935704,0.9524320457796852,0.03163139386246119,0.015476581568120764,0.0,664,1597,45271,7922,,,,,,
db15k_mhyper_native,dev,Query-soft,47532,0.3688208200983957,-0.013766192925713428,0.29885130017672307,0.36104098291677184,0.3401077169065051,0.12172288458765053,0.06262682206296633,0.0,14205,17161,16166,7922,,,,,,
db15k_mhyper_native,dev,Relation,47532,0.38576628823932235,0.0031792752152132817,0.10119498443154086,0.1924598165446436,0.7063451990238155,0.06819722653825526,0.05237712824426382,0.0,4810,9148,33574,7922,,,,,,
db15k_mhyper_native,dev,DynaSemble,47532,0.3405181511688773,-0.04206886185523181,0.41340570562989143,0.309075990911386,0.2775183034587225,0.17346003145749941,0.09590037958185184,0.0,19650,14691,13191,7922,,,,,,
db15k_mhyper_native,test,Global,59412,0.3745666587877784,0.0,0.0,0.0,1.0,,,0.0,0,0,59412,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0, 0.0]","[0.0, 0.0]","[None, None]"
db15k_mhyper_native,test,ADC,59412,0.3744854355331475,-8.12232546308676e-05,0.014239547566148253,0.033983033730559484,0.9517774187032922,0.04336259985729121,0.015779655014927813,0.0,846,2019,56547,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0002540773129084094, 9.106007636528283e-05]","[0.013179155726115936, 0.015316771022689019]","[0.03486203030856499, 0.052691138089314866]"
db15k_mhyper_native,test,Query-soft,59412,0.3609900858955428,-0.013576572892235649,0.3007304921564667,0.3669797347337238,0.33228977310980945,0.11888011024879507,0.060423775679572404,0.0,17867,21803,19742,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.01525310694687556, -0.011939415758140013]","[0.29574833366996567, 0.3057631454924931]","[0.11504736376098616, 0.122957596147186]"
db15k_mhyper_native,test,Relation,59412,0.37449136832184715,-7.52904659312793e-05,0.10528176126035145,0.19275567225476334,0.7019625664848852,0.07648374829488863,0.041384272478398466,0.0,6255,11452,41705,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0009018836862423795, 0.0007579909032208967]","[0.10129224735743621, 0.10927085437285397]","[0.0711774908097291, 0.08197379610336385]"
db15k_mhyper_native,test,DynaSemble,59412,0.3332217653213164,-0.04134489346646198,0.4141924190399246,0.31313539352319397,0.27267218743688143,0.16941528641563494,0.09205485688489062,0.0,24608,18604,16200,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.043666375365868204, -0.039026475208222]","[0.40880588096680803, 0.4196458627886622]","[0.16544638142260815, 0.17353429902875325]"
db15k_native_adamf,dev,Global,47532,0.32102191827913534,0.0,0.0,0.0,1.0,,,0.0,0,0,47532,7922,,,,,,
db15k_native_adamf,dev,ADC,47532,0.3211364169032074,0.00011449862407204885,0.004628460826390642,0.017525035765379112,0.9778465034082302,0.07660903232601203,0.026766309377089164,0.0,220,833,46479,7922,,,,,,
db15k_native_adamf,dev,Query-soft,47532,0.30758604783078236,-0.013435870448353026,0.3162501051922915,0.42158966590928215,0.26216022889842633,0.1459419725559145,0.07760696328705977,0.0,15032,20039,12461,7922,,,,,,
db15k_native_adamf,dev,Relation,47532,0.32389688298358843,0.0028749647044530803,0.08787764032651688,0.17167381974248927,0.7404485399309939,0.09417447104663555,0.06495338086934564,0.0,4177,8160,35195,7922,,,,,,
db15k_native_adamf,test,Global,59412,0.3127614847802384,0.0,0.0,0.0,1.0,,,0.0,0,0,59412,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0, 0.0]","[0.0, 0.0]","[None, None]"
db15k_native_adamf,test,ADC,59412,0.3127466131950336,-1.4871585204816518e-05,0.005907897394465764,0.020904867703494243,0.97318723490204,0.07612834054782375,0.02080313761038452,0.0,351,1242,57819,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0001627476214804371, 0.00012946261042519116]","[0.005217801117619336, 0.006632077694741797]","[0.057569990432582166, 0.09609669048227368]"
db15k_native_adamf,test,Query-soft,59412,0.3005053546928012,-0.012256130087437254,0.3203393253888103,0.4264963307076012,0.2531643439035885,0.1421446620788563,0.07802738892339757,0.0,19032,25339,15041,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.014086997878651576, -0.010450099166155531]","[0.31523934558675015, 0.32550705244731704]","[0.13816535258085355, 0.14617648600557498]"
db15k_native_adamf,test,Relation,59412,0.3127258206799876,-3.566410025082053e-05,0.09185013128660877,0.16690230929778496,0.7412475594156063,0.10601095797171775,0.0581265552770837,0.0,5457,9916,44039,9902,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0009007392903210203, 0.0008395254026205463]","[0.08813034403824144, 0.0956709082340268]","[0.09969586011931128, 0.11234673086961676]"
mkgw_mhyper_adamf,dev,Global,25656,0.35282196536677,0.0,0.0,0.0,1.0,,,0.0,0,0,25656,4276,,,,,,
mkgw_mhyper_adamf,dev,ADC,25656,0.3540465791421044,0.0012246137753344002,0.03730121608980355,0.13170408481446835,0.8309946990957281,0.039593025289656886,0.020511753839059194,0.0,957,3379,21320,4276,,,,,,
mkgw_mhyper_adamf,dev,Query-soft,25656,0.33292053160459634,-0.019901433762173727,0.260562831306517,0.436895852821952,0.30254131587153105,0.1411407478335976,0.03862384821708187,0.0,6685,11209,7762,4276,,,,,,
mkgw_mhyper_adamf,dev,Relation,25656,0.3540039663393243,0.001182000972554216,0.04123791705643904,0.09693638914873713,0.8618256937948239,0.08031860767517575,0.046362084387690766,0.0,1058,2487,22111,4276,,,,,,
mkgw_mhyper_adamf,dev,DynaSemble,25656,0.30315069107778775,-0.04967127428898225,0.39191612098534456,0.385562831306517,0.22252104770813844,0.19862241750390894,0.07306734683013304,0.0,10055,9892,5709,4276,,,,,,
mkgw_mhyper_adamf,test,Global,25644,0.3597209394760817,0.0,0.0,0.0,1.0,,,0.0,0,0,25644,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0, 0.0]","[0.0, 0.0]","[None, None]"
