representation,outer_fold,selected_config_id,hidden_width,learning_rate,negative_weight,outer_train_rows,outer_holdout_rows,outer_train_groups,outer_holdout_groups,inner_group_audit,selected_inner_count,selected_inner_mae,selected_inner_smooth_l1,selected_inner_spearman,selected_inner_positive_prevalence,selected_inner_positive_auprc,selected_inner_positive_auprc_lift,selected_inner_positive_auroc,selected_inner_harmful_prevalence,selected_inner_harmful_auprc,selected_inner_harmful_auprc_lift,selected_inner_harmful_auroc
R1,1,w32_lr1e-3_neg1p0,32,0.001,1.0,123228,30708,3423,853,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260904, ""n_folds"": 3, ""n_unique_triples"": 3423, ""observations_per_fold"": {""0"": 1146, ""1"": 1139, ""2"": 1138}, ""query_instances_per_fold"": {""0"": 6876, ""1"": 6834, ""2"": 6828}, ""triple_groups_per_fold"": {""0"": 1146, ""1"": 1139, ""2"": 1138}, ""utility_rows_per_fold"": {""0"": 41256, ""1"": 41004, ""2"": 40968}}",102690,0.03221240772344996,0.028997555545752392,0.03380454027296705,0.28888888888888886,0.29354362037620574,0.004654731487316877,0.5151126743117636,0.3131074106534229,0.320239155342955,0.0071317446895320935,0.5166404914870708
R1,2,w128_lr1e-3_neg1p5,128,0.001,1.5,122976,30960,3416,860,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260905, ""n_folds"": 3, ""n_unique_triples"": 3416, ""observations_per_fold"": {""0"": 1135, ""1"": 1135, ""2"": 1146}, ""query_instances_per_fold"": {""0"": 6810, ""1"": 6810, ""2"": 6876}, ""triple_groups_per_fold"": {""0"": 1135, ""1"": 1135, ""2"": 1146}, ""utility_rows_per_fold"": {""0"": 40860, ""1"": 40860, ""2"": 41256}}",102480,0.03345053085055307,0.029490947719144137,0.03596841880817341,0.292339968774395,0.30352675256346123,0.011186783789066235,0.5175582622284753,0.3108801717408275,0.315605554173694,0.004725382432866521,0.5153884620676458
R1,3,w128_lr1e-3_neg1p0,128,0.001,1.0,123084,30852,3419,857,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260906, ""n_folds"": 3, ""n_unique_triples"": 3419, ""observations_per_fold"": {""0"": 1144, ""1"": 1139, ""2"": 1136}, ""query_instances_per_fold"": {""0"": 6864, ""1"": 6834, ""2"": 6816}, ""triple_groups_per_fold"": {""0"": 1144, ""1"": 1139, ""2"": 1136}, ""utility_rows_per_fold"": {""0"": 41184, ""1"": 41004, ""2"": 40896}}",102570,0.03310392331546278,0.02908103949132321,0.02695766186024706,0.2910792629423808,0.3061190052278166,0.015039742285435809,0.5235245628393299,0.31336648142731793,0.3158598142589204,0.0024933328316024683,0.5017374389722592
R1,4,w32_lr1e-3_neg1p0,32,0.001,1.0,123012,30924,3417,859,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260907, ""n_folds"": 3, ""n_unique_triples"": 3417, ""observations_per_fold"": {""0"": 1139, ""1"": 1142, ""2"": 1136}, ""query_instances_per_fold"": {""0"": 6834, ""1"": 6852, ""2"": 6816}, ""triple_groups_per_fold"": {""0"": 1139, ""1"": 1142, ""2"": 1136}, ""utility_rows_per_fold"": {""0"": 41004, ""1"": 41112, ""2"": 40896}}",102510,0.032290800045650186,0.028968328446925165,0.02111668455103058,0.29043020193151886,0.2975696863637768,0.007139484432257925,0.5082179009314587,0.3149643937176861,0.32137462668482203,0.006410232967135943,0.5129787543662351
R1,5,w32_lr1e-3_neg1p0,32,0.001,1.0,123444,30492,3429,847,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260908, ""n_folds"": 3, ""n_unique_triples"": 3429, ""observations_per_fold"": {""0"": 1132, ""1"": 1148, ""2"": 1149}, ""query_instances_per_fold"": {""0"": 6792, ""1"": 6888, ""2"": 6894}, ""triple_groups_per_fold"": {""0"": 1132, ""1"": 1148, ""2"": 1149}, ""utility_rows_per_fold"": {""0"": 40752, ""1"": 41328, ""2"": 41364}}",102870,0.03228017341380505,0.028748773051036135,0.03094225894326533,0.28955963837853604,0.2950321431770217,0.005472504798485656,0.513207623448488,0.3113735783027122,0.3159051172618023,0.004531538959090142,0.5164698385539335
