outer_fold,selected_config_id,hidden_width,learning_rate,negative_weight,outer_train_rows,outer_holdout_rows,outer_train_groups,outer_holdout_groups,inner_fold_seed,inner_group_audit,selected_inner_count,selected_inner_mae,selected_inner_smooth_l1,selected_inner_spearman,selected_inner_positive_prevalence,selected_inner_positive_auprc,selected_inner_positive_auprc_lift,selected_inner_positive_auroc,selected_inner_harmful_prevalence,selected_inner_harmful_auprc,selected_inner_harmful_auprc_lift,selected_inner_harmful_auroc
1,w128_lr1e-3_neg2p0,128,0.001,2.0,102690,25590,3423,853,20260904,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260904, ""n_folds"": 3, ""n_unique_triples"": 3423, ""observations_per_fold"": {""0"": 1146, ""1"": 1139, ""2"": 1138}, ""query_instances_per_fold"": {""0"": 6876, ""1"": 6834, ""2"": 6828}, ""triple_groups_per_fold"": {""0"": 1146, ""1"": 1139, ""2"": 1138}, ""utility_rows_per_fold"": {""0"": 34380, ""1"": 34170, ""2"": 34140}}",82152,0.02209761721766561,0.01861731002834688,0.09566264915307306,0.4167275294575908,0.4733089350127791,0.05658140555518831,0.5667384643396826,0.16221151037101958,0.17109860235779653,0.008887091986776952,0.5220470296454001
2,w32_lr3e-4_neg3p0,32,0.0003,3.0,102480,25800,3416,860,20260905,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260905, ""n_folds"": 3, ""n_unique_triples"": 3416, ""observations_per_fold"": {""0"": 1135, ""1"": 1135, ""2"": 1146}, ""query_instances_per_fold"": {""0"": 6810, ""1"": 6810, ""2"": 6876}, ""triple_groups_per_fold"": {""0"": 1135, ""1"": 1135, ""2"": 1146}, ""utility_rows_per_fold"": {""0"": 34050, ""1"": 34050, ""2"": 34380}}",81984,0.023410070962973557,0.018909465142036133,0.07331025793439722,0.42264344262295084,0.44352479905969006,0.020881356436739218,0.5553476906702918,0.15893345042935206,0.17084649402380583,0.011913043594453776,0.5317476391159012
3,w64_lr1e-3_neg3p0,64,0.001,3.0,102570,25710,3419,857,20260906,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260906, ""n_folds"": 3, ""n_unique_triples"": 3419, ""observations_per_fold"": {""0"": 1144, ""1"": 1139, ""2"": 1136}, ""query_instances_per_fold"": {""0"": 6864, ""1"": 6834, ""2"": 6816}, ""triple_groups_per_fold"": {""0"": 1144, ""1"": 1139, ""2"": 1136}, ""utility_rows_per_fold"": {""0"": 34320, ""1"": 34170, ""2"": 34080}}",82056,0.02202329893480354,0.018465823677648003,0.11738356532609706,0.42266257190211565,0.491805108559395,0.06914253665727937,0.5998394806597072,0.16051233304085016,0.16984750045959632,0.009335167418746154,0.5199749728953493
4,w64_lr1e-3_neg3p0,64,0.001,3.0,102510,25770,3417,859,20260907,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260907, ""n_folds"": 3, ""n_unique_triples"": 3417, ""observations_per_fold"": {""0"": 1139, ""1"": 1142, ""2"": 1136}, ""query_instances_per_fold"": {""0"": 6834, ""1"": 6852, ""2"": 6816}, ""triple_groups_per_fold"": {""0"": 1139, ""1"": 1142, ""2"": 1136}, ""utility_rows_per_fold"": {""0"": 34170, ""1"": 34260, ""2"": 34080}}",82008,0.022261175542673435,0.018474642538258184,0.13771179939236539,0.42403180177543653,0.5068031793847794,0.08277137760934283,0.6150799068201696,0.16192322700224368,0.17090129331014367,0.00897806630789999,0.518878345873966
5,w32_lr1e-4_neg2p0,32,0.0001,2.0,102870,25410,3429,847,20260908,"{""assignment"": ""relation-stratified SHA256 ordering, then round-robin by original triple with a deterministic per-relation fold offset"", ""fold_seed"": 20260908, ""n_folds"": 3, ""n_unique_triples"": 3429, ""observations_per_fold"": {""0"": 1132, ""1"": 1148, ""2"": 1149}, ""query_instances_per_fold"": {""0"": 6792, ""1"": 6888, ""2"": 6894}, ""triple_groups_per_fold"": {""0"": 1132, ""1"": 1148, ""2"": 1149}, ""utility_rows_per_fold"": {""0"": 33960, ""1"": 34440, ""2"": 34470}}",82296,0.02814943469730006,0.02220022841809565,0.046269882494270345,0.4194979099834743,0.4486570181691207,0.029159108185646376,0.5397848143448192,0.16212209584912998,0.1722276502332849,0.010105554384154919,0.5165755714857506
