outer_fold,selected_config_index,selected_config,inner_probe_delta_mrr,inner_spearman,fold_global_alpha
1,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",5.358932623695234e-05,0.149439980807995,0.95
2,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",0.0001858181727403839,0.13639022893522681,0.95
3,0,"{""alpha"": 1e-05, ""epsilon"": 0.1, ""max_iter"": 80}",0.0002286673132107119,0.14351718310602732,0.95
4,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",9.658793530536556e-05,0.13603982780206605,0.95
5,1,"{""alpha"": 0.0001, ""epsilon"": 0.1, ""max_iter"": 80}",-0.0005859488646889911,0.1378355503554376,0.95
