dataset,pair_id,scope,relation_id,direction,n_queries,n_original_triples,positive_opportunities,toward_a,toward_b,direction_consistency,signed_direction_preference,supported,support_min
mkg_y,mkg_y_mhyper_native,relation_x_direction,8,tail,135,45,18,11,7,0.6111111111111112,0.2222222222222222,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,9,head,2337,779,2027,446,1581,0.7799703996053281,-0.5599407992106561,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,9,tail,2337,779,2158,570,1588,0.7358665430954587,-0.4717330861909175,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,10,head,102,34,80,27,53,0.6625,-0.325,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,10,tail,102,34,18,9,9,0.5,0.0,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,11,head,21,7,20,12,8,0.6,0.2,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,11,tail,21,7,21,9,12,0.5714285714285714,-0.14285714285714285,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,12,head,237,79,171,52,119,0.695906432748538,-0.391812865497076,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,12,tail,237,79,195,45,150,0.7692307692307693,-0.5384615384615384,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,13,head,27,9,11,4,7,0.6363636363636364,-0.2727272727272727,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,13,tail,27,9,8,3,5,0.625,-0.25,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,14,head,3,1,3,1,2,0.6666666666666666,-0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,14,tail,3,1,3,3,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,15,head,30,10,22,10,12,0.5454545454545454,-0.09090909090909091,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,15,tail,30,10,21,9,12,0.5714285714285714,-0.14285714285714285,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,16,head,6,2,3,1,2,0.6666666666666666,-0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,16,tail,6,2,1,1,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,17,head,60,20,57,20,37,0.6491228070175439,-0.2982456140350877,True,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,17,tail,60,20,49,25,24,0.5102040816326531,0.02040816326530612,True,60
